model_name,phenomenon,dependent_variable,metric,metric formula
google/flan-t5-xl,coherence,0.5,embedding_similarity,cosine
google/flan-t5-xl,deceits,0.25,embedding_similarity,cosine
google/flan-t5-xl,humour,0.12,embedding_similarity,cosine
google/flan-t5-xl,indirect_speech,0.1,embedding_similarity,cosine
google/flan-t5-xl,irony,0.32,embedding_similarity,cosine
google/flan-t5-xl,maxims,0.3157894736842105,embedding_similarity,cosine
google/flan-t5-xl,metaphor,0.2,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,coherence,0.5,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,deceits,0.15,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,humour,0.2,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,indirect_speech,0.45,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,irony,0.4,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,maxims,0.21052631578947367,embedding_similarity,cosine
meta-llama/Llama-2-7b-hf,metaphor,0.3,embedding_similarity,cosine
gpt-3.5-turbo-instruct,coherence,0.55,embedding_similarity,cosine
gpt-3.5-turbo-instruct,deceits,0.1,embedding_similarity,cosine
gpt-3.5-turbo-instruct,humour,0.28,embedding_similarity,cosine
gpt-3.5-turbo-instruct,indirect_speech,0.55,embedding_similarity,cosine
gpt-3.5-turbo-instruct,irony,0.4,embedding_similarity,cosine
gpt-3.5-turbo-instruct,maxims,0.3157894736842105,embedding_similarity,cosine
gpt-3.5-turbo-instruct,metaphor,0.05,embedding_similarity,cosine
