model_name,metric_formula,phenomenon,metric,dependent_variable
google/flan-t5-xl,sentence_mi,coherence,label_score,0.495
google/flan-t5-xl,sentence_mi,deceits,label_score,0.31
google/flan-t5-xl,sentence_mi,humour,label_score,0.152
google/flan-t5-xl,sentence_mi,indirect_speech,label_score,0.25
google/flan-t5-xl,sentence_mi,irony,label_score,0.368
google/flan-t5-xl,sentence_mi,maxims,label_score,0.3368421052631579
google/flan-t5-xl,sentence_mi,metaphor,label_score,0.2
gpt-3.5-turbo-instruct,sentence_mi,coherence,label_score,0.63
gpt-3.5-turbo-instruct,sentence_mi,deceits,label_score,0.48
gpt-3.5-turbo-instruct,sentence_mi,humour,label_score,0.328
gpt-3.5-turbo-instruct,sentence_mi,indirect_speech,label_score,0.61
gpt-3.5-turbo-instruct,sentence_mi,irony,label_score,0.536
gpt-3.5-turbo-instruct,sentence_mi,maxims,label_score,0.30526315789473685
gpt-3.5-turbo-instruct,sentence_mi,metaphor,label_score,0.67
meta-llama/Llama-2-7b-hf,sentence_mi,coherence,label_score,0.495
meta-llama/Llama-2-7b-hf,sentence_mi,deceits,label_score,0.34
meta-llama/Llama-2-7b-hf,sentence_mi,humour,label_score,0.248
meta-llama/Llama-2-7b-hf,sentence_mi,indirect_speech,label_score,0.29
meta-llama/Llama-2-7b-hf,sentence_mi,irony,label_score,0.344
meta-llama/Llama-2-7b-hf,sentence_mi,maxims,label_score,0.29473684210526313
meta-llama/Llama-2-7b-hf,sentence_mi,metaphor,label_score,0.28
text-davinci-002,sentence_mi,coherence,label_score,0.645
text-davinci-002,sentence_mi,deceits,label_score,0.63
text-davinci-002,sentence_mi,humour,label_score,0.48
text-davinci-002,sentence_mi,indirect_speech,label_score,0.85
text-davinci-002,sentence_mi,irony,label_score,0.56
text-davinci-002,sentence_mi,maxims,label_score,0.6947368421052632
text-davinci-002,sentence_mi,metaphor,label_score,0.71
