,ItemNum,Question,Item,Task,Story,Question2,Correct1,Correct2,Question3,Correct3,Type
0,1,Were any of the runners experienced?,HE,QuantifierScope,"Three US Olympic runners and three recreational runners entered a local road race. All of the Olympic runners were expected to place in the top five, but none of the recreational runners were. As expected, every runner didn't place in the top five.",How many runners placed in the top five?,Yes,Some,,,
1,2,Were any of the jugglers nervous? ,Filler,QuantifierScope,"Seven nervous jugglers and seven non-nervous jugglers were performing in front of a large crowd. All of the nervous jugglers were expected to immediately drop the bowling pins juggled, but none of the non-nervous jugglers were. In the end, none of the jugglers dropped the bowling pins.",How many jugglers dropped some bowling pins? ,Yes,None,,,
2,3,Were there any famous singers?,LE,QuantifierScope,"Six little-known singers were each getting ready to release their second albums. Their record labels didn't expect any of these albums to sell one million copies. As expected, every singer's album didn't sell one million copies.",How many singers' albums sold one million copies?,No,None,,,
3,4,Were all of the contractors trying to build five houses? ,Filler,QuantifierScope,"Four contractors each attempted to build five houses in a new housing development by the end of the year. They were all expected to be able to succeed in this goal. In the end, a few of the contractors succeeded in building five houses on time.",Did all of the contractors succeed in building five houses on time?,Yes,Some,,,
4,5,Were all of the farmers tired?,HE,QuantifierScope,"Four well-rested farmers and four tired farmers participated in a sleep study at a hospital. All of the well-rested farmers were expected to sleep less than eight hours for the night, but none of the tired farmers were. As expected, every farmer didn't sleep less than eight hours.",How many farmers slept less than eight hours?,No,Some,,,
5,6,Were some girls assigned to make a dress using a fashion magazine as a guide? ,Filler,QuantifierScope,"In a home economics class, four girls were each assigned to make a dress following instructions from a fashion magazine. It turned out that the instructions were very complicated, so the task was very hard. In the end, every girl succeeded in making a dress.",How many girls succeed in making a dress? ,Yes,All,,,
6,7,Were any of the students native speakers of French?,LE,QuantifierScope,"Five first-year students of French took a college-placement French exam. None of them were expected to be placed into the most advanced French class. As expected, every student didn't place into the most advanced French class.",How many students placed into the most advanced French class?,No,None,,,
7,8,Did the administrators complain about the alumni's skill in raising money?,Filler,QuantifierScope,"Twenty alumni from a Princeton University class attempted to raise $2000 each from their classmates for a new arts program. The university administrators were worried that the fundraising goal was too difficult to achieve. Surprisingly, 18 of the 20 alumni succeeded in raising their targeted goal.",How many alumni succeed in raising their targeted goal? ,No,Some,,,
8,9,Were any photographers professional?,HE,QuantifierScope,"Seven professional photographers and seven amateur photographers entered a national photo contest. All of the professional photographers were expected to be able to make it to the final round of judging, but none of the amateur photographers were. As expected, every photographer didn't make it to the final round.",How many photographers made it to the final round of judging?,Yes,Some,,,
9,10,Were all of the participants overweight?,LE,QuantifierScope,"Nine overweight individuals took part in an endurance study involving running up flights of stairs. None of them were expected to be able to finish the climb quickly. As expected, every participant didn't finish the climb quickly.",How many participants quickly finished the climb?,Yes,None,,,
10,11,Were some of the salesman self-assured?,Filler,QuantifierScope,"Six cocky salesmen attempted to sell all of their products at a convention. None of them were expected to sell all of their products because of their bad attitudes. As expected, none of the salesmen sold all of their products at the convention.",How many salesmen sell all of their products?,Yes,None,,,
11,12,Were the infants being taught how to draw faces?,Filler,QuantifierScope,"Seven infants were being taught how to draw shapes. Because of their lack of coordination, none of them were expected to draw a shape without help. In the end, none of the infants managed to draw shapes without help.",How many infants succeed in drawing shapes without help?,No,None,,,
12,13,Were there any high-achieving students?,HE,QuantifierScope,"Three high-achieving and three low-achieving students entered the state spelling bee. All of the high-achieving students were expected to place in the top ten, but none of the low-achieving students were. As expected, every student didn't place in the top ten.",How many students placed in the top ten?,Yes,Some,,,
13,14,Did the supervisor expect the volunteers to raise $500 each?,Filler,QuantifierScope,"Six volunteers attempted to raise $500 each from their local communities for the cancer society. This was an ambitious goal, and their supervisor didn't really expect them to succeed. In the end, five of the volunteers raised more than $500.",How many volunteers raised more than $500?,No,Some,,,
14,15,Were all of the televisions broken?,LE,QuantifierScope,"Three broken televisions were brought to a flea market to be sold. None of them were expected to be bought for more than $50. As expected, every television wasn't bought for more than $50.",How many televisions were bought for more than $50?,Yes,None,,,
15,16,Were the students expected to write a research paper? ,Filler,QuantifierScope,"Ten graduate students were each expected to write a research paper by the end of the term. They worked diligently throughout the term in order to accomplish their goals. Surprisingly, only two completed the research paper on time.",How many graduate students wrote a research paper by the end of the term? ,Yes,Some,,,
16,17,Was either of the restaurants well-known?,HE,QuantifierScope,"A famous restaurant and a local restaurant each entered three of their chili recipes in a national contest. All the famous restaurant's chili recipes were expected to win a medal in its category, but none of the local restaurant's chili recipes were. As expected, every chili recipe didn't win a medal.",How many chili recipes won a medal?,Yes,Some,,,
17,18,Were the boats expected to survive the turbulent waters?,Filler,QuantifierScope,"Six boats were set out to sea. None of them were expected to stay afloat because of the turbulent waters. In the end, none of the boats stayed afloat.",How many boats stayed afloat at sea? ,No,None,,,
18,19,Were all of the magnets tested by preschoolers?,Filler,QuantifierScope,"Five magnets were tested by preschoolers to see if they could attract pegs. Each peg was made of wood. As expected, none of the magnets attracted the wooden pegs.",How many magnets attracted wooden pegs?,Yes,None,,,
