item_number,prompt,true_answer_key,true_answer,scenarios,options
1,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey?  Explanation: Lara needs to get a dress of a shorter length.",2,Explanation: Lara needs to get a dress of a shorter length.,"In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","['The dress is fitting well.', 'Lara needs to get a dress of a shorter length.', 'Simon does not like the color of this dress.', 'Simon has to get back to work.']"
2,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey? Explanation: Shane was not paying attention when Christian was talking.",2,Explanation: Shane was not paying attention when Christian was talking.,"Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","['Shane was paying attention when Christian was talking.', 'Shane was not paying attention when Christian was talking.', ""Shane's hearing improved greatly."", 'Shane needs to see an eye doctor.']"
3,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey?  Explanation: Phil's basketball skills could be better.",2,Explanation: Phil's basketball skills could be better.,"Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","['Phil is a great basketball player.', ""Phil's basketball skills could be better."", ""Phil's blocking is impressive."", 'Phil is a great student.']"
4,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey? Explanation: Patrick is careless.",2,Explanation: Patrick is careless.,"Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey?","['Patrick is very cautious.', 'Patrick is careless.', 'Patrick is allergic to noodles.', 'Patrick pays a lot of attention to fashion.']"
5,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Today Sarah and Tom are going to the beach to go swimming and sunbathing. It was Tom's idea, as he said it was going to be a lovely sunny day to go to the beach. But just as they arrive at the beach, it starts to rain and thunder. Sarah becomes angry. She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey? Explanation: Tom's idea to go to the beach was awful.",2,Explanation: Tom's idea to go to the beach was awful.,"Today Sarah and Tom are going to the beach to go swimming and sunbathing. It was Tom's idea, as he said it was going to be a lovely sunny day to go to the beach. But just as they arrive at the beach, it starts to rain and thunder. Sarah becomes angry. She says ""Oh yes, a lovely day for going to the beach."" What did Sarah want to convey?","[""Tom's idea to go to the beach was genius. "", ""Tom's idea to go to the beach was awful."", 'Tom forgot his sunscreen.', 'Tom forgot his passport.']"
6,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: It is a holiday. Stefan and Kim are sitting in the backseat of the car. They are fighting all the time. Their father says: ""Oh, it is so pleasant here."" What did the father want to convey? Explanation: He does not want to listen to his kids' arguments.",2,Explanation: He does not want to listen to his kids' arguments.,"It is a holiday. Stefan and Kim are sitting in the backseat of the car. They are fighting all the time. Their father says: ""Oh, it is so pleasant here."" What did the father want to convey?","['He enjoys listening to his kids fighting.', ""He does not want to listen to his kids' arguments."", 'AC gives them some needed cool.', ""He remembers about his wife's birthday.""]"
7,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Kim and Jane are leaving the football stadium. Jane says, ""What a wonderful game."" Kim looks disappointed. Kim replies: ""Sorry I made you come."" What did Jane want to convey? Explanation: The game was a disaster.",2,Explanation: The game was a disaster.,"Kim and Jane are leaving the football stadium. Jane says, ""What a wonderful game."" Kim looks disappointed. Kim replies: ""Sorry I made you come."" What did Jane want to convey?","['The game was outstanding.', 'The game was a disaster.', 'The game ended too late.', 'The game of chess was over.    ']"
8,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Mark entered a golf tournament where he played badly and kept missing very easy shots. His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey? Explanation: Mark isn't a good player.",2,Explanation: Mark isn't a good player.,"Mark entered a golf tournament where he played badly and kept missing very easy shots. His friend Hal watched the tournament and afterwards he said to Mark, ""You sure are a good golfer."" What did Hal want to convey?","['Mark is an exceptional player.', ""Mark isn't a good player."", 'Mark forgot to thank his caddy.', 'Mark forgot to thank his dentist.  ']"
9,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Adrian's mother asks if he can look in his brother Tom's room to check if he has tidied up. Adrian opens the door to Tom's room, peers in, and sees that the room appears as it normally does - cluttered with toys and dirty clothes. He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey? Explanation: Tom's room is still messy.",2,Explanation: Tom's room is still messy.,"Adrian's mother asks if he can look in his brother Tom's room to check if he has tidied up. Adrian opens the door to Tom's room, peers in, and sees that the room appears as it normally does - cluttered with toys and dirty clothes. He shouts to his mother: ""Mother, Tom, as usual, has done a splendid job tidying up!"" What did Adrian want to convey?","['Tom tidied up his room.', ""Tom's room is still messy."", 'Tom cannot find a vacuum.', 'Tom cannot find a lawyer. ']"
10,"Task: You will read short stories that describe everyday situations. Each story will be followed by an explanation of why one character in that scenario responds in a certain way. Read each story and the associated explanation. Your task is to decide how plausible is that explanation. The degree varies from ""very implausible"", ""implausible"", ""at chance"", ""plausible"", ""very plausible"". Answer only with one degree. Scenario: Callie promised to bring a salad to Jason's dinner party. She arrived two hours late. Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey? Explanation: He is annoyed that Callie showed up late.",2,Explanation: He is annoyed that Callie showed up late.,"Callie promised to bring a salad to Jason's dinner party. She arrived two hours late. Jason said, ""I'm so glad that you were able to fit us into your busy schedule."" What did Jason want to convey?","['He is happy that Callie made it to the party.', 'He is annoyed that Callie showed up late.', ""He is hungry and wants to eat Callie's salad."", 'He is tired and is going to bed.']"
