model_name,seed,item_id,phenomenon,prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,cosine_sims,choice_probs_rounded,chosen_option
text-embedding-ada-002,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Your answer:
",,"The man says, ""Where should I put these blinds, lady?""",target,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,A,0.7379217037230054,0.19310430726742803,funny_nonsequitur
text-embedding-ada-002,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Your answer:
",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,B,0.7930322202309594,0.2040450926018663,funny_nonsequitur
text-embedding-ada-002,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Your answer:
",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,C,0.7977716725499359,0.20501444988598044,funny_nonsequitur
text-embedding-ada-002,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Your answer:
",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,D,0.7321685450752371,0.19199653719612367,funny_nonsequitur
text-embedding-ada-002,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
Your answer:
",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,E,0.8017884967537376,0.20583961304860157,funny_nonsequitur
text-embedding-ada-002,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Your answer:
",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,A,0.7618591577234467,0.19995435091118371,incorrect_straightforward
text-embedding-ada-002,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Your answer:
",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,B,0.759961444855256,0.19957525478797483,incorrect_straightforward
text-embedding-ada-002,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Your answer:
",,"""The birds are always eating my grass seed.""",associative_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,C,0.7678039762667559,0.20114658353639586,incorrect_straightforward
text-embedding-ada-002,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Your answer:
",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,D,0.7605053728715636,0.1996838388887059,incorrect_straightforward
text-embedding-ada-002,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
Your answer:
",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,E,0.7602856663979687,0.1996399718757396,incorrect_straightforward
