model_name,seed,item_id,phenomenon,prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,cosine_sims,choice_probs_rounded,chosen_option
meta-llama/Llama-2-7b-hf,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Your answer:
",,He wants his wife to iron his shirt.,target,He got this shirt on sale.,distractor_lexical_overlap,A,0.1271,0.2178,distractor_associative
meta-llama/Llama-2-7b-hf,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Your answer:
",,He is unhappy that his shirt is wrinkled.,competitor,He wants his wife to iron his shirt.,target,B,0.1263,0.2177,distractor_associative
meta-llama/Llama-2-7b-hf,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Your answer:
",,He got this shirt on sale.,distractor_lexical_overlap,He is unhappy that his shirt is wrinkled.,competitor,C,0.2224,0.2395,distractor_associative
meta-llama/Llama-2-7b-hf,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
Your answer:
",,"He got his shoes on sale.
",distractor_associative,"He got his shoes on sale.
",distractor_associative,D,0.5273,0.325,distractor_associative
meta-llama/Llama-2-7b-hf,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Your answer:
",,He does not want Cindy to start painting.,target,He does not want Cindy to start painting.,target,A,0.12494,0.2483,competitor
meta-llama/Llama-2-7b-hf,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Your answer:
",,He has some doubts whether Cindy should be painting.,competitor,He has some doubts whether Cindy should be painting.,competitor,B,0.2025,0.2683,competitor
meta-llama/Llama-2-7b-hf,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Your answer:
",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,He wants Cindy to create a sculpture.,distractor_associative,C,0.1155,0.246,competitor
meta-llama/Llama-2-7b-hf,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
Your answer:
",,He wants Cindy to create a sculpture.,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,D,0.0792,0.2372,competitor
meta-llama/Llama-2-7b-hf,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
Your answer:
",,Cindy might help her clean up the house.,target,Cindy might help her clean up the house.,target,A,0.1699,0.2595,target
meta-llama/Llama-2-7b-hf,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
Your answer:
",,Cindy's brother creates a lot of mess.,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,0.1304,0.2494,target
