model_name;temperature;phenomenon;decoding_scheme;question;seed;item_id;prompt;response;response_option;target;incorrect_straightforward;associative_nonsequitur;funny_nonsequitur;neutral_nonsequitur
google/flan-t5-xl;9;humour;greedy;;0;1;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 


Your answer:
";She is wearing a hoodie and the top half of her bicep.;funny_nonsequitor;"The man says, ""Where should I put these blinds, lady?""";"The man says, ""Can you spare a little change for a blind man?""";"The man says, ""My seeing eye dog is 10 years old.""";Then the blind man throws a pie in the woman's face.;"The man says, ""I really enjoy going to the symphony."""
google/flan-t5-xl;9;humour;greedy;;0;2;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:


Your answer:
";Mr. Smith, you have one thing riding on your mower this afternoon.;incorrect_straightforward;"""Fine, then you won't need your golf clubs. I'll just borrow them.""";"""Oh well, can I borrow it when you're done then?""";"""The birds are always eating my grass seed.""";"""OOPS!"" as the rake he stepped on barely missed his face.";"""According to the weather report, it will rain tomorrow."""
google/flan-t5-xl;9;humour;greedy;;0;3;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A worried patient tells the doctor that he is still exhausted when he gets home from work. ""Don't worry,"" said the doctor. ""Just have a drink to wake you up."" ""But last week you told me to give up drinking,"" said the patient. ""Well,"" the doctor replied:


Your answer:
";But last week you told me to give up drinking, well, just have a drink to wake you up.;incorrect_straightforward;"""Medical science has progressed enormously since then.""";"""You must do as you are told.""";"""I can't cure everything you know.""";"""Ouch, I got ants in my pants.""";"""Is it raining outside?"""
google/flan-t5-xl;9;humour;greedy;;0;4;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Martha walked into a pastry shop. After surveying all the pastries, she decided on a chocolate pie. ""I'll take that one,"" Martha said to the attendant, ""the whole thing."" ""Shall I cut it into four or eight pieces?"" the attendant asked. 


Your answer:
";Martha made her decision.;incorrect_straightforward;"Martha said, ""Four pieces, please; I'm on a diet.""";"Martha said: ""Well, there are five people for dessert tonight, so eight pieces will be about right.""";"Martha said, ""You make the most delicious sweet rolls in town.""";Then the attendant squirted whipped cream in Martha's face.;"Martha said, ""My leg is hurting so much."""
google/flan-t5-xl;9;humour;greedy;;0;5;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A man went to an eye doctor and asked, ""Doctor, will I be able to read after getting my glasses?"" ""Yes, of course,"" said the doctor, ""why not?"" The man says:


Your answer:
";the doctor is a liar.;incorrect_straightforward;"""Nice! I have never been able to read before.""";"""I am not sure that glasses will help me see well!""";"""There are a number of frames I can choose from.""";"""There is a mouse in your office!"" he said, and jumped on the doctor's lap.";"""I'm spending my vacation in the Bahamas this year."""
google/flan-t5-xl;9;humour;greedy;;0;6;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied:


Your answer:
";The woman had not noticed her ring was on the wrong finger.;incorrect_straightforward;"""Yes I am. I married the wrong man.""";"""It is perfectly fine where it is.""";"""Don't you love cocktail parties?""";"""Sorry,"" she said, as she stumbled and poured her drink on her friend's lap.";"""I love this kind of weather."""
google/flan-t5-xl;9;humour;greedy;;0;7;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Two men were riding on a train for the very first time. They had brought along bananas to eat on the trip. Just as they intended to eat the bananas, the train entered a dark tunnel. ""Have you eaten your banana yet?"" cried the first man. ""No,"" replied his friend. ""Well don't touch it!"" warned the first man... 


Your answer:
";The first man ate the banana while the second man hid behind the seat.;associative_nonsequitur;"""I took one bite and went blind.""";"""It tastes horrible.""";"""I like to eat a lot.""";"""That man is going to slip on this banana peel.""";"""I am going to be out of town for a while."""
google/flan-t5-xl;9;humour;greedy;;0;8;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A tenant had not paid his room rent for several weeks. Tomorrow was his last chance to pay his rent before the landlord would kick him out. ""See here,"" the landlord said, ""I'll meet you half way. I'm ready to forget half of what you owe me.""


Your answer:
";The tenant paid the bill on time.;incorrect_straightforward;"The tenant replied, ""Great, I'm ready to forget the other half.""";"The tenant replied, ""Thank you, I can certainly pay half.""";"The tenant replied, ""Half the city is under rent control.""";Then the tenant's pants fell down.;"The tenant replied, ""I really like to read Shakespeare."""
google/flan-t5-xl;9;humour;greedy;;0;9;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

On his first flight while learning to skydive, a man nervously anticipated his first jump, so he said to his instructor, ""I packed the parachute myself, but I'm sure it won't open."" The instructor says,


Your answer:
";"Then he says, ""I packed the parachute myself, but I'm sure it won't open.""";error;"""In my opinion, you are jumping to a hasty conclusion.""";"""Don't worry, you have a second parachute. Everything will be fine.""";"""I used to fly this type of aircraft during the war.""";"""There is a mouse!"" and jumps out of the plane without a parachute.";"""The Red Sox won yesterday."""
google/flan-t5-xl;9;humour;greedy;;0;10;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A ship is cruising in the Caribbean. One day, a girl falls overboard and her father screams: ""I'll give half my fortune to the person who saves her."" A fellow jumps in and saves the girl. The father says, ""I'll keep my promise. Here's half my fortune."" The fellow replies:


Your answer:
";The father refuses to give him his money so they have to go on a vacation.;error;"""I don't want the money; all I want to know is who shoved me!""";"""Thank you, I need the money.""";"""I usually get seasick on boats.""";"""My pleasure,"" he said as he tipped his hat to the girl and his toupee slipped off";"""I hope it's time to eat dinner soon."""
google/flan-t5-xl;9;humour;greedy;;0;11;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman was telling her friend, ""I made my husband a millionaire."" The friend replies, ""And what was he before you married him?"" asked the friend. The woman replies:


Your answer:
";He was a janitor.;incorrect_straightforward;"""A multi-millionaire.""";"""A lonely guy.""";"""We have been married for 10 years.”";"""Watch out, the wind is blowing away your wig!""";"""My favorite drink is a martini."""
google/flan-t5-xl;9;humour;greedy;;0;12;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A boy from New York was being led through the swamps of Florida. ""Is it true that an alligator won't attack you if you carry a flashlight?"" asked the boy. The guide replied:


Your answer:
";The boy was so relieved after the guide's answer he held up two flashlights in the alligator's path.;error;"""That depends on how fast you carry the flashlight.""";"""That depends on how aggressive the alligator is.""";"""Are you afraid of alligators?""";"""I stepped in a puddle of water!""";"""What do your parents do for a living."""
google/flan-t5-xl;9;humour;greedy;;0;13;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman decides to prepare her will. She tells her lawyer she had two final requests. First, she wanted to be cremated, and second she wanted her ashes scattered all over the local mall. ""Why the mall?"" asked the lawyer. She replied,


Your answer:
";Because the mall is so beautiful.;incorrect_straightforward;"""Then I'll be sure my daughter visits me twice a week.""";"""That is the place I love the most.""";"""They sell the best ice-cream in this mall.""";"""This is my wish"" and then the lawyer's pants fell down.";"""Are you feeling better today?"""
google/flan-t5-xl;9;humour;greedy;;0;14;"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A U.S. airline executive, following government requirements, installed smoke detectors in the cargo area of planes. A spokesperson for the airline commented:


Your answer:
";i'd be scared to fly a plane with smoke detectors;associative_nonsequitur;"""If we can't save the passengers, maybe we can save their luggage!""";"""Safety is our priority.""";"""I am pleased to inform you that this company has increased its sales this year.""";"""Let's have a pilot pillow fight.""";"""I'm a very lucky man."""
