model_name;temperature;phenomenon;decoding_scheme;question;seed;item_id;prompt;response;response_option;target;incorrect_literal;incorrect_nonliteral;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;1;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""

Why has the speaker responded like this?
Your answer:
";Bob didn't like the presentation that Mr. James gave;target;He disliked the talk that his boss gave but does not want to criticize his boss.;He is excited about the upcoming trip to Japan and does not want to talk about anything else.;He liked the talk that his boss gave but does not want to tell him about it.;He wants to avoid going to Japan next week and wants to discuss it with his boss. 
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;2;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" 

Why has the speaker responded like this?
Your answer:
";He did not like Richard's painting.;target;Alex thinks that Richard's painting is mediocre.; Alex is proud of the painting job that he did.;Alex wants Richards to help him paint the walls.;Alex is afraid that Richard will become a better painter than he is. 
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;3;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""

Why has the speaker responded like this?
Your answer:
";They have forgotten the conversation;incorrect_literal;She does not want to discuss the topic that Leslie has raised.;She thinks that it is the best latte in the town.;The man who Leslie saw makes unbelievable lattes.;A coffee break is not a good time to discuss men.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;4;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""

Why has the speaker responded like this?
Your answer:
";They are unsure how to respond to Kelsey's request.;incorrect_nonliteral;He pretends that he did not understand his wife's comment because he wants to watch the game.;He is thankful for her offer of beer and chips.;He is happy to turn off the TV right away and to spend more time with his wife.;He is excited about seeing his wife. 
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;5;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""

Why has the speaker responded like this?
Your answer:
";She feels Jane is doing a good job.;incorrect_literal;Mark's opinion of Jane as a financial manager is very low.;Mark's opinion of Jane as a financial manager is very high.;Mark is fond of people who have good handwriting.;Mark needs to get some new clothes.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;6;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds:""Somewhere in France.""

Why has the speaker responded like this?
Your answer:
";They are indicating something other than where Vincent lives.;incorrect_literal;Lucy's mom does not know where exactly Vincent lives.; Lucy's mom knows that Vincent lives somewhere in France.;Lucy's mom is jealous that she is not going to Paris.;Lucy's mom is afraid that Lucy will go to France.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;7;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds:""Some food.""

Why has the speaker responded like this?
Your answer:
";She is not willing to tell Luke details about what happened at the wedding reception.;target;The food at the wedding was mediocre.;There was not a lot of food at the wedding.;The food at the wedding was outstanding.;The wedding is not about food.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;8;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds:""In a cup.""

Why has the speaker responded like this?
Your answer:
";Ken has been trying to be polite by asking for tea in a cup.;incorrect_literal;Mary is irritated with Ken.;Mary wants Ken to serve her tea in a cup.;Mary wants Ken to wash a cup that she sees in the sink. ;Mary is proud of the new cups that she got from Ken for her birthday.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;9;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:""A pair of shoes.""

Why has the speaker responded like this?
Your answer:
";She is showing honesty.;incorrect_literal;Cindy does not know what type of shoes she wants to buy.;Cindy does not plan to buy anything but shoes in this store.;Cindy has an obsession with shoes and buys them on every occasion.;Cindy is excited about going shopping.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;10;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds:""Some schoolwork.""

Why has the speaker responded like this?
Your answer:
";He doesn't remember his homework.;incorrect_literal;He does not want to talk about school with his mom.;He has been doing lots of schoolwork at school.;He is upset that his dad is not at home.;He is too excited to talk about this at the moment.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;11;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" Mark responds:""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place.""

Why has the speaker responded like this?
Your answer:
";He is being facetious but he doesn't mean it;incorrect_associate;Mark's wife has little experience with cooking.;Mark's wife has been doing some scientific experiments instead of cooking.;Mark's wife has been angry with Mark because he did not help her with dinner.  ;Mark's wife has a lot of experience with cooking.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;12;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" Marcie responds:""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides.""

Why has the speaker responded like this?
Your answer:
";She has experience baking.;incorrect_nonliteral;Marcie thinks that her husband's expectations about breakfast are too high.;Marcie wants Lenny to know how his breakfast was made.;Marcie is really good at cooking eggs and making toast.;Marcie thinks that breakfast is the main meal of the day.
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;0;13;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike and Melissa are arguing about the state of secondary education in their state. Mike states: ""Standardized test scores are up 42% in our schools."" Melissa responds:""And 47% of the kids didn't use the right pencil, 6% were chewing gum during the exam, and 32% yawned while completing their exams.""

Why has the speaker responded like this?
Your answer:
";They believe the test results are important, but are not interested in the reason behind them.;incorrect_literal;Melissa thinks that statistical information is useless in this debate.;Melissa thinks that statistical information is of great use in this debate.;Melissa thinks that kids attending schools lack subject knowledge. ;Melissa is very knowledgeable about the system of secondary education.
