model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,annotation_wang
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,1,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,2,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,3,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
Your answer:
",No,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,4,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.

Is this story coherent or not?
Your answer:
",No,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,5,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,6,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
",No,competitor
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,7,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,8,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,9,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. 

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,10,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,11,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,12,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. 

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,13,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,14,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Joey got angry at his brother in a game. The next day his body was covered with bruises.

Is this story coherent or not?
Your answer:
",Yes,target
google/flan-t5-xl,0.1,coherence,greedy,Is this story coherent or not?,2,15,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The papers on the desk blew off onto the floor.

Is this story coherent or not?
Your answer:
",Yes,target
