model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?


Your answer:
",His clothes are wrinkled
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?


Your answer:
",He doesn't think she can afford the time.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?


Your answer:
",She cannot take Cindy to the movies.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?


Your answer:
","She wants to talk about something else, but she can't talk about the movie any more."
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy and Matt had been good friends for a long time. Recently Cindy started teasing Matt a lot every day. He got mad and said, ""My friends do not say hurtful things to me."" What might he be trying to convey?


Your answer:
",It is unfair
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The boys were playing around. Dan accidentally tripped Scott. Scott got very angry about falling. Dan said: ""Everybody's being wild."" What might he be trying to convey?


Your answer:
",Dan is annoyed that everyone is making a scene.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kate brought some cookies to school. Matt has a sweet tooth. He says, ""Your cookies smell delicious. They must be really tasty."" What might he be trying to convey?


Your answer:
",He would like to try Kate's cookies.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher said that she was feeling sick today and asked the kids to work in groups quietly. Matt kept talking loudly with his friends. The teacher said, ""Matt, I think you are being unfair to me now."" What might she be trying to convey?


Your answer:
",He has to behave himself.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy was having a slumber party with two of her friends. It was very late, but they kept talking and laughing. Her dad came in and said, ""I would like to go to bed but it is too loud in here."" What might he be trying to convey?


Your answer:
","He wants them to be quiet, but they keep being loud."
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Chad and Matt were walking. The sidewalk was being fixed and there was lots of shattered glass on the sidewalk. Matt was not paying attention to the sidewalk. Chad said, ""I guess you like walking on shattered glass."" What might he be trying to convey?


Your answer:
",Matt's dangerous manner
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard is driving his wife home from church. On the way home they want to stop at a new gourmet grocery store at 2401 Main Street. It is in a part of town that they are not familiar with. Richard points at a building and asks his wife: ""Can you see that house number?"" What might he be trying to convey?


Your answer:
",Help him find the grocery store.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

It has been a hot day. Juan's wife is leaving the house and says to him, ""Can you water the lawn?'' What might he be trying to convey?


Your answer:
",His lawn has dried out
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

A house painter is carrying a heavy tray of paints. A small ladder is blocking the sidewalk and the painter cannot get around it. He calls out to his brother: ""Can you move the ladder?""  What might he be trying to convey?


Your answer:
",That he needs help
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Brad is interested in basketball and wants to join his school's basketball team. One day he comes to the basketball court and asks the players there: ""Do you think I can play basketball with you?"" What might he be trying to convey?


Your answer:
",He wants to learn how to play basketball.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jane is watching TV while her mom is cooking dinner in the kitchen. The doorbell rings. Jane's mother says: ""Someone is at the door"". What might she be trying to convey?


Your answer:
",She is bringing the doormat to get the door open.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Adam and Bill are working together on a project. Adam decides to take a break, and opens a window. A cold breeze blows in. Bill says, ""I am getting cold."" What might he be trying to convey?


Your answer:
",He is trying to be cosy.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark invited Josh to his house to watch a football game. Josh brings a six-pack of beer with him. Josh picks up one bottle, examines it and then says to Mark: ""Hmm, this isn't a twist off."" What might he be trying to convey?


Your answer:
",He's not sure the beers are of high quality.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Natalie returns home to find that her partner, Alex, created a big mess on the table. Natalie says: ""Alex, my parents are going to be here any minute"" What might she be trying to convey?


Your answer:
","Alex, you need to clean up"
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,19,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Nate is about to leave the house. His wife points at a full bag of garbage and asks: ""Are you going out?"" What might she be trying to convey?


Your answer:
",He should take the bag out.
google/flan-t5-xl,0.9,indirect_speech,greedy,,2,20,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Sam is sunning himself on the porch. Peter comes out of the house and forgets to close the screen door. Sam says, ""Peter, there are many flies and mosquitoes outside."" What might he be trying to convey?


Your answer:
",It's too hot outside.
