model_name;temperature;phenomenon;decoding_scheme;question;seed;item_id;prompt;response;response_option
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;1;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""

Why has the speaker responded like this?
Your answer:
";He was not prepared for the meeting for the presentation.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;2;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" 

Why has the speaker responded like this?
Your answer:
";Alex is confused.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;3;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""

Why has the speaker responded like this?
Your answer:
";Jane has mistakenly thought the man was a coworker.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;4;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""

Why has the speaker responded like this?
Your answer:
";He feels that Kelsey is angry at him.;target
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;5;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""

Why has the speaker responded like this?
Your answer:
";He thinks the candidate would do well.;incorrect_literal
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;6;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds:""Somewhere in France.""

Why has the speaker responded like this?
Your answer:
";They don't know what country Vincent lives in.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;7;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds:""Some food.""

Why has the speaker responded like this?
Your answer:
";She does not want Luke to come home hungry.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;8;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds:""In a cup.""

Why has the speaker responded like this?
Your answer:
";She is being polite.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;9;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:""A pair of shoes.""

Why has the speaker responded like this?
Your answer:
";She knows what was asked of her;incorrect_literal
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;10;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds:""Some schoolwork.""

Why has the speaker responded like this?
Your answer:
";It is what his mom wants.;incorrect_nonliteral
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;11;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" Mark responds:""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place.""

Why has the speaker responded like this?
Your answer:
";She has just experienced watching her new-wife cook;incorrect_literal
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;12;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" Marcie responds:""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides.""

Why has the speaker responded like this?
Your answer:
";They like the way their husband prepares breakfast.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;13;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike and Melissa are arguing about the state of secondary education in their state. Mike states: ""Standardized test scores are up 42% in our schools."" Melissa responds:""And 47% of the kids didn't use the right pencil, 6% were chewing gum during the exam, and 32% yawned while completing their exams.""

Why has the speaker responded like this?
Your answer:
";She feels that the students aren't doing anything in schools and the state should focus on doing something about it.;incorrect_nonliteral
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;14;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Rosy notes to her friend Dan: ""Those strangers at the other end of the subway car are nice."" Dan replies:""Yeah, I bet they have only sweet dreams, eat organic food, do yoga every morning, plant trees, feed homeless, and read a lot of good books."" 

Why has the speaker responded like this?
Your answer:
";Because the speaker thinks the strangers are more interesting than he.;incorrect_nonliteral
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;15;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Berta often forgets to return money that she borrows from her friends. One day Berta asks her friend Freddie for $500. Freddie responds:""Of course, but only when I fly to space.""

Why has the speaker responded like this?
Your answer:
";They are being sarcastic.;target
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;16;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lars and Katy are discussing their CEO. Lars says: ""People regard our CEO Mr. Smith as a real intellectual."" Katy responds:""Sure, he is regarded as an intellectual by kindergarteners.""

Why has the speaker responded like this?
Your answer:
";She is joking about the CEO.;target
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;17;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Samantha is talking with her dad about her fiance. Samantha notes: ""John is an innocent person."" Her dad replies:""Undoubtedly, as innocent as a saint.""

Why has the speaker responded like this?
Your answer:
";He trusts his daughter.;incorrect_literal
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;18;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lenny is saying goodbye to his date Bianka. Lenny asks Bianka: ""Where do you live?"" Bianka responds:""I live on the moon.""

Why has the speaker responded like this?
Your answer:
";She wants the conversation to be more serious.;incorrect_associate
google/flan-t5-xl;9;maxims;greedy;Why has the speaker responded like this?;2;19;"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Annie and Kelly are discussing their plans for summer. Annie asks Kelly: ""How many books do you plan to read this summer?"" Kelly responds:""A million.""

Why has the speaker responded like this?
Your answer:
";He is lying.;incorrect_associate
