model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,1,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent as it describes a situation where Mary is nervous before taking her exam.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,2,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:
","Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,3,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,4,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,5,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:
","
Yes",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,6,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,7,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets up an event (Sharon's car being wrecked) and the second sentence continues the story by mentioning her going to the bank, which could potentially be to get a loan to fix her",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,8,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,9,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets up the scene and the second sentence introduces a conflict. The last sentence provides a resolution to the conflict. ",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,10,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. Skipping English class would cause someone to worry about their final exam. ",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,11,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.

Is this story coherent or not?
Your answer:
","
Not coherent. The sentences do not seem to be connected or flow into each other.",competitor,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,12,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. It follows a clear sequence of events and the actions are related to each other.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,13,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.

Is this story coherent or not?
Your answer:
",Yes,target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,14,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Joey got angry at his brother in a game. The next day his body was covered with bruises.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,15,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The papers on the desk blew off onto the floor.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene by mentioning a rain storm approaching the city, and the second sentence continues the narrative by mentioning an event that occurs as a result of the storm - the papers blowing off the desk onto",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,16,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. His driving became more dangerous each day.

Is this story coherent or not?
Your answer:
","
Not coherent",competitor,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,17,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. She opened the paper to look at the apartment listing.

Is this story coherent or not?
Your answer:
","
Not coherent",competitor,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,18,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Richard remembered it was a big day for Karen. He spent the whole day shopping for a present.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence introduces Karen and the fact that it is a big day for her. The second sentence supports this by stating that Richard spent the whole day shopping for a present, which suggests that the present is for",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,19,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. The next day he yelled at his secretary.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,20,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. The water spilled onto the expensive carpet.

Is this story coherent or not?
Your answer:
","
Yes, this is a coherent story. The first sentence sets up the action of Cleo brushing against a table, and the second sentence follows logically with the consequence of her action - the water spilling onto the carpet.",target,coherent
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,0,21,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Some friends had remembered her birthday.

Is this story coherent or not?
Your answer:
",Not coherent,target,incoherent
