model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target,incorrect_straightforward,associative_nonsequitur,funny_nonsequitur,neutral_nonsequitur
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,1,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 


Your answer:
","
The man says, ""Nice boobs, where do you want me to hang the blinds?""",target,"The man says, ""Where should I put these blinds, lady?""","The man says, ""Can you spare a little change for a blind man?""","The man says, ""My seeing eye dog is 10 years old.""",Then the blind man throws a pie in the woman's face.,"The man says, ""I really enjoy going to the symphony."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,2,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:


Your answer:
","""Well, then I'll have to find someone else to borrow it from.""",incorrect_straightforward,"""Fine, then you won't need your golf clubs. I'll just borrow them.""","""Oh well, can I borrow it when you're done then?""","""The birds are always eating my grass seed.""","""OOPS!"" as the rake he stepped on barely missed his face.","""According to the weather report, it will rain tomorrow."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,3,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A worried patient tells the doctor that he is still exhausted when he gets home from work. ""Don't worry,"" said the doctor. ""Just have a drink to wake you up."" ""But last week you told me to give up drinking,"" said the patient. ""Well,"" the doctor replied:


Your answer:
","
""I never said you had to give it up forever!""",associative_nonsequitur,"""Medical science has progressed enormously since then.""","""You must do as you are told.""","""I can't cure everything you know.""","""Ouch, I got ants in my pants.""","""Is it raining outside?"""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,4,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Martha walked into a pastry shop. After surveying all the pastries, she decided on a chocolate pie. ""I'll take that one,"" Martha said to the attendant, ""the whole thing."" ""Shall I cut it into four or eight pieces?"" the attendant asked. 


Your answer:
","
""Oh, I'm sure I'll be able to manage it all in one sitting.""",associative_nonsequitur,"Martha said, ""Four pieces, please; I'm on a diet.""","Martha said: ""Well, there are five people for dessert tonight, so eight pieces will be about right.""","Martha said, ""You make the most delicious sweet rolls in town.""",Then the attendant squirted whipped cream in Martha's face.,"Martha said, ""My leg is hurting so much."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,5,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A man went to an eye doctor and asked, ""Doctor, will I be able to read after getting my glasses?"" ""Yes, of course,"" said the doctor, ""why not?"" The man says:


Your answer:
","""Because I could barely read without them!""",incorrect_straightforward,"""Nice! I have never been able to read before.""","""I am not sure that glasses will help me see well!""","""There are a number of frames I can choose from.""","""There is a mouse in your office!"" he said, and jumped on the doctor's lap.","""I'm spending my vacation in the Bahamas this year."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,6,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

At the cocktail party, one woman said to another, ""Aren't you wearing your wedding ring on the wrong finger?"" The other replied:


Your answer:
","
""Oh, yes. I married the wrong man."" ",target,"""Yes I am. I married the wrong man.""","""It is perfectly fine where it is.""","""Don't you love cocktail parties?""","""Sorry,"" she said, as she stumbled and poured her drink on her friend's lap.","""I love this kind of weather."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,7,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Two men were riding on a train for the very first time. They had brought along bananas to eat on the trip. Just as they intended to eat the bananas, the train entered a dark tunnel. ""Have you eaten your banana yet?"" cried the first man. ""No,"" replied his friend. ""Well don't touch it!"" warned the first man... 


Your answer:
","""Otherwise, we'll be going bananas!""",associative_nonsequitur,"""I took one bite and went blind.""","""It tastes horrible.""","""I like to eat a lot.""","""That man is going to slip on this banana peel.""","""I am going to be out of town for a while."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,8,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A tenant had not paid his room rent for several weeks. Tomorrow was his last chance to pay his rent before the landlord would kick him out. ""See here,"" the landlord said, ""I'll meet you half way. I'm ready to forget half of what you owe me.""


Your answer:
","
""But that still leaves me with half a room!""",funny_nonsequitur,"The tenant replied, ""Great, I'm ready to forget the other half.""","The tenant replied, ""Thank you, I can certainly pay half.""","The tenant replied, ""Half the city is under rent control.""",Then the tenant's pants fell down.,"The tenant replied, ""I really like to read Shakespeare."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,9,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

On his first flight while learning to skydive, a man nervously anticipated his first jump, so he said to his instructor, ""I packed the parachute myself, but I'm sure it won't open."" The instructor says,


Your answer:
","
""Well, that's a relief to hear, because I didn't pack a parachute at all!"" ",funny_nonsequitur,"""In my opinion, you are jumping to a hasty conclusion.""","""Don't worry, you have a second parachute. Everything will be fine.""","""I used to fly this type of aircraft during the war.""","""There is a mouse!"" and jumps out of the plane without a parachute.","""The Red Sox won yesterday."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,10,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A ship is cruising in the Caribbean. One day, a girl falls overboard and her father screams: ""I'll give half my fortune to the person who saves her."" A fellow jumps in and saves the girl. The father says, ""I'll keep my promise. Here's half my fortune."" The fellow replies:


Your answer:
","
""Actually, I don't want your fortune. I just wanted to see if the girl was still alive.""",,"""I don't want the money; all I want to know is who shoved me!""","""Thank you, I need the money.""","""I usually get seasick on boats.""","""My pleasure,"" he said as he tipped his hat to the girl and his toupee slipped off","""I hope it's time to eat dinner soon."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,11,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman was telling her friend, ""I made my husband a millionaire."" The friend replies, ""And what was he before you married him?"" asked the friend. The woman replies:


Your answer:
","""A multi-millionaire, of course! I married him for his money.""",target,"""A multi-millionaire.""","""A lonely guy.""","""We have been married for 10 years.”","""Watch out, the wind is blowing away your wig!""","""My favorite drink is a martini."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,12,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A boy from New York was being led through the swamps of Florida. ""Is it true that an alligator won't attack you if you carry a flashlight?"" asked the boy. The guide replied:


Your answer:
","""I'm not sure, but it's all about how fast you can run with that flashlight!""",target,"""That depends on how fast you carry the flashlight.""","""That depends on how aggressive the alligator is.""","""Are you afraid of alligators?""","""I stepped in a puddle of water!""","""What do your parents do for a living."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,13,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman decides to prepare her will. She tells her lawyer she had two final requests. First, she wanted to be cremated, and second she wanted her ashes scattered all over the local mall. ""Why the mall?"" asked the lawyer. She replied,


Your answer:
","""Because that's where I spent all my money anyways!""",funny_nonsequitur,"""Then I'll be sure my daughter visits me twice a week.""","""That is the place I love the most.""","""They sell the best ice-cream in this mall.""","""This is my wish"" and then the lawyer's pants fell down.","""Are you feeling better today?"""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,14,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A U.S. airline executive, following government requirements, installed smoke detectors in the cargo area of planes. A spokesperson for the airline commented:


Your answer:
","""The only problem is, now the pilots keep getting hungry for smoked meats during their flights!""",associative_nonsequitur,"""If we can't save the passengers, maybe we can save their luggage!""","""Safety is our priority.""","""I am pleased to inform you that this company has increased its sales this year.""","""Let's have a pilot pillow fight.""","""I'm a very lucky man."""
gpt-3.5-turbo-instruct,0.9,humour,greedy,,0,15,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A famous French mime died of a cerebral hemorrhage, the school he founded confirmed today. The doctor said:


Your answer:
","
He never spoke a word, but he died with style!",target,"""He went quietly.""","""His talents will be greatly missed.""","""Mime is a beautiful form of art.""",The principal of the school slipped on a banana peel and fell in front of the class.,"""You can buy very good wine in France."""
