model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option,target,competitor,distractor_plausibleliteral,distractor_literal,distractor_nonsequitut
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?


Your answer:
","
Based on Mary's response, it seems like she is saying that the town is not a very pleasant or desirable place to live. Similar to how a chimney is often seen as a dirty and uninviting structure, Mary may be implying that this",target,The town is not one of the cleanest ones.,The people living in this town are very welcoming.,All houses in this town have chimneys.,The town is a chimney.,Mary found a job at a company installing chimneys.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?


Your answer:
","
Mike meant that their baby is like a precious and delicate lovebird's egg, something to be cherished and nurtured with care and love. It could also imply that their baby is a symbol of their love and will bring them joy and happiness.",target,Mike and his wife are very much in love with each other.,Mike is worried that the bird flu virus affected their baby.,The baby in his wife's womb is the size of an egg.,Their baby is an egg.,Their baby is growing bigger every day.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?


Your answer:
","Bob means that the investors at the investment company are saving and accumulating resources (i.e. ""nuts"") for the future, much like how squirrels save and collect nuts for the winter. This suggests that the investors are cautious and focused on long-term",target,They buy stocks hoping for future profit.,The investors dress and eat well.,The investors enjoy picking nuts as much as squirrels do.,Squirrels were hired to work in the company.,Bob is allergic to nuts.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?


Your answer:","It is likely that Mark's mother does not have a positive view of his new girlfriend. By comparing her to 100% polyester, which is a cheap and artificial material, she may be implying that the girlfriend is not genuine or authentic. She",target,His girlfriend's behavior was not very natural.,The girl made a good impression on Mark's mom.,His girlfriend wore clothes made of polyester.,His girlfriend is made of polyester.,His girlfriend has a beautiful smile.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 


Your answer:
","
Mary meant that their kids are sweet and enjoyable, but also can be sticky and difficult to handle at times. Like taffy, they may be a bit messy and require effort and patience to deal with, but overall they bring joy and happiness",distractor_plausibleliteral, Their kids always stick together.,Their kids need to stick to a diet.,Their kids eat too many candies.,Their kids are sweet candy.,Their kids argue too much.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?


Your answer:
","Mark could mean that the lady's jewels were dazzling and eye-catching, just like stars bursting in the night sky. He could also be implying that the lady's jewels were very expensive and luxurious, like the stars in the sky that are often seen as",target,The lady's jewelry is shining very brightly.,The lady's jewelry broke into many pieces.,The lady wears some jewelry designed to look like stars.,The lady wears bursting stars.,Mark did not like the lady's jewelry.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 


Your answer:
","
Ben meant that the model was the standout or most impressive attraction at the fashion show, just like a bright and eye-catching blue canary would be among a group of birds.",target,The model stood out at the fashion show.,The model's skin turned blue.,The model wore a costume made of blue feathers.,The blue canary worked as a model at the show.,The model came to the show with her pet bird.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?


Your answer:
","
Possible interpretation: Mary is trying to convey to her granddaughter that the queen is a maternal figure to their nation, similar to an aunt in a family. This could suggest that the queen cares for and looks after the nation, and the people should have",target,The queen cares about you from afar.,People of the country love the pies that the queen bakes.,Mary and her family are related to the queen.,The queen is an aunt of everyone living in the country.,The queen has a lot of relatives.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?


Your answer:
","
Abby likely meant that the beautiful sunset and romantic atmosphere of the promenade were adding to the joy and happiness of the couple in love, almost as if the sunset itself was ""singing"" to them and enhancing their experience.",target,It was a very romantic night.,It was too dark to see any singers performing on the promenade.,There were a lot of musicians and singers performing on the promenade.,He could hear the sun singing songs.,Abby wants to attend a concert with Kyle.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?


Your answer:
","
Based on the context of the story, it can be interpreted that Jessica's mom meant that Jessica's talk went smoothly and successfully, and she was able to reach her goal or objective. The phrase ""sailed towards the finish"" suggests that Jessica",target,Jessica finished her talk successfully.,Jessica's talk was a disaster.,Jessica got interested in sailing.,Jessica finished the sailing race.,Jessica was giving a talk about sailing.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?


Your answer:
","Mark is expressing concern that their daughter is being dominant or bossy towards her brothers, possibly by not respecting their boundaries or making decisions without their input. He may also imply that she is not considering their feelings and needs.",target,She can make her brothers do whatever she wishes.,Their daughter should be less aggressive towards her brothers.,Their daughter finally started to walk.,She is not paying attention when walking and often steps on her little brothers by accident.,She enjoys long walks with her brothers.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 


Your answer:
","The general manager was most likely referring to the new accountant's ability to handle multiple tasks and responsibilities at once, similar to how a juggler can manage multiple objects in the air simultaneously. This could be seen as a compliment, indicating that the new accountant",target,The newly hired person is good at manipulating many things at once.,The newly hired person dressed up as a clown.,The newly hired person used to work in a circus show.,The newly hired person can toss and catch objects in the air.,The newly hired person has too many excuses for being late.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?


Your answer:
","
Ken was likely trying to convey that the store was chaotic, crowded, and possibly even dangerous during the Black Friday sales. The word ""jungle"" connotes a wild and unpredictable environment, suggesting that the store was full of aggressive shoppers and overwhelming",target,The store was complete chaos.,The store that he went to sold some exotic pets.,There were a lot of tropical trees in that store.,The store was in a jungle.,There were a lot of mosquitoes in that store.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?


Your answer:
","
Janet meant that the dancers in the show were graceful, light, and delicate, just like butterflies. They moved with ease and beauty, and their performance was mesmerizing. Perhaps the dancers also had colorful and intricate costumes or choreography, reminiscent",target,The dancers flitted around the stage.,There were too many dancers in this show.,The dancers portrayed butterflies in the show.,Butterflies were dancing on the stage.,She did not see any dancers in the show.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?


Your answer:
","
It is likely that Caitlyn means that Sally is unfriendly or unapproachable, like a block of ice. She may be implying that it is difficult to get to know Sally or that she is unemotional and distant.",target,Sally does not show any emotions.,Sally is very emotional and cries often.,Sally is coming down with a cold.,Sally is an ice sculpture.,Sally's hands are always cold.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Robert and his wife are discussing their neighbor. Robert said: ""Our neighbor is a sheep."" What did Robert mean?  


Your answer:
","
It seems that Robert is using the term ""sheep"" to describe their neighbor in a negative way. He may be implying that their neighbor is passive, unoriginal, or blindly follows others without thinking for themselves. He may also be suggesting that",target,Their neigbor is a follower.,Their neighbor always wears wool sweaters.,Their neighbor has a unique haircut.,There is a sheep living next to them.,Their neigbor is charismatic.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy told her teacher: ""The book that you gave me has more holes in it than Swiss cheese."" What did Lucy mean?


Your answer:
","
Based on the context of the story, it can be interpreted that Lucy is expressing her disappointment with the book given to her by her teacher. By comparing the holes in the book to those in Swiss cheese, Lucy is implying that the book is filled",target,The plot of the book lacks important components.,The book is about cheese making in Switzerland.,The book is in bad shape.,Many pages of the book are missing some parts.,The book smells funny.
gpt-3.5-turbo-instruct,0.9,metaphor,greedy,,0,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher told Sam: ""You have too much on your plate."" What did the teacher mean?


Your answer:
","
The teacher meant that Sam has too many tasks or responsibilities to handle at once. They are suggesting that Sam may be overwhelmed and should prioritize or lighten their workload.",target,Sam has too many things to take care of.,Sam should share food with his classmates.,Sam should think about his dietary habits.,Sam has too much food on his plate.,Sam should finish all the food that is on his plate.
