model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,1,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene of Mary's exam about to start, and the second sentence describes her physical reaction to the situation.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,2,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,3,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence mentions a truck driving by the house, and the second sentence describes a consequence of this event, which is the dishes rattling.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,4,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,5,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene of Susan feeling her baby's forehead, and the second sentence shows her taking action by begging her family doctor to come.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,6,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
","
Not coherent. The two sentences do not seem to be related or connected in any way.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,7,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,8,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence establishes that Cathy was working hard, and the second sentence explains the consequence of her hard work - becoming exhausted and needing to be taken to the hospital.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,9,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

A dog ran toward a little girl eating ice cream. She was knocked down and shouted for her mother. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,10,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jane skipped her English class every now and then. She began to worry about her final exam.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. Skipping English class could lead to worry about the final exam.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,11,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Vicky was planning her first trip to Europe. She put her favorite bathing suit in her bag.

Is this story coherent or not?
Your answer:
","
Not coherent. The sentences do not seem to be related to each other and do not form a logical sequence of events.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,12,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Dick tripped over a chair and hit his head. A mirror fell down and shattered on the floor. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets up the action of Dick tripping over a chair and hitting his head, and the second sentence continues the action by describing a mirror falling and shattering on the floor. Both sentences are connected",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,13,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The Senator wanted to practice corporate law. He decided not to run for re-election.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The Senator's decision to not run for re-election is likely related to his desire to pursue a career in corporate law.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,14,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Joey got angry at his brother in a game. The next day his body was covered with bruises.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets up a conflict between Joey and his brother in a game, and the second sentence provides a consequence of that conflict - Joey's body being covered with bruises.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,15,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The rain storm was approaching the city. The papers on the desk blew off onto the floor.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene of a rain storm approaching the city, and the second sentence adds to the scene by describing the papers on the desk blowing off onto the floor due to the strong winds from the storm",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,16,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Greg was working too hard to have enough rest. His driving became more dangerous each day.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,17,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Lisa commuted to her office an hour each way. She opened the paper to look at the apartment listing.

Is this story coherent or not?
Your answer:
","
Not coherent. The two sentences do not seem to be related or connected in any way.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,18,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Richard remembered it was a big day for Karen. He spent the whole day shopping for a present.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,19,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Jerry read the copy of his manuscript. The next day he yelled at his secretary.

Is this story coherent or not?
Your answer:
","
Not coherent.",competitor
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,20,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cleo brushed against a table with a vase on it. The water spilled onto the expensive carpet.

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. The first sentence sets the scene by mentioning Cleo brushing against a table, and the second sentence follows up by describing the consequence of her action - the water spilling onto the expensive carpet.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,21,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Some friends had remembered her birthday.

Is this story coherent or not?
Your answer:
","
Not coherent.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,22,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
","
Not coherent.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,23,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He begged his family doctor to come at once.

Is this story coherent or not?
Your answer:
","
Not coherent.",target
gpt-3.5-turbo-instruct,0.1,coherence,greedy,Is this story coherent or not?,2,24,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She was knocked down and shouted for her mother

Is this story coherent or not?
Your answer:
","
Not coherent. The two sentences do not seem to be connected and do not provide enough information to form a coherent story.",target
