model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,1,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
"
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,2,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:

```
   coherent
   not coherent
```

If you're correct, the next sentence is a little bit longer. If you're not, the next sentence is a little bit shorter.

This"
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,3,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
Your answer:

```
coherent
```

```
not coherent
```

Sometimes a truck drives by the house. The dishes start to rattle.

Is this story coherent or not?
"
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,4,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

The lights have been on since last night. The car doesn't start.

Is this story coherent or not?
Your answer:

* Coherent story
* Incoherent story
* Don't know

Is this story coherent or not?
Your answer:

* Coherent story
* Incoherent story"
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,5,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:

### The answer

Susan felt her baby's forehead with her palm. She begged her family doctor to come at once.

Is this story coherent or not?
Your answer:

"
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,6,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
```
[ ] Yes
[ ] No
```

Bob was looking forward to the long holiday. He turned on the TV for a weather report.

Is this story coherent or not?
Your answer:
```"
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,7,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Sharon's car was totally wrecked last week. She went to the bank hoping to get a loan.

Is this story coherent or not?
Your answer:

-1 if the story is coherent

-1 if the story is not coherent

-0.5 if you're not sure

---

Sarah lost her car. She went to the"
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,1,1,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Mary's exam was about to start. Her palms were sweaty. 

Is this story coherent or not?
Your answer:
","
Yes, this story is coherent. Both sentences talk about Mary and reference the same event - her exam. The second sentence also provides a detail (her sweaty palms) that adds to the overall narrative."
meta-llama/Llama-2-7b-hf,0.9,coherence,greedy,Is this story coherent or not?,1,8,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 

Is this story coherent or not?
Your answer:
","You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Cathy worked very hard and became exhausted. She was carried unconscious to the hospital. 

Is this story coherent or not?
Your answer:

[...]
"
gpt-3.5-turbo-instruct,0.9,coherence,greedy,Is this story coherent or not?,1,2,"You will read a pair of sentences. Your task is to decide whether they form a coherent story.

Laura got a lot of mail today. Some of her friends had remembered her birthday.

Is this story coherent or not?
Your answer:
",Coherent
