model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""

Why has the speaker responded like this?
Your answer:
","
The speaker has responded like this because they are trying to avoid answering the question.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" 

Why has the speaker responded like this?
Your answer:
","
The speaker is trying to say that the artwork is not good.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""

Why has the speaker responded like this?
Your answer:
","
The speaker is trying to avoid the question.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies:""Beer and chips would be awesome. Thanks!""

Why has the speaker responded like this?
Your answer:
","
The speaker is trying to be sarcastic.",incorrect_nonliteral
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:""She has excellent handwriting and is always dressed so nicely.""

Why has the speaker responded like this?
Your answer:
","
The speaker is trying to say that Jane is a competent and professional financial manager.",competitor
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds:""Somewhere in France.""

Why has the speaker responded like this?
Your answer:
","The speaker is vague about Vincent's location on purpose. They may not want Lucy to visit him for some reason, or may not know where he lives themselves.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds:""Some food.""

Why has the speaker responded like this?
Your answer:
","
The speaker has responded like this because she does not want to talk about the wedding reception.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds:""In a cup.""

Why has the speaker responded like this?
Your answer:
","
The speaker is being sarcastic.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:""A pair of shoes.""

Why has the speaker responded like this?
Your answer:
","
The speaker has responded like this because they want to buy a pair of shoes.",competitor
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds:""Some schoolwork.""

Why has the speaker responded like this?
Your answer:
","
The speaker has responded like this because they are trying to avoid talking about what happened at school today.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" Mark responds:""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place.""

Why has the speaker responded like this?
Your answer:
","
The speaker has responded like this because he is either being sarcastic or he is not very impressed with his wife's cooking.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" Marcie responds:""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides.""

Why has the speaker responded like this?
Your answer:
","
The speaker has responded in this way because they are trying to tell Lenny that they do not want to have breakfast with him.",incorrect_nonliteral
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike and Melissa are arguing about the state of secondary education in their state. Mike states: ""Standardized test scores are up 42% in our schools."" Melissa responds:""And 47% of the kids didn't use the right pencil, 6% were chewing gum during the exam, and 32% yawned while completing their exams.""

Why has the speaker responded like this?
Your answer:","
The speaker is trying to say that the standardized test scores are not a true measure of the state of education in their state.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Rosy notes to her friend Dan: ""Those strangers at the other end of the subway car are nice."" Dan replies:""Yeah, I bet they have only sweet dreams, eat organic food, do yoga every morning, plant trees, feed homeless, and read a lot of good books."" 

Why has the speaker responded like this?
Your answer:
",The speaker has responded like this because they are being sarcastic.,target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Berta often forgets to return money that she borrows from her friends. One day Berta asks her friend Freddie for $500. Freddie responds:""Of course, but only when I fly to space.""

Why has the speaker responded like this?
Your answer:","
The speaker is either joking or trying to make a point that Berta is not likely to repay the money she borrows.",target
text-davinci-002,0.9,maxims,greedy,Why has the speaker responded like this?,0,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lars and Katy are discussing their CEO. Lars says: ""People regard our CEO Mr. Smith as a real intellectual."" Katy responds:""Sure, he is regarded as an intellectual by kindergarteners.""

Why has the speaker responded like this?
Your answer:
","
From the context of the conversation, it seems that Katy does not think very highly of their CEO. She might believe that he is not as intelligent as people make him out to be, or that he is not as competent as he should be.",target
