model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option
text-davinci-002,0.9,deceits,greedy,,2,1,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?


Your answer:
","
Henry has responded in this way because he does not want to tell his mother that he was watching TV.",target
text-davinci-002,0.9,deceits,greedy,,2,2,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?


Your answer:
","
Robert has responded in such a way because he genuinely likes the tie that Monica has given him.",competitor
text-davinci-002,0.9,deceits,greedy,,2,3,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?


Your answer:
","
Dan has most likely responded in this way because he is afraid of getting in trouble. He may think that if he tells his mother that he knocked over the vase, she will be angry with him.",target
text-davinci-002,0.9,deceits,greedy,,2,4,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Peter's mother wants them to start eating healthier, and tells him that they will eat boiled sprouts tonight. Peter tells his mother: ""I don't think I can eat, I have a terrible stomach-ache.” Why has Peter responded in such a way?


Your answer:
","
It is possible that Peter is telling the truth and that he really does have a stomachache. However, it is also possible that he is lying and that he simply does not want to eat boiled sprouts.",target
text-davinci-002,0.9,deceits,greedy,,2,5,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Today is Mandy's birthday. Her aunt has a big box with her and Mandy feels sure it will contain a pet rabbit for her. But when she opens it, she finds a fish bowl with a goldfish. When her aunt asks her whether she likes the gift, Mandy says: ""It's just what I wanted!” Why has Mandy responded in such a way?


Your answer:
","
The most likely reason for Mandy's response is that she does not want to disappoint her aunt. Even though she may be disappointed with the gift, she does not want to show it.",target
text-davinci-002,0.9,deceits,greedy,,2,6,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Marika baked an apple pie today. She spent the whole afternoon in the kitchen trying to follow the recipe, and told her friend Lars about the time it took. Marika gives Lars a piece of her pie. Lars takes a big bite but doesn't finish the slice. Later in the day, Marika asks: ""Do you like my apple pie?"", Lars says: ""Oh, yes, it was really tasty.” Why has Lars responded in such a way?


Your answer:
","
Lars may be saying that the pie was really tasty to be polite. It is possible that he did not actually enjoy the pie, but did not want to hurt Marika's feelings.",target
text-davinci-002,0.9,deceits,greedy,,2,7,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It was Christmas Eve, and Sally was in her bedroom. She overheard her mother talking about picking up Sally's computer at the Apple store earlier that day. The next morning the family opened their Christmas presents. After Sally opened her present, her mother asked her, ""Sally, are you surprised?"" Sally answered, ""Yes, I had no idea I was going to get a MacBook!” Why has Sally responded in such a way?


Your answer:
","
Sally seems very surprised that she got a MacBook for Christmas. She may not have been expecting such an expensive gift, or she may simply not have been expecting a computer at all. Either way, her mother's question has elicited a very",competitor
text-davinci-002,0.9,deceits,greedy,,2,8,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Oscar had tickets to see a hockey game with his buddies, so he called in sick at work. At the game, Oscar was having so much fun that he didn't notice his boss sitting a few rows behind him. The next day at work, the boss called Oscar into his office. He asked Oscar, ""Did you get a lot of rest yesterday?"" Oscar replied, ""Yes, the day of bed rest cured me.” Why has Oscar responded in such a way?


Your answer:
","
Oscar is lying to his boss and saying that he got a lot of rest yesterday because he was at the hockey game.",target
text-davinci-002,0.9,deceits,greedy,,2,9,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Ed's birthday and he is an avid rollerblader. He mentioned to his aunt that his rollerblades have gotten quite worn out. When he opens his birthday gift from her, he finds a pair of socks. Ed says to his aunt, ""Thank you for such a great gift.” Why has Ed responded like this?


Your answer:
","
It's likely that Ed is trying to be polite, even though he's disappointed with the gift. He may be thinking that it's the thought that counts, or he may be hoping to get a better present from someone else.",target
text-davinci-002,0.9,deceits,greedy,,2,10,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Hiroshi and Taro are very close friends and they usually play together. Taro takes very good care of all his toys. One day Hiroshi was careless and broke Taro's remote control car. Taro said to Hirosho, ""Don't worry about it, I don't care.” Why has Taro responded like this?


Your answer:
","
Taro has responded like this because he does not want Hiroshi to feel bad about breaking his car.",target
