model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option
text-davinci-002,0.9,metaphor,greedy,,3,1,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?


Your answer:
","
Mary is trying to say that the town is dirty and polluted.",target
text-davinci-002,0.9,metaphor,greedy,,3,2,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?


Your answer:
","
The expectant wife in the story is probably Mike's wife. The couple is expecting a baby, and Mike is telling his wife that their baby is like a lovebird's egg. He may be trying to say that their baby is special and",target
text-davinci-002,0.9,metaphor,greedy,,3,3,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Bob were discussing the investment company where Andrew works. Bob said: ""The investors are squirrels collecting nuts."" What does Bob mean?


Your answer:
","
Bob is saying that the investors are hoarders who are only interested in their own gain.",target
text-davinci-002,0.9,metaphor,greedy,,3,4,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark asked his mom what she thought about his new girlfriend. She replied: ""This young lady is 100% polyester."" What does she mean?


Your answer:","
The mother is trying to say that the girlfriend is fake and not genuine.",target
text-davinci-002,0.9,metaphor,greedy,,3,5,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her husband: ""Our kids are pieces of taffy."" What did she mean? 


Your answer:
","
Mary is saying that her children are full of energy and always getting into mischief.",distractor_plausibleliteral
text-davinci-002,0.9,metaphor,greedy,,3,6,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mark saw a lady at the party and said to his friend: ""This lady's jewels are bursting stars."" What did Mark mean?


Your answer:
","
Mark meant that the lady was very beautiful and her jewelry was very sparkly.",target
text-davinci-002,0.9,metaphor,greedy,,3,7,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 


Your answer:
","
Ben thought the model was pretty.",target
text-davinci-002,0.9,metaphor,greedy,,3,8,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?


Your answer:
","
Mary is trying to explain the role of the queen in relation to the nation. She is saying that the queen is like an aunt to the nation, and that she is a respected figure.",target
text-davinci-002,0.9,metaphor,greedy,,3,9,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?


Your answer:
","
Abby meant that the sunset was romantic and that it was a good time for lovers to be together.",target
text-davinci-002,0.9,metaphor,greedy,,3,10,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?


Your answer:
","
 Jessica's mom was trying to say that Jessica did a great job on her talk.",target
text-davinci-002,0.9,metaphor,greedy,,3,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?


Your answer:
","
Mark meant that their daughter is bossing her brothers around and that they need to do something about it.",target
text-davinci-002,0.9,metaphor,greedy,,3,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 


Your answer:
","
The general manager was trying to say that the new accountant was not doing a good job.",target
text-davinci-002,0.9,metaphor,greedy,,3,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?


Your answer:
","
Ken was trying to say that the store was very crowded and chaotic.",target
text-davinci-002,0.9,metaphor,greedy,,3,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?


Your answer:
","
Janet was trying to say that the dancers were light and graceful.",target
text-davinci-002,0.9,metaphor,greedy,,3,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?


Your answer:
","
Caitlyn is saying that Sally is unfriendly and difficult to get to know.",target
text-davinci-002,0.9,metaphor,greedy,,3,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Robert and his wife are discussing their neighbor. Robert said: ""Our neighbor is a sheep."" What did Robert mean?  


Your answer:
","
Robert is trying to say that their neighbor is a follower and does not have original thoughts.",target
text-davinci-002,0.9,metaphor,greedy,,3,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy told her teacher: ""The book that you gave me has more holes in it than Swiss cheese."" What did Lucy mean?


Your answer:
","
The book that Lucy's teacher gave her was in bad condition and full of holes.",distractor_literal
text-davinci-002,0.9,metaphor,greedy,,3,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher told Sam: ""You have too much on your plate."" What did the teacher mean?


Your answer:
","
The teacher means that Sam has too much going on and needs to focus on one thing at a time.",target
text-davinci-002,0.9,metaphor,greedy,,3,19,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Melissa was discussing a new sales manager, who was hired a couple of days ago: ""She is a babe in the woods."" What did Melissa mean?


Your answer:
","
Melissa likely meant that the new sales manager is inexperienced and out of her element.",target
text-davinci-002,0.9,metaphor,greedy,,3,20,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John told his fiance: ""You are the tomato sauce to my pasta."" What did John mean?


Your answer:
","
John is trying to say that his fiance completes him and that they are perfect together.",target
