model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Lara needs to get a dress of a shorter length.,target,Simon does not like the color of this dress.,distractor_associate,A,"[-13.573365211486816, -10.68212604522705, -7.6177778244018555, -11.08899211883545, -9.757031440734863, -8.172261238098145, -17.988853454589844, -8.942102432250977, -9.14258098602295, -7.4996490478515625, -16.39932632446289, -13.332387924194336, -2.091827392578125, -2.5219178199768066]","[1.273979347770611e-06, 2.2951527975356713e-05, 0.0004916331132611306, 1.527959745966849e-05, 5.788620596386118e-05, 0.0002823787683415339, 1.5400691058734354e-08, 0.00013076582468450493, 0.00010701077945323616, 0.000553278510360774, 7.548541905340972e-08, 1.6211286979462458e-06, 0.12346131725587503, 0.08030544758039947]","[-12.526599884033203, -14.772740364074707, -5.375458717346191, -9.755977630615234, -11.519222259521484, -5.771218299865723, -14.809741020202637, -7.13818883895874, -9.740331649780273, -5.866434097290039, -14.885591506958008, -13.12708854675293, -3.663238048553467, -4.9169793128967285]","[-14.07402229309082, -11.435803413391113, -7.370433330535889, -11.32363224029541, -10.417693138122559, -8.097716331481934, -18.50326156616211, -10.317388534545898, -10.166671752929688, -8.663021087646484, -15.867280006408691, -12.84916877746582, -2.0416693687438965, -1.4339520931243896]","[7.721999691316569e-07, 1.080173905278333e-05, 0.0006295952971103054, 1.2083952318375467e-05, 2.989877231461263e-05, 0.000304233112955189, 9.207370188490344e-09, 3.305332027460831e-05, 3.8430015389597646e-05, 0.0001728612881563611, 1.2850731522522622e-07, 2.6283119092226716e-06, 0.12981182609338462, 0.23836501752579634]",5.19393402978656e-61,0.014673638225566454,1.2196474379404189e-62,42.58553634612144,-138.81019926071167,-9.915014232907977,0.9736849777565716
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,The dress is fitting well.,competitor,Lara needs to get a dress of a shorter length.,target,B,"[-18.469655990600586, -8.450029373168945, -14.393255233764648, -12.182873725891113, -1.7929012775421143, -2.915971279144287]","[9.522046996646827e-09, 0.00021389413252689718, 5.611625439298974e-07, 5.117350538020489e-06, 0.16647647388350395, 0.05415140934740458]","[-12.580242156982422, -3.8041887283325195, -13.333976745605469, -8.525925636291504, -1.1747910976409912, -2.928288221359253]","[-18.61606216430664, -8.214092254638672, -15.200162887573242, -8.9738130569458, -1.6064624786376953, -1.9846594333648682]","[8.225208720152283e-09, 0.00027081022622053175, 2.504108450957149e-07, 0.00012668421589795976, 0.2005959729586332, 0.13742740933842967]",5.27261021940437e-26,0.03680791089976073,1.947974191449804e-24,0.02706714617959165,-58.204686880111694,-9.700781146685282,1.0661126096905449
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Simon does not like the color of this dress.,distractor_associate,The dress is fitting well.,competitor,C,"[-11.029741287231445, -11.016448020935059, -11.424416542053223, -9.634840965270996, -13.999505043029785, -8.726181030273438, -10.020157814025879, -16.261775970458984, -2.4977617263793945, -3.4674487113952637]","[1.621228471710531e-05, 1.6429237747504533e-05, 1.0925440012464345e-05, 6.540963636851622e-05, 8.319403919107803e-07, 0.0001622810206393479, 4.449392860131206e-05, 8.661645997365565e-08, 0.08226893308199823, 0.031196520544499447]","[-10.128742218017578, -7.750992774963379, -6.391000270843506, -5.257490158081055, -14.450758934020996, -3.885883331298828, -7.532451629638672, -17.088258743286133, -2.323277473449707, -4.244781494140625]","[-7.942123889923096, -11.085321426391602, -9.11370849609375, -7.662425994873047, -13.887384414672852, -7.686511516571045, -9.665480613708496, -16.54581069946289, -2.5263638496398926, -1.644433617591858]","[0.0003554507377961339, 1.533578722719462e-05, 0.00011014548268936344, 0.00047016540724103076, 9.306482834448493e-07, 0.00045897651418257607, 6.343589981049287e-05, 6.519971759013117e-08, 0.07994919970948482, 0.19312191267788067]",2.5418238834360597e-43,0.011378212373143582,7.700260102536014e-39,3.3009584735961476e-05,-98.07827711105347,-9.807827711105347,1.1175793504524436
google/flan-t5-xl,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,"Simon has to get back to work.
",distractor_nonsequitur,"Simon has to get back to work.
",distractor_nonsequitur,D,"[-9.675433158874512, -7.145437717437744, -11.067846298217773, -11.537528038024902, -7.716810703277588, -10.576492309570312, -2.2670321464538574, -9.52374267578125, -2.6456046104431152]","[6.28076825185351e-05, 0.0007884530337051381, 1.5606137396639262e-05, 9.756976035018325e-06, 0.0004452784668631259, 2.5508666276154915e-05, 0.10361925094840387, 7.309557871144621e-05, 0.07096243613677174]","[-9.215790748596191, -5.945317268371582, -10.610677719116211, -10.73894214630127, -4.908792972564697, -9.533730506896973, -2.2981069087982178, -10.708709716796875, -5.601373672485352]","[-9.157777786254883, -7.015442848205566, -11.845376968383789, -12.913840293884277, -7.292491912841797, -10.020069122314453, -1.9126352071762085, -9.637380599975586, -2.352958917617798]","[0.00010539685233946616, 0.0008979080867320787, 7.171634479997912e-06, 2.4637147306738813e-06, 0.0006806298674630233, 4.449787501899244e-05, 0.1476906778052724, 6.52437305452442e-05, 0.0950873897975423]",4.603400721909622e-32,0.01955579929185352,4.6401621843689936e-32,0.9920775479393354,-72.15592765808105,-8.017325295342339,1.0001102456662823
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane was not paying attention when Christian was talking.,target,Shane was not paying attention when Christian was talking.,target,A,"[-6.5428690910339355, -11.491354942321777, -12.005023002624512, -14.738968849182129, -15.642058372497559, -9.088820457458496, -18.17970848083496, -12.414908409118652, -8.902334213256836, -2.1403164863586426, -2.267697811126709]","[0.001440350069623572, 1.021804848180591e-05, 6.113427339880445e-06, 3.971432265394657e-07, 1.6096830213453247e-07, 0.000112921185341067, 1.2724857400311653e-08, 4.057642536144815e-06, 0.00013607093691384616, 0.11761761276068021, 0.10355029822586205]","[-6.937722206115723, -9.256569862365723, -5.997414588928223, -13.1560640335083, -10.991580963134766, -7.822041034698486, -13.688752174377441, -9.287275314331055, -7.695893287658691, -3.313310146331787, -4.6824049949646]","[-7.138735294342041, -10.350198745727539, -10.720683097839355, -14.832347869873047, -14.324519157409668, -8.02379322052002, -15.911396026611328, -9.827715873718262, -8.916516304016113, -3.33612322807312, -0.8888136148452759]","[0.0007937553287913067, 3.1986431979222414e-05, 2.208342793691719e-05, 3.617371948416133e-07, 6.010912056657498e-07, 0.0003275750985848922, 1.2296131704449265e-07, 5.393581261340984e-05, 0.00013415478616519386, 0.03557460536633392, 0.4111432377564206]",5.557756579202271e-50,0.020261655739378603,5.196949634682826e-46,0.00010694266771629902,-113.41406011581421,-10.310369101437656,1.0876871949002964
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane was paying attention when Christian was talking.,competitor,Shane was paying attention when Christian was talking.,competitor,B,"[-6.555000305175781, -11.564414978027344, -15.852099418640137, -15.555583000183105, -10.0890531539917, -17.744462966918945, -12.47801399230957, -9.128743171691895, -2.1774790287017822, -2.1259090900421143]","[0.0014229824327446022, 9.498136105510562e-06, 1.304730142869632e-07, 1.7550768599026946e-07, 4.153171714857993e-05, 1.9664261871238956e-08, 3.8094947380318606e-06, 0.00010850186765824161, 0.11332686460295084, 0.11932444228198844]","[-6.577271938323975, -9.2008056640625, -13.494216918945312, -12.164041519165039, -8.438802719116211, -12.656415939331055, -8.923232078552246, -7.789139270782471, -2.637044906616211, -5.260436534881592]","[-6.941559791564941, -10.542552947998047, -15.890012741088867, -14.684698104858398, -8.16110897064209, -16.167356491088867, -9.991106986999512, -8.002524375915527, -3.3886828422546387, -1.2166461944580078]","[0.0009667604756746113, 2.6389273214919822e-05, 1.256189471620011e-07, 4.1929206604327006e-07, 0.000285545557507998, 9.519327950375603e-08, 4.580547250380418e-05, 0.0003346168620886356, 0.03375310579794704, 0.2962219737279307]",1.4127950950242197e-45,0.023423795617829642,5.597524569665846e-42,0.00025239640799085567,-103.27075910568237,-10.327075910568238,1.0872179889937381
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane's hearing improved greatly.,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,C,"[-5.976618766784668, -7.862348556518555, -7.908325672149658, -14.975863456726074, -17.126216888427734, -15.594182968139648, -1.963193416595459, -1.9985414743423462]","[0.002537391315695126, 0.000384968688129164, 0.0003676696650848374, 3.133755715156326e-07, 3.649039037467412e-08, 1.6886217823466405e-07, 0.14040931876885704, 0.13553281723878657]","[-6.282698154449463, -8.767004013061523, -7.372469902038574, -14.638751983642578, -17.757244110107422, -11.910510063171387, -2.7417502403259277, -4.060168743133545]","[-6.981668472290039, -8.007341384887695, -9.247386932373047, -14.975648880004883, -17.826269149780273, -15.529946327209473, -1.7710312604904175, -1.8642040491104126]","[0.000928752312258133, 0.00033300888558955994, 9.636312672502895e-05, 3.1344282183318824e-07, 1.8119644607794882e-08, 1.8006529043077164e-07, 0.17015742168710526, 0.15501954874028284]",1.3197360785634992e-32,0.03490408555058661,8.039739688796065e-34,16.415159316695824,-73.40529119968414,-9.175661399960518,0.9632798311548287
google/flan-t5-xl,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane needs to see an eye doctor.,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,"[-6.002976417541504, -10.343208312988281, -7.036077499389648, -11.420785903930664, -7.536094665527344, -13.74407958984375, -12.811232566833496, -2.2651991844177246, -1.7632789611816406]","[0.0024713853440302305, 3.2210814331689013e-05, 0.0008795699181011846, 1.0965178425727295e-05, 0.0005334769648716602, 1.0740440048658345e-06, 2.729935523440982e-06, 0.10380935527538669, 0.17148165926063463]","[-6.034641265869141, -12.397235870361328, -6.5922346115112305, -8.690499305725098, -6.6042399406433105, -9.834775924682617, -9.761737823486328, -1.6517928838729858, -4.115225791931152]","[-6.487391471862793, -10.316605567932129, -6.775707721710205, -11.99795150756836, -6.5950798988342285, -11.783075332641602, -11.969758033752441, -2.091916799545288, -1.4262843132019043]","[0.001522515356800234, 3.3079210054951765e-05, 0.0011411625885563179, 6.156811626184057e-06, 0.0013670776784360501, 7.632650970021081e-06, 6.332863630937102e-06, 0.12345027944737307, 0.24019977328357778]",2.137826960602229e-32,0.031024714081701123,6.933517330684061e-31,0.030833224446434184,-72.92293310165405,-8.102548122406006,1.0501004254548345
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Phil's basketball skills could be better.,target,Phil's basketball skills could be better.,target,A,"[-7.886382102966309, -10.354981422424316, -15.968046188354492, -12.81392765045166, -10.50310230255127, -8.887192726135254, -12.293375968933105, -3.0137898921966553, -1.9610671997070312]","[0.0003758268210584616, 3.183381646263017e-05, 1.1618917114964103e-07, 2.7225880244425694e-06, 2.745115532501959e-05, 0.00013814693040459564, 4.581995440911649e-06, 0.049105222160152465, 0.14070817703987773]","[-7.078226566314697, -10.09054946899414, -14.574790954589844, -12.86938762664795, -10.153109550476074, -7.949944496154785, -11.978792190551758, -2.728405475616455, -5.50972843170166]","[-8.507080078125, -9.38471508026123, -14.480137825012207, -13.030152320861816, -11.30247974395752, -9.944538116455078, -12.722016334533691, -1.9231691360473633, -2.1579813957214355]","[0.00020203288472894556, 8.399820904331001e-05, 5.144652501251959e-07, 2.193192482939853e-06, 1.234228058754889e-05, 4.7989029922622395e-05, 2.9846850292279495e-06, 0.14614308016264804, 0.11555815194027523]",4.543887790217036e-37,0.02115489763287971,5.716623933945627e-37,0.794855117761933,-83.68186545372009,-9.297985050413343,1.0027512184229324
google/flan-t5-xl,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Phil is a great basketball player.,competitor,Phil's blocking is impressive.,distractor_associate,B,"[-8.630724906921387, -9.853717803955078, -9.157452583312988, -12.209444999694824, -14.998391151428223, -12.73965835571289, -2.6853058338165283, -2.5946061611175537]","[0.00017853517685912317, 5.255145337895942e-05, 0.00010543113327974258, 4.9831666291743575e-06, 3.063948671234909e-07, 2.9324909113341067e-06, 0.0682003328383765, 0.07467528031273407]","[-7.202523231506348, -11.895816802978516, -6.850080966949463, -11.607110023498535, -14.794394493103027, -13.59528923034668, -2.35876727104187, -5.5721001625061035]","[-7.411724090576172, -9.451461791992188, -8.22417163848877, -11.840326309204102, -15.367610931396484, -13.926069259643555, -1.8185120820999146, -1.855933666229248]","[0.0006041282243583613, 7.857462152780188e-05, 0.00026809433624185155, 7.207947586887973e-06, 2.1180264166711296e-07, 8.95333771050969e-07, 0.1622670113923369, 0.15630693601726198]",2.2556116544877172e-32,0.017902544120879507,4.412000052033929e-31,0.05112447026032744,-72.86930179595947,-9.108662724494934,1.0425417780569304
