model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He got his shoes on sale.

2. He wants his wife to iron his shirt.
3. He got this shirt on sale.
4. He is unhappy that his shirt is wrinkled.
Your answer:
",,1,target,"He got his shoes on sale.
",distractor_associative,1,[-1.9112683534622192],[0.1478926873840726],[-3.409724473953247],[-2.0272789001464844],[0.13169338488652085],0.1478926873840726,0.1478926873840726,0.13169338488652085,1.123007716078606,-1.9112683534622192,-1.9112683534622192,0.9427752409025307
google/flan-t5-xl,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He got his shoes on sale.

2. He wants his wife to iron his shirt.
3. He got this shirt on sale.
4. He is unhappy that his shirt is wrinkled.
Your answer:
",,2,competitor,He wants his wife to iron his shirt.,target,2,[-1.9112683534622192],[0.1478926873840726],[-1.9873242378234863],[-2.0272789001464844],[0.13169338488652085],0.1478926873840726,0.1478926873840726,0.13169338488652085,1.123007716078606,-1.9112683534622192,-1.9112683534622192,0.9427752409025307
google/flan-t5-xl,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He got his shoes on sale.

2. He wants his wife to iron his shirt.
3. He got this shirt on sale.
4. He is unhappy that his shirt is wrinkled.
Your answer:
",,3,distractor_lexical_overlap,He got this shirt on sale.,distractor_lexical_overlap,3,[-1.9112683534622192],[0.1478926873840726],[-1.6475027799606323],[-2.0272789001464844],[0.13169338488652085],0.1478926873840726,0.1478926873840726,0.13169338488652085,1.123007716078606,-1.9112683534622192,-1.9112683534622192,0.9427752409025307
google/flan-t5-xl,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He got his shoes on sale.

2. He wants his wife to iron his shirt.
3. He got this shirt on sale.
4. He is unhappy that his shirt is wrinkled.
Your answer:
",,4,distractor_associative,He is unhappy that his shirt is wrinkled.,competitor,4,[-1.9112683534622192],[0.1478926873840726],[-3.9234673976898193],[-2.0272789001464844],[0.13169338488652085],0.1478926873840726,0.1478926873840726,0.13169338488652085,1.123007716078606,-1.9112683534622192,-1.9112683534622192,0.9427752409025307
google/flan-t5-xl,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,1,target,He wants Cindy to create a sculpture.,distractor_associative,1,[-2.523744583129883],[0.08015888245840859],[-3.409724473953247],[-2.293262243270874],[0.10093664428520688],0.08015888245840859,0.08015888245840859,0.10093664428520688,0.794150459687479,-2.523744583129883,-2.523744583129883,1.1005041357722232
google/flan-t5-xl,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,2,competitor,He has some doubts whether Cindy should be painting.,competitor,2,[-2.523744583129883],[0.08015888245840859],[-1.9873242378234863],[-2.293262243270874],[0.10093664428520688],0.08015888245840859,0.08015888245840859,0.10093664428520688,0.794150459687479,-2.523744583129883,-2.523744583129883,1.1005041357722232
google/flan-t5-xl,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,3,distractor_lexical_overlap,He does not want Cindy to start painting.,target,3,[-2.523744583129883],[0.08015888245840859],[-1.6475027799606323],[-2.293262243270874],[0.10093664428520688],0.08015888245840859,0.08015888245840859,0.10093664428520688,0.794150459687479,-2.523744583129883,-2.523744583129883,1.1005041357722232
google/flan-t5-xl,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,4,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,4,[-2.523744583129883],[0.08015888245840859],[-3.9234673976898193],[-2.293262243270874],[0.10093664428520688],0.08015888245840859,0.08015888245840859,0.10093664428520688,0.794150459687479,-2.523744583129883,-2.523744583129883,1.1005041357722232
google/flan-t5-xl,0.1,1,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Cindy might help her clean up the house.
2. Cindy forgot to purchase a new toy for her brother.
3. Cindy's brother creates a lot of mess.
4. Cindy forgot to invite her brother to the movies.
Your answer:
",,1,target,Cindy might help her clean up the house.,target,1,[-2.465639591217041],[0.08495448884661931],[-3.409724473953247],[-1.534653902053833],[0.21553027284748416],0.08495448884661931,0.08495448884661931,0.21553027284748416,0.3941649946628876,-2.465639591217041,-2.465639591217041,1.6066421151487422
google/flan-t5-xl,0.1,1,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Cindy might help her clean up the house.
2. Cindy forgot to purchase a new toy for her brother.
3. Cindy's brother creates a lot of mess.
4. Cindy forgot to invite her brother to the movies.
Your answer:
",,2,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,2,[-2.465639591217041],[0.08495448884661931],[-1.9873242378234863],[-1.534653902053833],[0.21553027284748416],0.08495448884661931,0.08495448884661931,0.21553027284748416,0.3941649946628876,-2.465639591217041,-2.465639591217041,1.6066421151487422
