model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The town is a chimney.
3. Mary found a job at a company installing chimneys.
4. The town is not one of the cleanest ones.
5. The people living in this town are very welcoming.
Your answer:
",,1,target,All houses in this town have chimneys.,distractor_plausibleliteral,1,[-4.247457981109619],[0.014300539986870238],[-0.973268985748291],[-3.0944039821624756],[0.045302005218559],0.014300539986870238,0.014300539986870238,0.045302005218559,0.31567123613794684,-4.247457981109619,-4.247457981109619,1.3726255542566068
google/flan-t5-xl,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The town is a chimney.
3. Mary found a job at a company installing chimneys.
4. The town is not one of the cleanest ones.
5. The people living in this town are very welcoming.
Your answer:
",,2,competitor,The town is a chimney.,distractor_literal,2,[-4.714649200439453],[0.008963009735324224],[-0.5661458373069763],[-2.2863426208496094],[0.1016375098180378],0.008963009735324224,0.008963009735324224,0.1016375098180378,0.08818604225320702,-4.714649200439453,-4.714649200439453,2.0620921630230034
google/flan-t5-xl,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The town is a chimney.
3. Mary found a job at a company installing chimneys.
4. The town is not one of the cleanest ones.
5. The people living in this town are very welcoming.
Your answer:
",,3,distractor_plausibleliteral,Mary found a job at a company installing chimneys.,distractor_nonsequitut,3,[-4.249328136444092],[0.014273820748078933],[-0.6958259344100952],[-2.4870429039001465],[0.08315550217122572],0.014273820748078933,0.014273820748078933,0.08315550217122572,0.17165215019311253,-4.249328136444092,-4.249328136444092,1.7085865827969247
google/flan-t5-xl,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The town is a chimney.
3. Mary found a job at a company installing chimneys.
4. The town is not one of the cleanest ones.
5. The people living in this town are very welcoming.
Your answer:
",,4,distractor_literal,The town is not one of the cleanest ones.,target,4,[-5.078170299530029],[0.00623130000426266],[-0.4122335910797119],[-3.110292434692383],[0.04458791438052708],0.00623130000426266,0.00623130000426266,0.04458791438052708,0.13975311675452712,-5.078170299530029,-5.078170299530029,1.6326986629578049
google/flan-t5-xl,0.1,1,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The town is a chimney.
3. Mary found a job at a company installing chimneys.
4. The town is not one of the cleanest ones.
5. The people living in this town are very welcoming.
Your answer:
",,5,distractor_nonsequitut,The people living in this town are very welcoming.,competitor,5,[-3.7943263053894043],[0.022498057532456334],[-0.6069589853286743],[-2.484635829925537],[0.08335590471145607],0.022498057532456334,0.022498057532456334,0.08335590471145607,0.2699035852389267,-3.7943263053894043,-3.7943263053894043,1.527115668094957
google/flan-t5-xl,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is growing bigger every day.
5. Their baby is an egg.
Your answer:
",,1,target,Mike and his wife are very much in love with each other.,target,1,[-2.1488819122314453],[0.11661447012228002],[-0.973268985748291],[-1.4080960750579834],[0.2446085564218004],0.11661447012228002,0.11661447012228002,0.2446085564218004,0.47673912895013887,-2.1488819122314453,-2.1488819122314453,1.5260904069652756
google/flan-t5-xl,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is growing bigger every day.
5. Their baby is an egg.
Your answer:
",,2,competitor,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,2,[-1.9627647399902344],[0.1404695218618756],[-0.5661458373069763],[-1.2538719177246094],[0.2853976186936361],0.1404695218618756,0.1404695218618756,0.2853976186936361,0.4921888364200561,-1.9627647399902344,-1.9627647399902344,1.5653630265139415
google/flan-t5-xl,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is growing bigger every day.
5. Their baby is an egg.
Your answer:
",,3,distractor_plausibleliteral,Mike is worried that the bird flu virus affected their baby.,competitor,3,[-2.122576951980591],[0.11972271097241453],[-0.6958259344100952],[-1.3859877586364746],[0.2500766623726904],0.11972271097241453,0.11972271097241453,0.2500766623726904,0.47874403727442283,-2.122576951980591,-2.122576951980591,1.5314543283331503
google/flan-t5-xl,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is growing bigger every day.
5. Their baby is an egg.
Your answer:
",,4,distractor_literal,Their baby is growing bigger every day.,distractor_nonsequitut,4,[-2.215024471282959],[0.10915084315461358],[-0.4122335910797119],[-1.4487297534942627],[0.2348684395054034],0.10915084315461358,0.10915084315461358,0.2348684395054034,0.46473184470620393,-2.215024471282959,-2.215024471282959,1.5289424862990715
google/flan-t5-xl,0.1,1,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is growing bigger every day.
5. Their baby is an egg.
Your answer:
",,5,distractor_nonsequitut,Their baby is an egg.,distractor_literal,5,[-2.44748592376709],[0.08651080809565355],[-0.6069589853286743],[-2.4275782108306885],[0.08825029760933406],0.08651080809565355,0.08651080809565355,0.08825029760933406,0.9802891371383146,-2.44748592376709,-2.44748592376709,1.0082006473973044
