model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,2,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The dress is fitting well.
B. Simon does not like the color of this dress.
C. Simon has to get back to work.

D. Lara needs to get a dress of a shorter length.
Your answer:
",,A,target,The dress is fitting well.,competitor,A,[-3.6259593963623047],[0.026623542549857028],[-3.527845621109009],[-2.045720100402832],[0.1292870567870983],0.026623542549857028,0.026623542549857028,0.1292870567870983,0.205925815092991,-3.6259593963623047,-3.6259593963623047,1.7724611473721652
google/flan-t5-xl,0.1,2,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The dress is fitting well.
B. Simon does not like the color of this dress.
C. Simon has to get back to work.

D. Lara needs to get a dress of a shorter length.
Your answer:
",,B,competitor,Simon does not like the color of this dress.,distractor_associate,B,[-3.6259593963623047],[0.026623542549857028],[-2.824583053588867],[-2.045720100402832],[0.1292870567870983],0.026623542549857028,0.026623542549857028,0.1292870567870983,0.205925815092991,-3.6259593963623047,-3.6259593963623047,1.7724611473721652
google/flan-t5-xl,0.1,2,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The dress is fitting well.
B. Simon does not like the color of this dress.
C. Simon has to get back to work.

D. Lara needs to get a dress of a shorter length.
Your answer:
",,C,distractor_associate,"Simon has to get back to work.
",distractor_nonsequitur,C,[-3.6259593963623047],[0.026623542549857028],[-3.3048248291015625],[-2.045720100402832],[0.1292870567870983],0.026623542549857028,0.026623542549857028,0.1292870567870983,0.205925815092991,-3.6259593963623047,-3.6259593963623047,1.7724611473721652
google/flan-t5-xl,0.1,2,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. The dress is fitting well.
B. Simon does not like the color of this dress.
C. Simon has to get back to work.

D. Lara needs to get a dress of a shorter length.
Your answer:
",,D,distractor_nonsequitur,Lara needs to get a dress of a shorter length.,target,D,[-3.6259593963623047],[0.026623542549857028],[-4.7416276931762695],[-2.045720100402832],[0.1292870567870983],0.026623542549857028,0.026623542549857028,0.1292870567870983,0.205925815092991,-3.6259593963623047,-3.6259593963623047,1.7724611473721652
google/flan-t5-xl,0.1,2,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,A,target,Shane needs to see an eye doctor.,distractor_nonsequitur,A,[-2.6985039710998535],[0.06730612937298731],[-3.527845621109009],[-1.9243214130401611],[0.14597477983663842],0.06730612937298731,0.06730612937298731,0.14597477983663842,0.4610805335573046,-2.6985039710998535,-2.6985039710998535,1.4023145784344786
google/flan-t5-xl,0.1,2,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,B,competitor,Shane was paying attention when Christian was talking.,competitor,B,[-2.6985039710998535],[0.06730612937298731],[-2.824583053588867],[-1.9243214130401611],[0.14597477983663842],0.06730612937298731,0.06730612937298731,0.14597477983663842,0.4610805335573046,-2.6985039710998535,-2.6985039710998535,1.4023145784344786
google/flan-t5-xl,0.1,2,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,C,distractor_associate,Shane was not paying attention when Christian was talking.,target,C,[-2.6985039710998535],[0.06730612937298731],[-3.3048248291015625],[-1.9243214130401611],[0.14597477983663842],0.06730612937298731,0.06730612937298731,0.14597477983663842,0.4610805335573046,-2.6985039710998535,-2.6985039710998535,1.4023145784344786
google/flan-t5-xl,0.1,2,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,D,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,[-2.6985039710998535],[0.06730612937298731],[-4.7416276931762695],[-1.9243214130401611],[0.14597477983663842],0.06730612937298731,0.06730612937298731,0.14597477983663842,0.4610805335573046,-2.6985039710998535,-2.6985039710998535,1.4023145784344786
google/flan-t5-xl,0.1,2,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil is a great basketball player.
B. Phil's basketball skills could be better.
C. Phil is a great student.
D. Phil's blocking is impressive.
Your answer:
",,A,target,Phil is a great basketball player.,competitor,A,[-2.1225621700286865],[0.11972448072085011],[-3.527845621109009],[-2.7280447483062744],[0.06534693454297796],0.11972448072085011,0.11972448072085011,0.06534693454297796,1.8321361446895206,-2.1225621700286865,-2.1225621700286865,0.7780525489350913
google/flan-t5-xl,0.1,2,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil is a great basketball player.
B. Phil's basketball skills could be better.
C. Phil is a great student.
D. Phil's blocking is impressive.
Your answer:
",,B,competitor,Phil's basketball skills could be better.,target,B,[-2.1225621700286865],[0.11972448072085011],[-2.824583053588867],[-2.7280447483062744],[0.06534693454297796],0.11972448072085011,0.11972448072085011,0.06534693454297796,1.8321361446895206,-2.1225621700286865,-2.1225621700286865,0.7780525489350913
