model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,1,target,"Simon has to get back to work.
",distractor_nonsequitur,1,[-2.2099435329437256],[0.10970684316309957],[-0.973268985748291],[-2.6760432720184326],[0.06883497731534674],0.10970684316309957,0.10970684316309957,0.06883497731534674,1.593765952162818,-2.2099435329437256,-2.2099435329437256,0.8258250365573698
google/flan-t5-xl,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,2,competitor,Lara needs to get a dress of a shorter length.,target,2,[-2.560497283935547],[0.07726630759454682],[-0.5661458373069763],[-3.1971139907836914],[0.040880013993348896],0.07726630759454682,0.07726630759454682,0.040880013993348896,1.8900753705005557,-2.560497283935547,-2.560497283935547,0.8008776951077387
google/flan-t5-xl,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,3,distractor_associate,Simon does not like the color of this dress.,distractor_associate,3,[-2.462754249572754],[0.0851999655429214],[-0.6958259344100952],[-2.86855149269104],[0.056781114900228954],0.0851999655429214,0.0851999655429214,0.056781114900228954,1.5004982852595918,-2.462754249572754,-2.462754249572754,0.8585358344961762
google/flan-t5-xl,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,4,distractor_nonsequitur,The dress is fitting well.,competitor,4,[-3.167879581451416],[0.04209275760608444],[-0.4122335910797119],[-2.887050151824951],[0.05574039603986956],0.04209275760608444,0.04209275760608444,0.05574039603986956,0.7551571319295375,-3.167879581451416,-3.167879581451416,1.0972720994988425
google/flan-t5-xl,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane was not paying attention when Christian was talking.
2. Shane was paying attention when Christian was talking.
3. Shane needs to see an eye doctor.
4. Shane's hearing improved greatly.
Your answer:
",,1,target,Shane was not paying attention when Christian was talking.,target,1,[-3.2510225772857666],[0.03873457847301398],[-0.973268985748291],[-1.749462604522705],[0.1738673538786499],0.03873457847301398,0.03873457847301398,0.1738673538786499,0.2227823545301589,-3.2510225772857666,-3.2510225772857666,1.8582978389370732
google/flan-t5-xl,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane was not paying attention when Christian was talking.
2. Shane was paying attention when Christian was talking.
3. Shane needs to see an eye doctor.
4. Shane's hearing improved greatly.
Your answer:
",,2,competitor,Shane was paying attention when Christian was talking.,competitor,2,[-2.5450592041015625],[0.07846840619170757],[-0.5661458373069763],[-1.4213136434555054],[0.24139669932734195],0.07846840619170757,0.07846840619170757,0.24139669932734195,0.3250599797361015,-2.5450592041015625,-2.5450592041015625,1.790638692466218
google/flan-t5-xl,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane was not paying attention when Christian was talking.
2. Shane was paying attention when Christian was talking.
3. Shane needs to see an eye doctor.
4. Shane's hearing improved greatly.
Your answer:
",,3,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,3,[-3.2360997200012207],[0.03931694352756166],[-0.6958259344100952],[-1.4201658964157104],[0.24167392073400307],0.03931694352756166,0.03931694352756166,0.24167392073400307,0.16268591748811662,-3.2360997200012207,-3.2360997200012207,2.2786772504315587
google/flan-t5-xl,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane was not paying attention when Christian was talking.
2. Shane was paying attention when Christian was talking.
3. Shane needs to see an eye doctor.
4. Shane's hearing improved greatly.
Your answer:
",,4,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,4,[-2.7389373779296875],[0.06463899723709039],[-0.4122335910797119],[-1.9558210372924805],[0.14144829468088702],0.06463899723709039,0.06463899723709039,0.14144829468088702,0.4569796856364974,-2.7389373779296875,-2.7389373779296875,1.40040286186987
google/flan-t5-xl,0.1,3,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Phil is a great basketball player.
2. Phil is a great student.
3. Phil's blocking is impressive.
4. Phil's basketball skills could be better.
Your answer:
",,1,target,Phil is a great basketball player.,competitor,1,[-2.2409496307373047],[0.10635745609811742],[-0.973268985748291],[-3.309540271759033],[0.03653296512950613],0.10635745609811742,0.10635745609811742,0.03653296512950613,2.9112735777424485,-2.2409496307373047,-2.2409496307373047,0.6771181030367797
google/flan-t5-xl,0.1,3,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Phil is a great basketball player.
2. Phil is a great student.
3. Phil's blocking is impressive.
4. Phil's basketball skills could be better.
Your answer:
",,2,competitor,Phil is a great student.,distractor_nonsequitur,2,[-2.1392600536346436],[0.11774193351241209],[-0.5661458373069763],[-3.0237295627593994],[0.04861955013749726],0.11774193351241209,0.11774193351241209,0.04861955013749726,2.4216993612535505,-2.1392600536346436,-2.1392600536346436,0.7074905375077243
