model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,A,target,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,A,[-3.3502197265625],[0.035076645983191025],[-3.527845621109009],[-3.0740718841552734],[0.04623251760764955],0.035076645983191025,0.035076645983191025,0.04623251760764955,0.7587007543233446,-3.3502197265625,-3.3502197265625,1.0898312898376186
google/flan-t5-xl,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,B,incorrect_straightforward,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,B,[-3.3502197265625],[0.035076645983191025],[-2.824583053588867],[-3.0740718841552734],[0.04623251760764955],0.035076645983191025,0.035076645983191025,0.04623251760764955,0.7587007543233446,-3.3502197265625,-3.3502197265625,1.0898312898376186
google/flan-t5-xl,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,C,associative_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,C,[-3.3502197265625],[0.035076645983191025],[-3.3048248291015625],[-3.0740718841552734],[0.04623251760764955],0.035076645983191025,0.035076645983191025,0.04623251760764955,0.7587007543233446,-3.3502197265625,-3.3502197265625,1.0898312898376186
google/flan-t5-xl,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,D,funny_nonsequitur,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,D,[-3.3502197265625],[0.035076645983191025],[-4.7416276931762695],[-3.0740718841552734],[0.04623251760764955],0.035076645983191025,0.035076645983191025,0.04623251760764955,0.7587007543233446,-3.3502197265625,-3.3502197265625,1.0898312898376186
google/flan-t5-xl,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,E,neutral_nonsequitur,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,E,[-3.3502197265625],[0.035076645983191025],[-3.9157567024230957],[-3.0740718841552734],[0.04623251760764955],0.035076645983191025,0.035076645983191025,0.04623251760764955,0.7587007543233446,-3.3502197265625,-3.3502197265625,1.0898312898376186
google/flan-t5-xl,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,A,target,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,A,[-3.7079527378082275],[0.02452768651072565],[-3.527845621109009],[-4.223713397979736],[0.014644163804957292],0.02452768651072565,0.02452768651072565,0.014644163804957292,1.6749120562570203,-3.7079527378082275,-3.7079527378082275,0.8778892856654988
google/flan-t5-xl,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,B,incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,B,[-3.7079527378082275],[0.02452768651072565],[-2.824583053588867],[-4.223713397979736],[0.014644163804957292],0.02452768651072565,0.02452768651072565,0.014644163804957292,1.6749120562570203,-3.7079527378082275,-3.7079527378082275,0.8778892856654988
google/flan-t5-xl,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,C,associative_nonsequitur,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,C,[-3.7079527378082275],[0.02452768651072565],[-3.3048248291015625],[-4.223713397979736],[0.014644163804957292],0.02452768651072565,0.02452768651072565,0.014644163804957292,1.6749120562570203,-3.7079527378082275,-3.7079527378082275,0.8778892856654988
google/flan-t5-xl,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,D,funny_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,D,[-3.7079527378082275],[0.02452768651072565],[-4.7416276931762695],[-4.223713397979736],[0.014644163804957292],0.02452768651072565,0.02452768651072565,0.014644163804957292,1.6749120562570203,-3.7079527378082275,-3.7079527378082275,0.8778892856654988
google/flan-t5-xl,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,E,neutral_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,E,[-3.7079527378082275],[0.02452768651072565],[-3.9157567024230957],[-4.223713397979736],[0.014644163804957292],0.02452768651072565,0.02452768651072565,0.014644163804957292,1.6749120562570203,-3.7079527378082275,-3.7079527378082275,0.8778892856654988
