model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,A,target,He got this shirt on sale.,distractor_lexical_overlap,A,[-2.6701583862304688],[0.06924125757901932],[-0.24789348244667053],[-1.3157774209976196],[0.2682656867727217],0.06924125757901932,0.06924125757901932,0.2682656867727217,0.25810702222860665,-2.6701583862304688,-2.6701583862304688,2.0293389623648963
google/flan-t5-xl,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,B,competitor,He wants his wife to iron his shirt.,target,B,[-1.93585205078125],[0.14430126442289892],[-0.4621068835258484],[-1.2810912132263184],[0.27773406794927863],0.14430126442289892,0.14430126442289892,0.27773406794927863,0.5195663084776911,-1.93585205078125,-1.93585205078125,1.5110961895570048
google/flan-t5-xl,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,C,distractor_lexical_overlap,"He got his shoes on sale.
",distractor_associative,C,[-2.110654830932617],[0.12115860205071582],[-0.1929108202457428],[-1.4206032752990723],[0.24156824077719025],0.12115860205071582,0.12115860205071582,0.24156824077719025,0.5015502106606228,-2.110654830932617,-2.110654830932617,1.4857454347965457
google/flan-t5-xl,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,D,distractor_associative,He is unhappy that his shirt is wrinkled.,competitor,D,[-1.301055669784546],[0.27224424126134233],[-0.9673901796340942],[-1.0327754020690918],[0.356017496427658],0.27224424126134233,0.27224424126134233,0.356017496427658,0.764693432185465,-1.301055669784546,-1.301055669784546,1.2597663220657402
google/flan-t5-xl,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,A,target,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,A,[-2.301241636276245],[0.10013443595600414],[-0.24789348244667053],[-1.410238265991211],[0.2440851190416191],0.10013443595600414,0.10013443595600414,0.2440851190416191,0.4102439196177714,-2.301241636276245,-2.301241636276245,1.6318105186705998
google/flan-t5-xl,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,B,competitor,He does not want Cindy to start painting.,target,B,[-1.7028086185455322],[0.18217115557972594],[-0.4621068835258484],[-1.293773889541626],[0.2742338993333457],0.18217115557972594,0.18217115557972594,0.2742338993333457,0.6642911617512587,-1.7028086185455322,-1.7028086185455322,1.3161562714399995
google/flan-t5-xl,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,C,distractor_lexical_overlap,He has some doubts whether Cindy should be painting.,competitor,C,[-1.59873366355896],[0.20215234886249878],[-0.1929108202457428],[-1.2927234172821045],[0.2745221257976637],0.20215234886249878,0.20215234886249878,0.2745221257976637,0.7363790742735796,-1.59873366355896,-1.59873366355896,1.2367174928417626
google/flan-t5-xl,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,D,distractor_associative,He wants Cindy to create a sculpture.,distractor_associative,D,[-1.5944726467132568],[0.20301556120150038],[-0.9673901796340942],[-1.0120632648468018],[0.36346827407288484],0.20301556120150038,0.20301556120150038,0.36346827407288484,0.5585509814284106,-1.5944726467132568,-1.5944726467132568,1.5754673666123191
google/flan-t5-xl,0.1,4,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy's brother creates a lot of mess.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy forgot to invite her brother to the movies.
D. Cindy might help her clean up the house.
Your answer:
",,A,target,Cindy's brother creates a lot of mess.,competitor,A,[-2.168604850769043],[0.11433702289697543],[-0.24789348244667053],[-1.8225538730621338],[0.16161248567132835],0.11433702289697543,0.11433702289697543,0.16161248567132835,0.7074764206615995,-2.168604850769043,-2.168604850769043,1.189871467077951
google/flan-t5-xl,0.1,4,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy's brother creates a lot of mess.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy forgot to invite her brother to the movies.
D. Cindy might help her clean up the house.
Your answer:
",,B,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,[-2.2205970287323],[0.10854428541904343],[-0.4621068835258484],[-1.84930419921875],[0.15734661012792042],0.10854428541904343,0.10854428541904343,0.15734661012792042,0.6898419059094986,-2.2205970287323,-2.2205970287323,1.200774339705931
