model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
google/flan-t5-xl,0.1,4,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants his mom to believe that he has been watching TV.
2. He does not want to get into trouble for not studying. 
3. He does not want to offend his mom by not reading the books that she gave him. 
4. He has been reading for some time.
Your answer:
",,1,target,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,1,[-2.307739734649658],[0.09948586207123165],[-3.409724473953247],[-2.6545753479003906],[0.07032869755403896],0.09948586207123165,0.09948586207123165,0.07032869755403896,1.4145841673633865,-2.307739734649658,-2.307739734649658,0.8693442197732083
google/flan-t5-xl,0.1,4,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants his mom to believe that he has been watching TV.
2. He does not want to get into trouble for not studying. 
3. He does not want to offend his mom by not reading the books that she gave him. 
4. He has been reading for some time.
Your answer:
",,2,incorrect_literal,He does not want to get into trouble for not studying. ,target,2,[-2.307739734649658],[0.09948586207123165],[-1.9873242378234863],[-2.6545753479003906],[0.07032869755403896],0.09948586207123165,0.09948586207123165,0.07032869755403896,1.4145841673633865,-2.307739734649658,-2.307739734649658,0.8693442197732083
google/flan-t5-xl,0.1,4,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants his mom to believe that he has been watching TV.
2. He does not want to get into trouble for not studying. 
3. He does not want to offend his mom by not reading the books that she gave him. 
4. He has been reading for some time.
Your answer:
",,3,incorrect_lexical_overlap,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,3,[-2.307739734649658],[0.09948586207123165],[-1.6475027799606323],[-2.6545753479003906],[0.07032869755403896],0.09948586207123165,0.09948586207123165,0.07032869755403896,1.4145841673633865,-2.307739734649658,-2.307739734649658,0.8693442197732083
google/flan-t5-xl,0.1,4,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants his mom to believe that he has been watching TV.
2. He does not want to get into trouble for not studying. 
3. He does not want to offend his mom by not reading the books that she gave him. 
4. He has been reading for some time.
Your answer:
",,4,incorrect_social_convention,He has been reading for some time.,incorrect_literal,4,[-2.307739734649658],[0.09948586207123165],[-3.9234673976898193],[-2.6545753479003906],[0.07032869755403896],0.09948586207123165,0.09948586207123165,0.07032869755403896,1.4145841673633865,-2.307739734649658,-2.307739734649658,0.8693442197732083
google/flan-t5-xl,0.1,4,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants Monica to understand that he dislikes her gift.
2. He does not want to hurt Monica by saying that he dislikes the gift.
3. He likes the gift very much.
4. He does not like to celebrate his birthday and wants it to be over with. 
Your answer:
",,1,target,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,1,[-3.5643773078918457],[0.028314611280885135],[-3.409724473953247],[-2.6692349910736084],[0.0693052241495883],0.028314611280885135,0.028314611280885135,0.0693052241495883,0.40854945104529083,-3.5643773078918457,-3.5643773078918457,1.3353553807782945
google/flan-t5-xl,0.1,4,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants Monica to understand that he dislikes her gift.
2. He does not want to hurt Monica by saying that he dislikes the gift.
3. He likes the gift very much.
4. He does not like to celebrate his birthday and wants it to be over with. 
Your answer:
",,2,incorrect_literal,He does not want to hurt Monica by saying that he dislikes the gift.,target,2,[-3.5643773078918457],[0.028314611280885135],[-1.9873242378234863],[-2.6692349910736084],[0.0693052241495883],0.028314611280885135,0.028314611280885135,0.0693052241495883,0.40854945104529083,-3.5643773078918457,-3.5643773078918457,1.3353553807782945
google/flan-t5-xl,0.1,4,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants Monica to understand that he dislikes her gift.
2. He does not want to hurt Monica by saying that he dislikes the gift.
3. He likes the gift very much.
4. He does not like to celebrate his birthday and wants it to be over with. 
Your answer:
",,3,incorrect_lexical_overlap,He likes the gift very much.,incorrect_literal,3,[-3.5643773078918457],[0.028314611280885135],[-1.6475027799606323],[-2.6692349910736084],[0.0693052241495883],0.028314611280885135,0.028314611280885135,0.0693052241495883,0.40854945104529083,-3.5643773078918457,-3.5643773078918457,1.3353553807782945
google/flan-t5-xl,0.1,4,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He wants Monica to understand that he dislikes her gift.
2. He does not want to hurt Monica by saying that he dislikes the gift.
3. He likes the gift very much.
4. He does not like to celebrate his birthday and wants it to be over with. 
Your answer:
",,4,incorrect_social_convention,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,4,[-3.5643773078918457],[0.028314611280885135],[-3.9234673976898193],[-2.6692349910736084],[0.0693052241495883],0.028314611280885135,0.028314611280885135,0.0693052241495883,0.40854945104529083,-3.5643773078918457,-3.5643773078918457,1.3353553807782945
google/flan-t5-xl,0.1,4,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. Dan thinks that the dog has knocked over the vase.
2. Dan wants his mom to know that he knocked it over.
3. Dan finds this vase ugly and wants to get rid of it.
4. Dan does not want his mom to be angry with him for breaking the vase.
Your answer:
",,1,target,Dan thinks that the dog has knocked over the vase.,incorrect_literal,1,[-3.400158166885376],[0.03336799183158524],[-3.409724473953247],[-3.1540300846099854],[0.04267977669620358],0.03336799183158524,0.03336799183158524,0.04267977669620358,0.7818220809612006,-3.400158166885376,-3.400158166885376,1.0780360604283283
google/flan-t5-xl,0.1,4,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. Dan thinks that the dog has knocked over the vase.
2. Dan wants his mom to know that he knocked it over.
3. Dan finds this vase ugly and wants to get rid of it.
4. Dan does not want his mom to be angry with him for breaking the vase.
Your answer:
",,2,incorrect_literal,Dan wants his mom to know that he knocked it over.,incorrect_lexical_overlap,2,[-3.400158166885376],[0.03336799183158524],[-1.9873242378234863],[-3.1540300846099854],[0.04267977669620358],0.03336799183158524,0.03336799183158524,0.04267977669620358,0.7818220809612006,-3.400158166885376,-3.400158166885376,1.0780360604283283
