model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The people living in this town are very welcoming.
3. The town is not one of the cleanest ones.
4. Mary found a job at a company installing chimneys.
5. The town is a chimney.
Your answer:
",,1,target,All houses in this town have chimneys.,distractor_plausibleliteral,1,[-2.729224],[0.06526991947873584],[],[-0.5293051],[0.5890141334192616],0.06526991947873584,0.06526991947873584,0.5890141334192616,0.11081214486287473,-2.729224,-2.729224,5.156239756616741
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The people living in this town are very welcoming.
3. The town is not one of the cleanest ones.
4. Mary found a job at a company installing chimneys.
5. The town is a chimney.
Your answer:
",,2,competitor,The people living in this town are very welcoming.,competitor,2,[-6.901099],[0.0010066784812412207],[],[-8.589482],[0.00018605243786105587],0.0010066784812412207,0.0010066784812412207,0.00018605243786105587,5.410724486141961,-6.901099,-6.901099,0.8034359929970166
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The people living in this town are very welcoming.
3. The town is not one of the cleanest ones.
4. Mary found a job at a company installing chimneys.
5. The town is a chimney.
Your answer:
",,3,distractor_plausibleliteral,The town is not one of the cleanest ones.,target,3,[-1.932349],[0.1448076455014552],[],[-6.636357],[0.0013117974276999872],0.1448076455014552,0.1448076455014552,0.0013117974276999872,110.38872499952274,-1.932349,-1.932349,0.29117616788849665
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The people living in this town are very welcoming.
3. The town is not one of the cleanest ones.
4. Mary found a job at a company installing chimneys.
5. The town is a chimney.
Your answer:
",,4,distractor_literal,Mary found a job at a company installing chimneys.,distractor_nonsequitut,4,[-8.057349],[0.000316765438379409],[],[-8.730107],[0.0001616451592680924],0.000316765438379409,0.000316765438379409,0.0001616451592680924,1.959634546519552,-8.057349,-8.057349,0.9229381724645529
gpt-3.5-turbo-instruct,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. All houses in this town have chimneys.
2. The people living in this town are very welcoming.
3. The town is not one of the cleanest ones.
4. Mary found a job at a company installing chimneys.
5. The town is a chimney.
Your answer:
",,5,distractor_nonsequitut,The town is a chimney.,distractor_literal,5,[-2.057349],[0.12779229862560235],[],[-6.636357],[0.0013117974276999872],0.12779229862560235,0.12779229862560235,0.0013117974276999872,97.41770789234153,-2.057349,-2.057349,0.31001180316248805
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is an egg.
5. Their baby is growing bigger every day.
Your answer:
",,1,target,Mike and his wife are very much in love with each other.,target,1,[-4.3104105],[0.013428036253827417],[],[-0.72358567],[0.4850100483557479],0.013428036253827417,0.013428036253827417,0.4850100483557479,0.027686099080524915,-4.3104105,-4.3104105,5.957014737453272
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is an egg.
5. Their baby is growing bigger every day.
Your answer:
",,2,competitor,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,2,[-1.9354107],[0.14436496595501377],[],[-6.120308],[0.0021977789428723736],0.14436496595501377,0.14436496595501377,0.0021977789428723736,65.68675454062586,-1.9354107,-1.9354107,0.3162276637058135
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is an egg.
5. Their baby is growing bigger every day.
Your answer:
",,3,distractor_plausibleliteral,Mike is worried that the bird flu virus affected their baby.,competitor,3,[-6.9354105],[0.0009727236836743783],[],[-9.52046],[7.33359220662262e-05],0.0009727236836743783,0.0009727236836743783,7.33359220662262e-05,13.263945639027455,-6.9354105,-6.9354105,0.7284743069137415
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is an egg.
5. Their baby is growing bigger every day.
Your answer:
",,4,distractor_literal,Their baby is an egg.,distractor_literal,4,[-2.686524],[0.06811730408089099],[],[-9.004835],[0.0001228145578512945],0.06811730408089099,0.06811730408089099,0.0001228145578512945,554.6354216685642,-2.686524,-2.686524,0.29834239050465666
gpt-3.5-turbo-instruct,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Mike and his wife are very much in love with each other.
2. The baby in his wife's womb is the size of an egg.
3. Mike is worried that the bird flu virus affected their baby.
4. Their baby is an egg.
5. Their baby is growing bigger every day.
Your answer:
",,5,distractor_nonsequitut,Their baby is growing bigger every day.,distractor_nonsequitut,5,[-2.7479107],[0.06406156531248405],[],[-4.2704606],[0.01397534462692434],0.06406156531248405,0.06406156531248405,0.01397534462692434,4.583898789090726,-2.7479107,-2.7479107,0.6434693953153438
