model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He wants his wife to iron his shirt.,target,He got this shirt on sale.,distractor_lexical_overlap,A,"[-5.7699294, -1.2650788, -4.9859776, -0.004502019, -0.108332485, -2.8290172, -1.7903866, -4.9143624, -7.1462765]","[0.003119977776820675, 0.28221705656023843, 0.0068330947277894395, 0.9955080998966879, 0.8973291983282311, 0.05907088001150805, 0.16689563534073648, 0.007340396637567261, 0.0007877919703322814]",[],"[-15.0710745, -9.004078, -4.205826, -1.9244875, -0.014195318, -15.242401, -0.020389333, -0.22827542, -3.4627295]","[2.849151272931737e-07, 0.00012290756366984884, 0.01490846658842074, 0.145950537342479, 0.9859049604708644, 2.40054225389957e-07, 0.9798171238963886, 0.795905021484509, 0.03134409145502824]",3.064067264865912e-13,0.2687891256944346,4.407975328574118e-22,695118968.793564,-28.813863003999998,-3.2015403337777775,0.5859637498209338
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He is unhappy that his shirt is wrinkled.,competitor,He wants his wife to iron his shirt.,target,B,"[-5.7699294, -0.42132866, -14.236219, -1.6621752, -1.1889166, -3.9035091, -0.0013449409, -3.2051864, -0.0006762762, -7.856608]","[0.003119977776820675, 0.6561744076853332, 6.565815050721829e-07, 0.18972583928685152, 0.3045510359893885, 0.02017100503595182, 0.9986559631276789, 0.04055134216317161, 0.9993239524232089, 0.00038718497792336024]",[],"[-15.0710745, -5.0040784, -10.002969, -6.2087274, -0.575567, -9.860679, -0.730434, -0.79920715, -0.00041959932, -2.8245122]","[2.849151272931737e-07, 0.00671052291724493, 4.5265337272440446e-05, 0.0020117960473480714, 0.5623859055809619, 5.2186902735912896e-05, 0.4816998869671631, 0.4496853558503454, 0.9995804886994832, 0.05933759464960066]",2.454818932143513e-17,0.3212661365047835,6.565238850785018e-23,373911.59528795903,-38.2458935771,-3.82458935771,0.7487791609909517
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He got this shirt on sale.,distractor_lexical_overlap,He is unhappy that his shirt is wrinkled.,competitor,C,"[-5.7699294, -22.249453, -7.290763, -0.8699628, -5.0031466, -4.5904317, -2.96529]","[0.003119977776820675, 2.1736285847895652e-10, 0.0006818076350167387, 0.41896713453515555, 0.006716778696614195, 0.010148476330342021, 0.05154551887694127]",[],"[-15.0710745, -8.675953, -14.712238, -8.320945, -2.9535356, -0.41604385, -2.2358987]","[2.849151272931737e-07, 0.00017064025319602107, 4.0790236200191926e-07, 0.00024336577486826994, 0.05215498043427461, 0.659651344138743, 0.1068960192197973]",6.806619168555119e-22,0.07016852772403617,1.7749433179408678e-23,38.34837484529679,-48.7389765,-6.962710928571428,0.9303872442268637
gpt-3.5-turbo-instruct,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,"He got his shoes on sale.
",distractor_associative,"He got his shoes on sale.
",distractor_associative,D,"[-5.7699294, -22.249453, -3.1188884, -3.2999136, -6.7142406, -8.126705, -4.2638893]","[0.003119977776820675, 2.1736285847895652e-10, 0.04420628081972298, 0.03688635424457312, 0.0012135071994712658, 0.000295540403852372, 0.014067483212655118]",[],"[-15.0710745, -8.675953, -7.805989, -8.649504, -0.2274344, -14.220431, -3.6642187]","[2.849151272931737e-07, 0.00017064025319602107, 0.0004072884097550359, 0.00017521373261991001, 0.796574675082241, 6.670298762866253e-07, 0.02562418363954541]",5.579074664221507e-24,0.014255591982065483,4.723772873225807e-26,118.10632758919303,-53.5430193,-7.649002757142856,0.9181751238351018
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He does not want Cindy to start painting.,target,He does not want Cindy to start painting.,target,A,"[-3.1190565, -13.548237, -0.00037493455, -4.88251, -0.87139994, -3.1185496e-05, -6.6189485, -0.0075615705, -11.874175]","[0.0441988503684641, 1.3063977729689573e-06, 0.9996251357291748, 0.007577969433332695, 0.4183654525616035, 0.9999688149902626, 0.0013348337856665753, 0.992466946251801, 6.968050994895863e-06]",[],"[-15.0710745, -12.058765, -0.42153317, -1.0139427, -16.13773, -0.04159341, -7.805266, -7.505134, -3.1328387]","[2.849151272931737e-07, 5.793551901356079e-06, 0.6560402271783129, 0.3627858005547709, 9.805571494255666e-08, 0.9592597267052946, 0.0004075829857516799, 0.0005502521116201778, 0.04359387151889826]",1.6891695934391551e-18,0.38483847528545256,3.612879586742271e-28,4675410715.700816,-40.922294630546,-4.546921625616222,0.6476288848837908
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He has some doubts whether Cindy should be painting.,competitor,He has some doubts whether Cindy should be painting.,competitor,B,"[-3.1190565, -15.298238, -3.9124486, -1.1142428, -4.266988, -1.2999661, -1.3983556, -0.5210931, -0.05121956, -11.670245]","[0.0441988503684641, 2.27017665705916e-07, 0.019991489919613387, 0.32816367037791705, 0.014023959770295276, 0.27254103201839636, 0.2470028015773657, 0.5938710326164984, 0.9500700502506975, 8.544309945599266e-06]",[],"[-15.0710745, -6.816578, -13.152774, -4.8387294, -5.8149176, -14.33639, -7.427406, -0.6613312, -13.162542, -3.7117808]","[2.849151272931737e-07, 0.0010954631906448693, 1.9400942569744447e-06, 0.007917107139845865, 0.0029827260939760494, 5.939979314483591e-07, 0.0005947282377707783, 0.5161637597465115, 1.9212356715507694e-06, 0.024433972487338057]",2.9959563822482735e-19,0.24698716582268598,1.2240009261883651e-37,2.447674930751823e+18,-42.65185326,-4.265185326,0.5018247450348379
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,He wants Cindy to create a sculpture.,distractor_associative,C,"[-3.1190565, -8.860738, -2.4049945, -3.4642555e-05, -15.4626255, -5.301117, -0.36025977, -8.646481, -1.421587, -0.0075610303, -1.905913]","[0.0441988503684641, 0.00014185033997363782, 0.09026599207137541, 0.9999653580450464, 1.926047837777761e-07, 0.00498602140933549, 0.6974951142295267, 0.00017574420513885437, 0.24133072097797906, 0.9924674823825902, 0.1486868295575245]",[],"[-15.0710745, -9.004078, -15.596452, -0.047150806, -12.707409, -1.9306064, -0.6931955, -1.7523848, -4.470267, -13.28537, -2.1853588]","[2.849151272931737e-07, 0.00012290756366984884, 1.6847945893758337e-07, 0.9539435263348871, 3.0286033054880936e-06, 0.14506020729768718, 0.4999758408636553, 0.17336002110728052, 0.011444259825171162, 1.6991711238685886e-06, 0.11243738388263634]",2.3724401153397823e-21,0.2927012869265217,4.685845438175267e-34,5062992680065.102,-47.490367942855,-4.317306176623182,0.6188206524652387
gpt-3.5-turbo-instruct,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He wants Cindy to create a sculpture.,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,D,"[-3.1190565, -8.860738, -2.4049945, -3.4642555e-05, -17.22825, -0.50722593, -13.770409, -3.1652873]","[0.0441988503684641, 0.00014185033997363782, 0.09026599207137541, 0.9999653580450464, 3.295080978908131e-08, 0.6021637082667671, 1.0461340977633014e-06, 0.0422020154332013]",[],"[-15.0710745, -9.004078, -15.596452, -0.047150806, -11.996471, -0.4960454, -8.008368, -4.4883766]","[2.849151272931737e-07, 0.00012290756366984884, 1.6847945893758337e-07, 0.9539435263348871, 6.165933583290652e-06, 0.6089339948419663, 0.00033266718906050253, 0.011238874196350774]",4.957374040955311e-22,0.22236735670121693,7.900700218729573e-29,6274600.862849158,-49.055995872554995,-6.131999484069374,0.7581131160098061
gpt-3.5-turbo-instruct,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Cindy might help her clean up the house.,target,Cindy might help her clean up the house.,target,A,"[-1.8475585, -0.0002000066, -12.922092, -16.37606, -1.8875092, -3.9319224, -0.013159201, -0.75755775, -1.6671672, -6.600642]","[0.1576215298760711, 0.9998000133999866, 2.443468528499834e-06, 7.726227763583333e-08, 0.15144856751829608, 0.0196059458314927, 0.9869270027470476, 0.4688099811954769, 0.18878108795838525, 0.0013594949615551694]",[],"[-16.430449, -0.80361295, -18.054592, -14.257634, -0.6825003, -11.243558, -1.3208166, -0.6775246, -1.620872, -3.3134632]","[7.317229289473807e-08, 0.44770849014475894, 1.4420832131401033e-08, 6.426702980289563e-07, 0.5053518801386991, 1.3091361143339155e-05, 0.2669172483216852, 0.5078726255244835, 0.1977262066356511, 0.03638992967122807]",1.048996090244513e-20,0.29743561442191174,1.959188074710242e-30,5354238849.170499,-46.003868257600004,-4.60038682576,0.6725217897080839
gpt-3.5-turbo-instruct,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Cindy's brother creates a lot of mess.,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,"[-1.8475585, -0.0002000066, -0.0002192039, -13.633228, -9.903737, -0.031982563, -0.38046622, -4.5847235e-05, -0.051893346, -11.121634]","[0.1576215298760711, 0.9998000133999866, 0.9997808201234195, 1.1999532023169157e-06, 4.9987529182278015e-05, 0.9685234700757068, 0.6835426536570341, 0.9999541538159684, 0.9494301219633897, 1.4788894950847216e-05]",[],"[-16.430449, -0.80361295, -6.7420926, -12.032829, -18.390078, -0.14289527, -3.774487, -8.507158e-05, -0.47413114, -8.131948]","[7.317229289473807e-08, 0.44770849014475894, 0.0011801749367614212, 5.945779011433963e-06, 1.0310758214118656e-08, 0.8668448488027313, 0.02294886038811001, 0.9999149320384842, 0.6224256223191974, 0.00029399494048746]",8.784439293524054e-17,0.5758718739288912,8.627413572306438e-30,10182007875131.502,-36.970964686735,-3.6970964686735,0.5524435728698566
gpt-3.5-turbo-instruct,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,Cindy's brother creates a lot of mess.,competitor,C,"[-1.8475585, -0.0002000066, -20.375217, -0.03343888, -23.067879, -2.3679063, -2.8130515, -0.39264074, -0.35482758, -0.009293352, -1.4000386, -2.598631]","[0.1576215298760711, 0.9998000133999866, 1.4163014158874289e-09, 0.9671140194339056, 9.588428654184053e-11, 0.09367665190784108, 0.06002155687716618, 0.6752713019814283, 0.7012943499567217, 0.9907496977337066, 0.24658744548250577, 0.07437532837500292]",[],"[-16.430449, -0.80361295, -12.273342, -1.503624, -9.749565, -2.247016, -5.8801208, -8.417758, -0.0027707033, -0.00023404865, -5.8860626, -10.934005]","[7.317229289473807e-08, 0.44770849014475894, 4.674716681255764e-06, 0.22232299990580626, 5.8320027425795403e-05, 0.10571420556589237, 0.002794447685366445, 0.00022090937686020004, 0.9972331315558215, 0.9997659787372486, 0.002777892867523473, 1.7841113800460765e-05]",1.001360698167927e-24,0.41387599137804343,6.402880497551927e-33,156392220.4312241,-55.2606824586,-4.6050568715499995,0.7454708736092978
gpt-3.5-turbo-instruct,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Cindy forgot to invite her brother to the movies.,distractor_associative,Cindy forgot to invite her brother to the movies.,distractor_associative,D,"[-1.8475585, -0.0002000066, -20.375217, -0.03343888, -17.200693, -0.021179432, -1.6434538, -0.15370561, -0.53288275, -0.04136763, -3.2385886]","[0.1576215298760711, 0.9998000133999866, 1.4163014158874289e-09, 0.9671140194339056, 3.3871462203415155e-08, 0.979043277114656, 0.19331122965820355, 0.8575244304733108, 0.5869106120800756, 0.959476332818134, 0.039219210047106164]",[],"[-16.430449, -0.80361295, -12.273342, -1.503624, -12.155815, -0.013450344, -6.1071763, -0.0391242, -4.8566, -15.706552, -2.440404]","[7.317229289473807e-08, 0.44770849014475894, 4.674716681255764e-06, 0.22232299990580626, 5.257709932851655e-06, 0.9866397076826896, 0.0022268298430051514, 0.9616312671257937, 0.007776880384977469, 1.509145582021586e-07, 0.08712564559005563]",2.6206349907273763e-20,0.521820062744474,3.867364169382193e-32,677628192212.8942,-45.088285208600006,-4.098935018963637,0.6233677842091266
gpt-3.5-turbo-instruct,0.1,0,4,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,She wishes that he stopped telling her about the movie.,target,She wonders whether Matt knows something else interesting that he can share with her.,competitor,A,"[-7.032552, -19.0112, -6.3748975, -4.5703263, -7.572105, -4.74769, -0.036493313, -0.0036053895, -0.0014473072, -4.774227, -4.870554]","[0.0008826763138913481, 5.540395216573653e-09, 0.0017037944257812768, 0.010354580466712613, 0.0005146080577299024, 0.008671703719979525, 0.9641645412430545, 0.9964011021127824, 0.9985537396439698, 0.008444609248100811, 0.0076691154208478616]",[],"[-14.3366995, -20.162792, -3.8518753, -6.2007527, -12.540704, -6.1854906, -0.7921253, -3.6845605, -4.2467027, -5.3074117, -4.454329]","[5.93814117535246e-07, 1.7515022301706188e-09, 0.021239867943012917, 0.002027903658605942, 3.578009205768421e-06, 0.002059091114694163, 0.4528812631989921, 0.025108207355948424, 0.014311344994475094, 0.004954734474611576, 0.011628119725824242]",2.391963575037214e-26,0.27248731601756776,3.0944805220045e-36,7729774215.82793,-58.9950978097,-5.363190709972727,0.7215339206451937
