model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Lara needs to get a dress of a shorter length.,target,Simon does not like the color of this dress.,distractor_associate,A,"[-13.335174, -0.00029605313, -8.052957, -0.2447317, -2.1902928, -3.0294893, -0.88090515, -5.360333, -1.8008409, -1.7315855, -0.09021858, -1.1584588]","[1.616618396441474e-06, 0.9997039906894035, 0.0003181597318118624, 0.7829145660434481, 0.11188398419027992, 0.04834031922424076, 0.4144076407929167, 0.004699340966459914, 0.16515994681258367, 0.17700354824983522, 0.913731440023705, 0.3139696982873856]",[],"[-14.805449, -4.8176103, -17.01391, -0.056897838, -2.262243, -5.537296, -7.1308746, -11.801537, -1.3485007, -10.171141, -0.2711288, -3.113132]","[3.7159956523075457e-07, 0.008086087392048384, 4.082749848847006e-08, 0.9446905759154051, 0.10411668891751143, 0.003937158534451685, 0.000800019384471922, 7.493032269289165e-06, 0.2596292310875056, 3.825864538859076e-05, 0.7625182777257471, 0.044461483674788325]",3.556097720639156e-17,0.3276778543025388,9.590356063134962e-35,3.707993423006147e+17,-37.87528278312999,-3.1562735652608325,0.48353655123557554
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,The dress is fitting well.,competitor,Lara needs to get a dress of a shorter length.,target,B,"[-11.2572775, -2.8288186, -0.8568486, -8.220449, -4.6150208, -5.894615]","[1.2912980657628672e-05, 0.0590826126532911, 0.4244977387924695, 0.00026909421447446737, 0.009901977443694544, 0.0027542365200286744]",[],"[-1.8132616, -17.578947, -5.2260447, -7.6274705, -5.106966, -2.9991283]","[0.1631212320036762, 2.3203864473781328e-08, 0.005374742032895825, 0.0004868908925114278, 0.006054424208849963, 0.04983048667648069]",2.376780628551487e-15,0.08275309543410264,2.9883266260381575e-18,795.3550351028925,-33.6730295,-5.612171583333333,0.8344860550409746
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Simon does not like the color of this dress.,distractor_associate,The dress is fitting well.,competitor,C,"[-0.9445489, -14.714401, -0.0012081532, -8.017419, -0.010724469, -12.958411, -0.58559996, -6.0125785, -0.06338299, -1.3738226]","[0.388854943808572, 4.0702102270497547e-07, 0.9987925763232558, 0.0003296698034631116, 0.9893328330898971, 2.356316413609605e-06, 0.5567717208249573, 0.002447768465234984, 0.9385839365820982, 0.25313746446571717]",[],"[-17.421959, -17.071503, -0.1300559, -1.5268537, -4.4249697, -5.8629217, -0.04149561, -11.974763, -6.8567543, -1.8519443]","[2.7148093880794098e-08, 3.854255042881082e-08, 0.878046346757888, 0.21721802637633833, 0.01197457412490279, 0.0028429253617484073, 0.9593535468942989, 6.301247048177427e-06, 0.0010523239234890226, 0.15693174710066665]",3.9337976705902314e-20,0.4128253676700633,6.782410568378733e-30,5799999323.147089,-44.6820965722,-4.46820965722,0.6652762692511166
gpt-3.5-turbo-instruct,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,"Simon has to get back to work.
",distractor_nonsequitur,"Simon has to get back to work.
",distractor_nonsequitur,D,"[-0.9445489, -14.261276, -9.6212225, -6.7656837, -3.1195352, -0.20855078, -0.40905285, -3.589278]","[0.388854943808572, 6.403339498759956e-07, 6.630650837864243e-05, 0.0011526591517530547, 0.04417769744214957, 0.8117598124926424, 0.6642791242427777, 0.027618263612830398]",[],"[-17.422636, -7.8784504, -8.719981, -2.7819536, -9.8889675, -0.18240297, -0.1955837, -6.1824236]","[2.7129720841212453e-08, 0.0003788196210800592, 0.0001632902934079091, 0.06191742725891465, 5.073129902857698e-05, 0.8332654917565998, 0.8223545096110672, 0.00206541604146018]",1.2520705875223085e-17,0.2422386809491317,7.46065686432229e-24,1678231.032859657,-38.91914793,-4.86489349125,0.730843094939139
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane was not paying attention when Christian was talking.,target,Shane was not paying attention when Christian was talking.,target,A,"[-15.409282, -8.065993e-05, -3.6668963, -0.0044647786, -1.1556462, -0.002035796, -6.661047, -0.0037178574, -0.14933288, -11.930928, -4.1544943]","[2.03157966584452e-07, 0.9999193433229246, 0.02555566410032908, 0.9955451737068487, 0.3148540124888869, 0.9979662748271779, 0.0012798057120915057, 0.9962890452747869, 0.8612823635015412, 6.583605594590932e-06, 0.015693725440216657]",[],"[-16.657011, -4.040088, -0.96681315, -11.352476, -7.813691, -0.0358184, -7.8586893, -17.78866, -3.1628, -0.41180798, -2.7892964]","[5.8338067374060464e-08, 0.017595923906186233, 0.3802930459160064, 1.1740384415738705e-05, 0.00040416352380643754, 0.9648154880676063, 0.00038637996785313364, 1.8814085855940494e-08, 0.04230711515927795, 0.6624514677708959, 0.061464445088053925]",1.842624649111837e-19,0.4734901995580332,2.237975686320424e-32,8233443555150.481,-43.13792577193,-3.92162961563,0.5919266195763727
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane was paying attention when Christian was talking.,competitor,Shane was paying attention when Christian was talking.,competitor,B,"[-15.409282, -8.065993e-05, -3.6668963, -14.645089, -0.10220609, -4.996324, -0.005791817, -0.31787243, -10.006322, -6.4241586]","[2.03157966584452e-07, 0.9999193433229246, 0.02555566410032908, 4.3623314512184824e-07, 0.9028434654844829, 0.006762761272946575, 0.9942249232376903, 0.7276956146231074, 4.5113816762657704e-05, 0.0016218973684217499]",[],"[-16.657011, -4.040088, -0.96681315, -15.414976, -8.559109, -8.546888, -16.264324, -1.8312821, -0.9756636, -2.6004496]","[5.8338067374060464e-08, 0.017595923906186233, 0.3802930459160064, 2.020044722376383e-07, 0.00019179010251514438, 0.00019414835007887883, 8.639603961295571e-08, 0.16020803332594136, 0.3769421317501124, 0.0742401923192803]",7.319956811746188e-25,0.36586694226177774,1.1373529841689425e-33,643595868.0932148,-55.57402289693,-5.557402289693001,0.7326194376860221
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane's hearing improved greatly.,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,C,"[-15.409282, -8.065993e-05, -0.08877155, -14.239895, -7.4805675, -4.3816333, -2.313118]","[2.03157966584452e-07, 0.9999193433229246, 0.915054593920175, 6.541723422137838e-07, 0.0005639372903334646, 0.012504917650501348, 0.09895223698136156]",[],"[-16.657011, -4.040088, -5.326188, -19.497637, -15.40017, -4.609284, -5.6371846]","[5.8338067374060464e-08, 0.017595923906186233, 0.004862570847323818, 3.4063074214012474e-09, 2.050176016062476e-07, 0.009958946361295459, 0.003562885246021101]",8.485457788830217e-20,0.28957084092794355,1.2368592243050995e-31,686048793758.0425,-43.91334800993,-6.2733354299899995,0.6170416184792872
gpt-3.5-turbo-instruct,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane needs to see an eye doctor.,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,"[-15.409282, -8.065993e-05, -11.80752, -0.0008706172, -16.516537, -7.148758, -1.5381662, -0.033766754, -1.2713628]","[2.03157966584452e-07, 0.9999193433229246, 7.448335301533099e-06, 0.9991297616771941, 6.713656556763252e-08, 0.0007858394881021519, 0.21477459417400396, 0.9667969798692531, 0.2804491651093868]",[],"[-16.657011, -4.040088, -15.576187, -0.05236488, -11.059285, -7.4663205, -0.52364546, -0.24614859, -3.2601407]","[5.8338067374060464e-08, 0.017595923906186233, 1.719285247978697e-07, 0.9489825389138657, 1.5740319760954736e-05, 0.0005720292108321626, 0.5923571927017428, 0.7818060477336738, 0.03838299714991095]",4.6445672383635636e-24,0.38465148914118874,2.6805480981433904e-26,173.2693116598243,-53.726344031130004,-5.969593781236667,0.9124534167882417
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Phil's basketball skills could be better.,target,Phil's basketball skills could be better.,target,A,"[-18.204288, -1.6909502, -1.5909598, -0.0071422216, -13.655973, -1.1760422, -2.3000615, -2.6120272]","[1.2415899101854882e-08, 0.18434427681441126, 0.20372997783179914, 0.9928832234505904, 1.1729683156955396e-06, 0.3084972962057688, 0.1002526779935129, 0.07338562553045996]",[],"[-20.328888, -7.2352896, -14.451039, -11.340621, -10.79594, -2.4831653, -7.1367984, -1.1158067]","[1.4834609491532328e-09, 0.0007206985557430637, 5.296555221087904e-07, 1.188039494563848e-05, 2.0482493751413722e-05, 0.08347857223483121, 0.0007952942388686089, 0.32765085631329016]",1.2325529066393886e-18,0.23288678290134468,2.997444429514834e-33,411201253475411.2,-41.23744412159999,-5.154680515199999,0.5506582232015392
gpt-3.5-turbo-instruct,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Phil is a great basketball player.,competitor,Phil's blocking is impressive.,distractor_associate,B,"[-18.204288, -0.6284501, -0.09636548, -3.9424295, -0.20787477, -9.251094e-06, -5.1933236]","[1.2415899101854882e-08, 0.5334179050632447, 0.9081320513070491, 0.019401022657462772, 0.8123087557681522, 0.9999907489487913, 0.005553518434080244]",[],"[-20.328888, -4.5165396, -0.41885895, -15.086845, -3.5228233, -0.019338153, -1.4376342]","[1.4834609491532328e-09, 0.010926769315911156, 0.6577969709874133, 2.804571181895576e-07, 0.029515984940527908, 0.9808476295892826, 0.2374889459402721]",5.263864789609097e-13,0.4684005735135256,2.056025308051881e-20,25602140.056324005,-28.272740701093994,-4.038962957299142,0.6236965013859876
