model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He disliked the talk that his boss gave but does not want to criticize his boss.,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,"[-11.160196, -15.336281, -0.10089239, -17.974092, -3.4777267, -1.2251287, -0.00030725967, -0.05187752, -4.379938, -3.7093449, -0.00038936536, -0.004989212, -0.00013252322, -3.9608994, -4.86842, -0.005064034, -2.0713704]","[1.4229461345818783e-05, 2.185434470157296e-07, 0.9040303103534532, 1.5629713856597904e-08, 0.030877525185308136, 0.29371989614025257, 0.9996927875294181, 0.9494451477633987, 0.012526135217383126, 0.024493563750633163, 0.9996107104328544, 0.9950232134452083, 0.9998674855608141, 0.019045976634577376, 0.007685498787991265, 0.9949487666034974, 0.12601297514389]",[],"[-15.0710745, -13.933764, -2.1388872, -16.904148, -5.0655704, -3.672203, -2.922847, -0.79053986, -7.4429655, -12.064276, -0.029155206, -0.5692222, -0.0027814028, -7.19, -3.8258624, -0.049487475, -3.7302175]","[2.849151272931737e-07, 8.88470848217237e-07, 0.11778584220552137, 4.556399571282632e-08, 0.006310310474965082, 0.025420407059332628, 0.05378035646262683, 0.45359984875553977, 0.0005855461830907872, 5.761711453766836e-06, 0.9712657065023937, 0.5659654754938828, 0.9972224617170115, 0.0007540891204935333, 0.02179962742346247, 0.9517170783182178, 0.02398761796237909]",2.118065952141406e-30,0.43276437977548154,3.689800021800781e-42,574032722539.7161,-68.32704940425,-4.01923820025,0.7161939166165681
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,"[-11.160196, -0.5315943, -10.249078, -0.5554622, -0.0864361, -0.059332702, -0.0012428861, -0.13203107, -4.6684505e-05, -0.020596424, -1.9129208, -2.6419024e-05, -0.055311818, -1.9980816e-05, -2.6232948, -0.00081967295, -5.880432, -0.004302777, -0.6278265]","[1.4229461345818783e-05, 0.5876673044336593, 3.5390115499236706e-05, 0.5738069863070605, 0.9171941556187414, 0.9423931808982007, 0.9987578859630335, 0.8763137675876375, 0.9999533165847045, 0.9796142335974863, 0.1476485044300436, 0.9999735813249794, 0.9461900628564326, 0.9999800193836151, 0.07256338668462961, 0.9991806628901065, 0.0027935781885474824, 0.9957064666823688, 0.5337506482073715]",[],"[-15.0710745, -5.0040784, -9.846719, -1.5557587, -0.8645407, -1.750779, -0.83191115, -1.75009, -5.516018, -0.61665195, -11.304461, -0.022406857, -0.0513197, -0.061211877, -9.102219, -0.059315942, -0.06764907, -0.0044448413, -0.18349598]","[2.849151272931737e-07, 0.00671052291724493, 5.292054077729412e-05, 0.2110292140240094, 0.42124498602402194, 0.17363862626138535, 0.43521672655469135, 0.17375830449929797, 0.004021831029804048, 0.5397485208642289, 1.2317851577609684e-05, 0.9778423121182522, 0.9499749149993668, 0.9406239220865984, 0.00011141829677688251, 0.9424089755402713, 0.9345883911398958, 0.9955650223875043, 0.8323552217991608]",1.8923231620599298e-15,0.6617651242744981,2.243948273866803e-28,8433007053228.78,-33.900971134395,-1.7842616386523684,0.5324970716100829
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,C,"[-11.160196, -13.297219, -0.061581947, -16.985323, -3.5282378, -1.1415918, -0.0068227253, -0.050408747, -3.287871, -7.4194226, -0.00045859648, -0.044118088, -0.0003762477, -8.394582, -0.11597712, -6.258322, -0.033269655, -1.9276694]","[1.4229461345818783e-05, 1.679156456289008e-06, 0.9402758897938791, 4.201147675160773e-08, 0.029356602517513965, 0.3193103388655468, 0.9932004966479224, 0.9508406917792167, 0.03733324733069141, 0.000599495194125538, 0.9995415086592929, 0.9568409593661081, 0.9996238230722896, 0.00022608896176907987, 0.8904955976036628, 0.00191445555931714, 0.9672776931522963, 0.14548687538190005]",[],"[-15.0710745, -12.425953, -4.0511336, -16.614866, -4.7675133, -3.4328375, -4.515432, -0.68466073, -6.2355223, -11.084605, -0.016830046, -1.7231143, -0.035037514, -4.4751086, -0.67904806, -3.4686673, -0.104744926, -2.6859093]","[2.849151272931737e-07, 4.013074107469069e-06, 0.01740263582567563, 6.084927087002689e-08, 0.008501494563009674, 0.032295173085442073, 0.010938878510439448, 0.5042612812817289, 0.0019586059672317977, 1.5346778126515236e-05, 0.9833107880362316, 0.17850934967545154, 0.9655691932154209, 0.011388985213556127, 0.5070994909637236, 0.03115852797341504, 0.9005542012548229, 0.06815918865961591]",9.697424573056127e-33,0.45735220636193386,1.0318421952232563e-40,93981663.2615797,-73.71344772648,-4.09519154036,0.8006060616750257
gpt-3.5-turbo-instruct,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,D,"[-11.160196, -4.219094, -0.00031501107, -2.0036414, -15.558337, -9.02219, -2.9700007, -2.726037, -7.8752586e-05, -0.7174104, -7.7013125, -0.0026264891, -8.490001, -1.1543792, -0.114932016, -0.40798455, -5.4314798e-05, -1.1252203, -3.5500815]","[1.4229461345818783e-05, 0.014711967511233754, 0.9996850385407776, 0.1348433695071183, 1.7502500281495335e-07, 0.00012070150029352133, 0.05130327441961446, 0.06547826653680376, 0.9999212505149035, 0.4880143830989035, 0.00045223323707146307, 0.9973769571046963, 0.00020551305460238706, 0.31525318534531593, 0.8914267446026742, 0.6649891528254461, 0.9999456866770219, 0.3245809542972436, 0.028722298691503133]",[],"[-15.0710745, -9.004078, -0.11207609, -7.180191, -3.8988514, -0.10147651, -18.132034, -7.349428, -1.0593535, -3.0024493, -3.775999, -0.064016595, -6.4361787, -0.44780004, -0.0037323344, -0.0040582106, -0.6236075, -0.31791428, -4.840902]","[2.849151272931737e-07, 0.00012290756366984884, 0.8939762322608571, 0.0007615223774853142, 0.020265174662799, 0.9035024023643868, 1.3346201825943879e-08, 0.0006429600283286971, 0.3466798664297661, 0.0496652741175269, 0.0229141879301869, 0.9379894334669221, 0.001602518699953148, 0.6390324521863696, 0.9962746221026808, 0.9959500128087678, 0.5360072992501758, 0.7276651611988777, 0.0078999251044774]",1.57813812339461e-31,0.3672129148395564,4.339861294398808e-36,36363.79175139574,-70.923892133554,-3.7328364280817894,0.8710310060858815
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex thinks that Richard's painting is mediocre.,target,Alex thinks that Richard's painting is mediocre.,target,A,"[-4.3960013, -13.0278425, -0.045682874, -0.09333651, -3.294534, -0.07900538, -0.05686428, -7.4334083, -8.427776]","[0.012326531587987815, 2.198264219837848e-06, 0.955344878856853, 0.9108869261568807, 0.03708532278159094, 0.9240349531236661, 0.9447222783736842, 0.0005911691923835879, 0.00021870735506625125]",[],"[-16.625761, -20.980373, -3.2068238, -12.991491, -4.455366, -7.2567906, -0.10270889, -5.9559216, -2.1902466]","[6.018991641942537e-08, 7.73285341706604e-10, 0.040484997726526806, 2.279644609895982e-06, 0.011616067615767674, 0.0007053682155066095, 0.9023896298938658, 0.0025904553704977277, 0.11188915334975617]",9.869956408781186e-17,0.4205792184102592,9.205725052264153e-33,1.0721541598022922e+16,-36.854451144,-4.094939016,0.49961648592207303
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?, Alex is proud of the painting job that he did.,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,B,"[-6.186952, -0.09507062, -11.7249975, -0.017301625, -2.0740812, -1.2601079, -2.4238691, -3.9306037, -0.050327256, -0.7342773, -8.360333]","[0.002056084156658546, 0.9093087168191512, 8.089064258692529e-06, 0.982847188638582, 0.1256718417519691, 0.2836234218814599, 0.08857823554711955, 0.019631817246829258, 0.9509181798952797, 0.47985212282198797, 0.0002339664099810433]",[],"[-19.258574, -6.119518, -18.677187, -0.074057646, -2.3707895, -7.288108, -11.187566, -3.7435937, -0.11071315, -1.4854418, -4.8900404]","[4.326209856821621e-09, 0.0021995158742347943, 7.737501539265107e-09, 0.9286181611758109, 0.09340695237074387, 0.0006836202394553426, 1.3845282459452238e-05, 0.023668891215619763, 0.89519549893177, 0.22640229404428627, 0.007521118615663276]",9.835766452311682e-17,0.34933906038484336,2.1808590805115023e-33,4.510042184846159e+16,-36.857921200999996,-3.3507201091818177,0.4900955048027252
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,C,"[-4.327577, -8.415816, -11.637047, -0.12347762, -12.35638, -0.26887503, -0.083155274, -0.037356697, -0.0010476356, -1.4285048]","[0.01319949114175398, 0.00022133879970468533, 8.832724858113219e-06, 0.8838414213937485, 4.302217373156376e-06, 0.7642387565981098, 0.920208251710357, 0.9633324562608966, 0.9989529129785883, 0.2396670045799365]",[],"[-16.625761, -18.777248, -21.381758, -0.29433078, -3.4501073, -0.09106108, -5.2827196, -0.26519746, -2.495142, -5.528411]","[6.018991641942537e-08, 7.000753855827527e-09, 5.176312498744955e-10, 0.7450300096533197, 0.0317422302540264, 0.9129619454805773, 0.005078600233234619, 0.7670544724448423, 0.08248473772733722, 0.003972296055311244]",1.5915518146067247e-17,0.47836747684053277,6.010884137567734e-33,2647783218211782.0,-38.6792370566,-3.8679237056600004,0.5213415809801896
gpt-3.5-turbo-instruct,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,D,"[-4.4104404, -0.15527464, -16.393553, -3.0595276, -0.030900601, -1.8162239, -5.837754, -6.6086087, -0.786625, -3.2649794, -0.2209118, -2.8102188, -0.00082695123, -0.640961, -8.038829]","[0.012149826367966968, 0.8561800039147821, 7.592248130693612e-08, 0.046909850199804634, 0.9695719427679603, 0.16263873298437037, 0.0029153832286976833, 0.0013487073011282627, 0.455379109164711, 0.03819772194864733, 0.8017873948198618, 0.060191820981043045, 0.9991733905999364, 0.5267859394283796, 0.00032268659496751355]",[],"[-16.625761, -7.620998, -16.219566, -3.5202613, -15.211796, -1.2394096, -6.5625486, -2.7363546, -1.1150625, -6.060979, -0.048128586, -3.2472923, -0.0032664433, -0.67059016, -8.480381]","[6.018991641942537e-08, 0.0004900525145750655, 9.035079688221766e-08, 0.02959170184588515, 2.4751466603158555e-07, 0.28955512082689006, 0.001412281778466544, 0.06480616119331425, 0.3278947848351035, 0.0023321166273880273, 0.9530112352957502, 0.0388793390218978, 0.9967388857220209, 0.5114066769459383, 0.00020749963029623509]",3.2752933566559698e-24,0.3289035057483159,1.550261362164836e-39,2112736236993123.8,-54.075634792230005,-3.6050423194820005,0.6051274111240207
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,She does not want to discuss the topic that Leslie has raised.,target,She does not want to discuss the topic that Leslie has raised.,target,A,"[-12.147219, -4.0186706, -0.00028555995, -0.0004924058, -8.0580685e-06, -1.7744397, -0.020643827, -5.5384326, -3.9486866, -0.0023743256, -4.042986, -9.00985, -2.8534362]","[5.303100014511744e-06, 0.01797684748230232, 0.9997144808183618, 0.99950771541184, 0.9999919419639661, 0.1695784376846797, 0.9795677980445722, 0.003932686102226141, 0.019280007515340408, 0.9976284908815051, 0.01754500473622003, 0.00012220018467205194, 0.05764589732618726]",[],"[-14.3366995, -16.069042, -0.0886805, -0.90802467, -0.0031769865, -8.384043, -0.5943015, -0.4632001, -6.246865, -16.985418, -2.512336, -6.1967998, -2.3631492]","[5.93814117535246e-07, 1.0502766975798102e-07, 0.9151379134340147, 0.40332012803682693, 0.996828054781503, 0.00022848431347192316, 0.5519479669057311, 0.6292667036420012, 0.0019365156063347196, 4.2007485850887185e-08, 0.08107861819763203, 0.0020359356232960923, 0.09412334274273304]",1.479333857943601e-19,0.40480744701937604,2.3015246906896887e-33,64276254081823.25,-43.3575248764185,-3.3351942212629617,0.5769331094152658
gpt-3.5-turbo-instruct,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",Why has the speaker responded like this?,She thinks that it is the best latte in the town.,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,"[-12.147219, -15.846795, -1.4276186, -5.0736337, -0.3816317, -7.210571, -0.6775799, -3.683196, -2.4032974e-05, -5.2257476, -0.51458204, -5.9313803, -1.2104925]","[5.303100014511744e-06, 1.311669365760791e-07, 0.23987949161849564, 0.006259633136377345, 0.682746462427652, 0.0007387352172018881, 0.5078445409448378, 0.025142490889507117, 0.9999759673147897, 0.005376339105987259, 0.5977503781628931, 0.002654815017429735, 0.2980504534286388]",[],"[-14.3366995, -18.764355, -2.74581, -3.895, -1.7681116, -4.987064, -4.2208276, -14.819529, -0.0006069118, -5.227724, -2.2106752, -3.0472581, -3.0424123]","[5.93814117535246e-07, 7.091598949764785e-09, 0.06419628089170362, 0.020343374449160633, 0.1706549495411377, 0.006825675284648424, 0.014686484939031913, 3.664041052222521e-07, 0.9993932723337137, 0.005365723802876139, 0.10962660363799745, 0.04748895601131369, 0.04771963645861033]",1.7104235756020615e-26,0.2589557493485201,4.5924104695545767e-35,372445709.4898918,-59.330471372973996,-4.563882413305692,0.7503910206093224
