model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got his shoes on sale.

B. He wants his wife to iron his shirt.
C. He got this shirt on sale.
D. He is unhappy that his shirt is wrinkled.
Your answer:
",,A,target,"He got his shoes on sale.
",distractor_associative,A,[-8.485697],[0.0002063994890278897],[],[-3.152182],[0.04275872546420477],0.0002063994890278897,0.0002063994890278897,0.04275872546420477,0.004827072995912282,-8.485697,-8.485697,2.6920073142984764
gpt-3.5-turbo-instruct,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got his shoes on sale.

B. He wants his wife to iron his shirt.
C. He got this shirt on sale.
D. He is unhappy that his shirt is wrinkled.
Your answer:
",,B,competitor,He wants his wife to iron his shirt.,target,B,[-6.3138223],[0.001811097434567409],[],[-7.011557],[0.0009014040091726604],0.001811097434567409,0.001811097434567409,0.0009014040091726604,2.009196116433625,-6.3138223,-6.3138223,0.9004879087483707
gpt-3.5-turbo-instruct,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got his shoes on sale.

B. He wants his wife to iron his shirt.
C. He got this shirt on sale.
D. He is unhappy that his shirt is wrinkled.
Your answer:
",,C,distractor_lexical_overlap,He got this shirt on sale.,distractor_lexical_overlap,C,[-7.063822],[0.0008555021084952965],[],[-1.7726887],[0.16987562964469402],0.0008555021084952965,0.0008555021084952965,0.16987562964469402,0.005036049669305921,-7.063822,-7.063822,3.9848068078732606
gpt-3.5-turbo-instruct,0.1,1,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got his shoes on sale.

B. He wants his wife to iron his shirt.
C. He got this shirt on sale.
D. He is unhappy that his shirt is wrinkled.
Your answer:
",,D,distractor_associative,He is unhappy that his shirt is wrinkled.,competitor,D,[-1.5169473],[0.21938056885284696],[],[-4.730307],[0.008823761729018005],0.21938056885284696,0.21938056885284696,0.008823761729018005,24.862476525333577,-1.5169473,-1.5169473,0.3206868602820071
gpt-3.5-turbo-instruct,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to create a sculpture.
B. He has some doubts whether Cindy should be painting.
C. He does not want Cindy to start painting.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,A,target,He wants Cindy to create a sculpture.,distractor_associative,A,[-8.297583],[0.00024911821876812145],[],[-5.347375],[0.004760631268972323],0.00024911821876812145,0.00024911821876812145,0.004760631268972323,0.05232882042172919,-8.297583,-8.297583,1.5517114472054043
gpt-3.5-turbo-instruct,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to create a sculpture.
B. He has some doubts whether Cindy should be painting.
C. He does not want Cindy to start painting.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,B,competitor,He has some doubts whether Cindy should be painting.,competitor,B,[-0.9849428],[0.37346058827137],[],[-2.3161247],[0.09865516411871865],0.37346058827137,0.37346058827137,0.09865516411871865,3.7855148446355917,-0.9849428,-0.9849428,0.425254650580774
gpt-3.5-turbo-instruct,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to create a sculpture.
B. He has some doubts whether Cindy should be painting.
C. He does not want Cindy to start painting.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,C,distractor_lexical_overlap,He does not want Cindy to start painting.,target,C,[-4.250708],[0.014254138405621583],[],[-2.284875],[0.10178678465919001],0.014254138405621583,0.014254138405621583,0.10178678465919001,0.14003918537507926,-4.250708,-4.250708,1.8603678538213253
gpt-3.5-turbo-instruct,0.1,1,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to create a sculpture.
B. He has some doubts whether Cindy should be painting.
C. He does not want Cindy to start painting.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,D,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,D,[-7.0788326],[0.0008427564081690383],[],[-2.95675],[0.05198760261890893],0.0008427564081690383,0.0008427564081690383,0.05198760261890893,0.01621071881976937,-7.0788326,-7.0788326,2.3941261858459457
gpt-3.5-turbo-instruct,0.1,1,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy might help her clean up the house.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy's brother creates a lot of mess.
D. Cindy forgot to invite her brother to the movies.
Your answer:
",,A,target,Cindy might help her clean up the house.,target,A,[-5.405584],[0.004491430639626107],[],[-3.38996],[0.03371002527361569],0.004491430639626107,0.004491430639626107,0.03371002527361569,0.1332372373847337,-5.405584,-5.405584,1.5945863668007882
gpt-3.5-turbo-instruct,0.1,1,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy might help her clean up the house.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy's brother creates a lot of mess.
D. Cindy forgot to invite her brother to the movies.
Your answer:
",,B,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,[-8.077459],[0.0003104589100904745],[],[-4.5149603],[0.010944039596579287],0.0003104589100904745,0.0003104589100904745,0.010944039596579287,0.028367853327898485,-8.077459,-8.077459,1.7890431949091554
gpt-3.5-turbo-instruct,0.1,1,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy might help her clean up the house.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy's brother creates a lot of mess.
D. Cindy forgot to invite her brother to the movies.
Your answer:
",,C,distractor_lexical_overlap,Cindy's brother creates a lot of mess.,competitor,C,[-0.87846094],[0.41542177897107196],[],[-1.3118352],[0.26932533671083203],0.41542177897107196,0.41542177897107196,0.26932533671083203,1.542453391294188,-0.87846094,-0.87846094,0.6696427569560567
gpt-3.5-turbo-instruct,0.1,1,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy might help her clean up the house.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy's brother creates a lot of mess.
D. Cindy forgot to invite her brother to the movies.
Your answer:
",,D,distractor_associative,Cindy forgot to invite her brother to the movies.,distractor_associative,D,[-6.456585],[0.0015701486226405862],[],[-4.88996],[0.007521723337909483],0.0015701486226405862,0.0015701486226405862,0.007521723337909483,0.2087485210639213,-6.456585,-6.456585,1.3203758312951432
gpt-3.5-turbo-instruct,0.1,1,4,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She wishes to have a date with Matt.
B. She wishes to build a kite with Matt.
C. She wishes that he stopped telling her about the movie.
D. She wonders whether Matt knows something else interesting that he can share with her.
Your answer:
",,A,target,She wishes to have a date with Matt.,distractor_lexical_overlap,A,[-7.710963],[0.00044788995136470417],[],[-1.4798985],[0.22766079478181356],0.00044788995136470417,0.00044788995136470417,0.22766079478181356,0.001967356530552196,-7.710963,-7.710963,5.210467474627483
gpt-3.5-turbo-instruct,0.1,1,4,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She wishes to have a date with Matt.
B. She wishes to build a kite with Matt.
C. She wishes that he stopped telling her about the movie.
D. She wonders whether Matt knows something else interesting that he can share with her.
Your answer:
",,B,competitor,She wishes to build a kite with Matt.,distractor_associative,B,[-8.835963],[0.00014540857781556246],[],[-3.6830232],[0.025146835887329827],0.00014540857781556246,0.00014540857781556246,0.025146835887329827,0.00578238067274405,-8.835963,-8.835963,2.3991059844532066
gpt-3.5-turbo-instruct,0.1,1,4,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She wishes to have a date with Matt.
B. She wishes to build a kite with Matt.
C. She wishes that he stopped telling her about the movie.
D. She wonders whether Matt knows something else interesting that he can share with her.
Your answer:
",,C,distractor_lexical_overlap,She wishes that he stopped telling her about the movie.,target,C,[-1.0390887],[0.3537769320213887],[],[-3.7767735],[0.022896447762401732],0.3537769320213887,0.3537769320213887,0.022896447762401732,15.451171102721268,-1.0390887,-1.0390887,0.27512603019482107
gpt-3.5-turbo-instruct,0.1,1,4,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Matt was telling Cindy about a scary movie that he saw. Cindy was listening to him for a while and then responded, ""Can we talk about something else?"" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She wishes to have a date with Matt.
B. She wishes to build a kite with Matt.
C. She wishes that he stopped telling her about the movie.
D. She wonders whether Matt knows something else interesting that he can share with her.
Your answer:
",,D,distractor_associative,She wonders whether Matt knows something else interesting that he can share with her.,competitor,D,[-5.835963],[0.002920609358662687],[],[-2.2142735],[0.10923284308927782],0.002920609358662687,0.002920609358662687,0.10923284308927782,0.026737465363559424,-5.835963,-5.835963,2.635610731917263
