model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,1,target,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,1,[-4.3535423],[0.01286117365937382],[],[-3.491779],[0.030446659356221737],0.01286117365937382,0.01286117365937382,0.030446659356221737,0.42241657808496663,-4.3535423,-4.3535423,1.2467977784390134
gpt-3.5-turbo-instruct,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,2,incorrect_straightforward,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,2,[-3.134792],[0.04350880271915116],[],[-2.835529],[0.05868747194818309],0.04350880271915116,0.04350880271915116,0.05868747194818309,0.7413644049545425,-3.134792,-3.134792,1.1055404476554462
gpt-3.5-turbo-instruct,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,3,associative_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,3,[-5.447292],[0.00430795485105247],[],[-3.585529],[0.02772199881324825],0.00430795485105247,0.00430795485105247,0.02772199881324825,0.15539842130696985,-5.447292,-5.447292,1.5192436039424029
gpt-3.5-turbo-instruct,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,4,funny_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,4,[-2.8847919],[0.05586641412768393],[],[-3.476154],[0.030926124475201607],0.05586641412768393,0.05586641412768393,0.030926124475201607,1.8064473022632022,-2.8847919,-2.8847919,0.8298803505253219
gpt-3.5-turbo-instruct,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,5,neutral_nonsequitur,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,5,[-1.1347921],[0.32148895194021754],[],[-2.007404],[0.13433696114849766],0.32148895194021754,0.32148895194021754,0.13433696114849766,2.3931533748544442,-1.1347921,-1.1347921,0.5653032971937886
gpt-3.5-turbo-instruct,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,1,target,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,1,[-5.678889],[0.003417353014319881],[],[-3.5543175],[0.028600888362867765],0.003417353014319881,0.003417353014319881,0.028600888362867765,0.1194841562598662,-5.678889,-5.678889,1.597743870658713
gpt-3.5-turbo-instruct,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,2,incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,2,[-7.4415917],[0.0005863511592486355],[],[-3.5565646],[0.028536691462068744],0.0005863511592486355,0.0005863511592486355,0.028536691462068744,0.020547271922816256,-7.4415917,-7.4415917,2.092353868674282
gpt-3.5-turbo-instruct,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,3,associative_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,3,[-0.83513886],[0.433814237805311],[],[-2.7284396],[0.06532113728857385],0.433814237805311,0.433814237805311,0.06532113728857385,6.641253594358268,-0.83513886,-0.83513886,0.30608662181856616
gpt-3.5-turbo-instruct,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,4,funny_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,4,[-7.991388],[0.0003383641078941459],[],[-3.6346896],[0.02639212523181128],0.0003383641078941459,0.0003383641078941459,0.02639212523181128,0.012820646496717313,-7.991388,-7.991388,2.19864386769093
gpt-3.5-turbo-instruct,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,5,neutral_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,5,[-7.2101383],[0.0007390549370967823],[],[-3.2440646],[0.039005032605925895],0.0007390549370967823,0.0007390549370967823,0.039005032605925895,0.018947681561084,-7.2101383,-7.2101383,2.2225631080219546
