model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,A,target,"Simon has to get back to work.
",distractor_nonsequitur,A,[-7.3873906],[0.0006190090902548671],[],[-1.1023102],[0.3321029725073756],0.0006190090902548671,0.0006190090902548671,0.3321029725073756,0.001863907105622548,-7.3873906,-7.3873906,6.701734774839242
gpt-3.5-turbo-instruct,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,B,competitor,Lara needs to get a dress of a shorter length.,target,B,[-5.571026],[0.00380657288458311],[],[-6.867934],[0.0010406247760528053],0.00380657288458311,0.00380657288458311,0.0010406247760528053,3.6579687243482946,-5.571026,-5.571026,0.8111647549321237
gpt-3.5-turbo-instruct,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,C,distractor_associate,Simon does not like the color of this dress.,distractor_associate,C,[-8.465516],[0.0002106071517319121],[],[-6.867934],[0.0010406247760528053],0.0002106071517319121,0.0002106071517319121,0.0010406247760528053,0.2023852944677776,-8.465516,-8.465516,1.2326146407347536
gpt-3.5-turbo-instruct,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,D,distractor_nonsequitur,The dress is fitting well.,competitor,D,[-1.3405163],[0.2617105125551682],[],[-5.7116847],[0.003307096383861611],0.2617105125551682,0.2617105125551682,0.003307096383861611,79.1360402534067,-1.3405163,-1.3405163,0.2346971813762759
gpt-3.5-turbo-instruct,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,A,target,Shane needs to see an eye doctor.,distractor_nonsequitur,A,[-6.9418797],[0.0009664512503083001],[],[-7.6146407],[0.0004931778492450945],0.0009664512503083001,0.0009664512503083001,0.0004931778492450945,1.9596404254320088,-6.9418797,-6.9418797,0.9116490158229003
gpt-3.5-turbo-instruct,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,B,competitor,Shane was paying attention when Christian was talking.,competitor,B,[-0.91062975],[0.4022708142043457],[],[-5.145891],[0.005823283506219774],0.4022708142043457,0.4022708142043457,0.005823283506219774,69.07972345407629,-0.91062975,-0.91062975,0.17696250270361344
gpt-3.5-turbo-instruct,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,C,distractor_associate,Shane was not paying attention when Christian was talking.,target,C,[-2.9575047],[0.05194838237683236],[],[-1.1771411],[0.30815847472652624],0.05194838237683236,0.05194838237683236,0.30815847472652624,0.1685768415842975,-2.9575047,-2.9575047,2.5124470634828735
gpt-3.5-turbo-instruct,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane needs to see an eye doctor.
B. Shane was paying attention when Christian was talking.
C. Shane was not paying attention when Christian was talking.
D. Shane's hearing improved greatly.
Your answer:
",,D,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,[-9.105942],[0.00011100425767001973],[],[-8.724015],[0.00016263290720375432],0.00011100425767001973,0.00011100425767001973,0.00016263290720375432,0.6825448771628257,-9.105942,-9.105942,1.0437788105591292
gpt-3.5-turbo-instruct,0.1,1,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil's basketball skills could be better.
B. Phil's blocking is impressive.
C. Phil is a great basketball player.
D. Phil is a great student.
Your answer:
",,A,target,Phil's basketball skills could be better.,target,A,[-5.367475],[0.004665897840834979],[],[-1.3157563],[0.26827135287149007],0.004665897840834979,0.004665897840834979,0.26827135287149007,0.017392456521699812,-5.367475,-5.367475,4.079383849425612
gpt-3.5-turbo-instruct,0.1,1,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil's basketball skills could be better.
B. Phil's blocking is impressive.
C. Phil is a great basketball player.
D. Phil is a great student.
Your answer:
",,B,competitor,Phil's blocking is impressive.,distractor_associate,B,[-1.2581004],[0.28419336779268584],[],[-2.3782563],[0.09271209873370136],0.28419336779268584,0.28419336779268584,0.09271209873370136,3.0653320513105804,-1.2581004,-1.2581004,0.529001184607395
