model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
gpt-3.5-turbo-instruct,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,A,target,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,A,[-4.412826],[0.012120876287569228],[],[-3.5777261],[0.027939156927503653],0.012120876287569228,0.012120876287569228,0.027939156927503653,0.4338311395372595,-4.412826,-4.412826,1.233416387017441
gpt-3.5-turbo-instruct,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,B,incorrect_straightforward,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,B,[-6.5690756],[0.0014030938327777571],[],[-4.952726],[0.0070641258510879545],0.0014030938327777571,0.0014030938327777571,0.0070641258510879545,0.19862242864227356,-6.5690756,-6.5690756,1.3263555464202945
gpt-3.5-turbo-instruct,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,C,associative_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,C,[-4.333789],[0.013117750053459993],[],[-4.624601],[0.009807567474660762],0.013117750053459993,0.013117750053459993,0.009807567474660762,1.3375131078477467,-4.333789,-4.333789,0.9371163047363438
gpt-3.5-turbo-instruct,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,D,funny_nonsequitur,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,D,[-5.636997],[0.0035635537059928407],[],[-3.4527261],[0.03165921245239207],0.0035635537059928407,0.0035635537059928407,0.03165921245239207,0.11255977107300374,-5.636997,-5.636997,1.6326221185051428
gpt-3.5-turbo-instruct,0.1,4,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. Then the blind man throws a pie in the woman's face.
B. The man says, ""I really enjoy going to the symphony.""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""My seeing eye dog is 10 years old.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,E,neutral_nonsequitur,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,E,[-0.9753265],[0.37706922036230744],[],[-2.421476],[0.08879046596562895],0.37706922036230744,0.37706922036230744,0.08879046596562895,4.24673095541893,-0.9753265,-0.9753265,0.40278181571900773
gpt-3.5-turbo-instruct,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,A,target,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,A,[-8.003394],[0.0003343259976959636],[],[-6.0670977],[0.0023178906719399906],0.0003343259976959636,0.0003343259976959636,0.0023178906719399906,0.14423717293626487,-8.003394,-8.003394,1.3191470445580595
gpt-3.5-turbo-instruct,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,B,incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,B,[-8.269019],[0.00025633663419140704],[],[-4.3665752],[0.01269464281628958],0.00025633663419140704,0.00025633663419140704,0.01269464281628958,0.020192504657356693,-8.269019,-8.269019,1.8937081399628708
gpt-3.5-turbo-instruct,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,C,associative_nonsequitur,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,C,[-2.9877684],[0.05039978347726772],[],[-3.7389727],[0.023778518260135512],0.05039978347726772,0.05039978347726772,0.023778518260135512,2.119551055532444,-2.9877684,-2.9877684,0.7990880489713124
gpt-3.5-turbo-instruct,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,D,funny_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,D,[-1.2533937],[0.2855341335327629],[],[-2.9264727],[0.053585718087599876],0.2855341335327629,0.2855341335327629,0.053585718087599876,5.3285491680074655,-1.2533937,-1.2533937,0.42829502561223276
gpt-3.5-turbo-instruct,0.1,4,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""According to the weather report, it will rain tomorrow.""
B. ""The birds are always eating my grass seed.""
C. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
D. ""Oh well, can I borrow it when you're done then?""
E. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,E,neutral_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,E,[-5.0346437],[0.006508516688191318],[],[-2.082723],[0.12459048997248882],0.006508516688191318,0.006508516688191318,0.12459048997248882,0.05223927355634031,-5.0346437,-5.0346437,2.4173371590941284
