model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,A,target,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,A,[-5.775702476501465],[0.003102017798478122],[-6.87332820892334],[-5.968879222869873],[0.0025571057592038943],0.003102017798478122,0.003102017798478122,0.0025571057592038943,1.2130971850940868,-5.775702476501465,-5.775702476501465,0.9676360101862594
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,B,incorrect_straightforward,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,B,[-6.255411148071289],[0.001920036374497177],[-8.983907699584961],[-6.191619873046875],[0.0020465089820773936],0.001920036374497177,0.001920036374497177,0.0020465089820773936,0.9382008050353947,-6.255411148071289,-6.255411148071289,1.010302840990305
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,C,associative_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,C,[-5.943944454193115],[0.0026216681792295337],[-8.415637969970703],[-5.347757339477539],[0.004758811439618662],0.0026216681792295337,0.0026216681792295337,0.004758811439618662,0.5509081863179719,-5.943944454193115,-5.943944454193115,1.1114835765479631
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,D,funny_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,D,[-6.175615310668945],[0.0020795259691918106],[-6.7939066886901855],[-6.1175456047058105],[0.002203858470244749],0.0020795259691918106,0.0020795259691918106,0.002203858470244749,0.9435841717008576,-6.175615310668945,-6.175615310668945,1.0094923208939326
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,E,neutral_nonsequitur,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,E,[-7.550370693206787],[0.0005259151378087585],[-6.80149507522583],[-7.32637882232666],[0.0006579518390001015],0.0005259151378087585,0.0005259151378087585,0.0006579518390001015,0.7993216321243193,-7.550370693206787,-7.550370693206787,1.0305733400240684
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,A,target,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,A,[-5.431469917297363],[0.004376657747196184],[-6.87332820892334],[-6.395863056182861],[0.0016684452800872016],0.004376657747196184,0.004376657747196184,0.0016684452800872016,2.62319525814322,-5.431469917297363,-5.431469917297363,0.849216105721147
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,B,incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,B,[-5.741748332977295],[0.0032091527002946927],[-8.983907699584961],[-6.607967853546143],[0.0013495718924250255],0.0032091527002946927,0.0032091527002946927,0.0013495718924250255,2.3779042215588935,-5.741748332977295,-5.741748332977295,0.8689128731000115
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,C,associative_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,C,[-5.3740925788879395],[0.004635122834116628],[-8.415637969970703],[-5.656342506408691],[0.003495277503138711],0.004635122834116628,0.004635122834116628,0.003495277503138711,1.3261101099853594,-5.3740925788879395,-5.3740925788879395,0.950100276424039
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,D,funny_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,D,[-5.750828742980957],[0.003180144181953444],[-6.7939066886901855],[-6.297943115234375],[0.0018400857315106279],0.003180144181953444,0.003180144181953444,0.0018400857315106279,1.7282587041978137,-5.750828742980957,-5.750828742980957,0.9131280860682944
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,E,neutral_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,E,[-5.23886251449585],[0.005306289231420297],[-6.80149507522583],[-6.152842998504639],[0.002127424898473843],0.005306289231420297,0.005306289231420297,0.002127424898473843,2.4942310467584003,-5.23886251449585,-5.23886251449585,0.8514539564505516
