model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He is unhappy that his shirt is wrinkled.
D. He got his shoes on sale.

Your answer:
",,A,target,He got this shirt on sale.,distractor_lexical_overlap,A,[-6.513172626495361],[0.001483764816126419],[-6.87332820892334],[-6.684134006500244],[0.0012505972941182664],0.001483764816126419,0.001483764816126419,0.0012505972941182664,1.1864449276395943,-6.513172626495361,-6.513172626495361,0.9744228078254229
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He is unhappy that his shirt is wrinkled.
D. He got his shoes on sale.

Your answer:
",,B,competitor,He wants his wife to iron his shirt.,target,B,[-6.413118839263916],[0.001639901927459169],[-8.983907699584961],[-6.55436897277832],[0.0014238810913016933],0.001639901927459169,0.001639901927459169,0.0014238810913016933,1.1517126939019833,-6.413118839263916,-6.413118839263916,0.9784494687282566
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He is unhappy that his shirt is wrinkled.
D. He got his shoes on sale.

Your answer:
",,C,distractor_lexical_overlap,He is unhappy that his shirt is wrinkled.,competitor,C,[-6.761697769165039],[0.0011572627401055975],[-8.415637969970703],[-6.176844120025635],[0.0020769721975939497],0.0011572627401055975,0.0011572627401055975,0.0020769721975939497,0.5571874007009908,-6.761697769165039,-6.761697769165039,1.0946848645966765
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He is unhappy that his shirt is wrinkled.
D. He got his shoes on sale.

Your answer:
",,D,distractor_associative,"He got his shoes on sale.
",distractor_associative,D,[-6.571630477905273],[0.001399513674726146],[-6.7939066886901855],[-6.944019317626953],[0.0009643856247899647],0.001399513674726146,0.001399513674726146,0.0009643856247899647,1.4511971546972704,-6.571630477905273,-6.571630477905273,0.9463727241114676
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He does not want Cindy to start painting.
B. He has some doubts whether Cindy should be painting.
C. He wants Cindy to create a sculpture.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,A,target,He does not want Cindy to start painting.,target,A,[-5.87216329574585],[0.0028167732246900303],[-6.87332820892334],[-6.426618576049805],[0.001617912443160102],0.0028167732246900303,0.0028167732246900303,0.001617912443160102,1.7409923735973727,-5.87216329574585,-5.87216329574585,0.9137251925343363
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He does not want Cindy to start painting.
B. He has some doubts whether Cindy should be painting.
C. He wants Cindy to create a sculpture.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,B,competitor,He has some doubts whether Cindy should be painting.,competitor,B,[-6.55931282043457],[0.0014168590124522952],[-8.983907699584961],[-6.330573081970215],[0.0017810128102526022],0.0014168590124522952,0.0014168590124522952,0.0017810128102526022,0.7955355538691162,-6.55931282043457,-6.55931282043457,1.0361325484284856
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He does not want Cindy to start painting.
B. He has some doubts whether Cindy should be painting.
C. He wants Cindy to create a sculpture.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,C,distractor_lexical_overlap,He wants Cindy to create a sculpture.,distractor_associative,C,[-4.616915702819824],[0.009883231924792025],[-8.415637969970703],[-4.789505958557129],[0.00831656509496858],0.009883231924792025,0.009883231924792025,0.00831656509496858,1.1883790738043114,-4.616915702819824,-4.616915702819824,0.9639649147050443
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He does not want Cindy to start painting.
B. He has some doubts whether Cindy should be painting.
C. He wants Cindy to create a sculpture.
D. He wants Cindy to paint a picture for the meeting.
Your answer:
",,D,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,D,[-6.54180908203125],[0.0014418776631528025],[-6.7939066886901855],[-7.079060077667236],[0.0008425647217102806],0.0014418776631528025,0.0014418776631528025,0.0008425647217102806,1.711296029848017,-6.54180908203125,-6.54180908203125,0.9241070156572218
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy might help her clean up the house.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy's brother creates a lot of mess.
D. Cindy forgot to invite her brother to the movies.
Your answer:
",,A,target,Cindy might help her clean up the house.,target,A,[-5.923737525939941],[0.002675182903209775],[-6.87332820892334],[-6.517045497894287],[0.0014780294990487776],0.002675182903209775,0.002675182903209775,0.0014780294990487776,1.8099658396070275,-5.923737525939941,-5.923737525939941,0.9089605907851881
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy might help her clean up the house.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy's brother creates a lot of mess.
D. Cindy forgot to invite her brother to the movies.
Your answer:
",,B,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,[-6.48163366317749],[0.001531306994941733],[-8.983907699584961],[-6.719709396362305],[0.0012068888893033323],0.001531306994941733,0.001531306994941733,0.0012068888893033323,1.2688052798511291,-6.48163366317749,-6.48163366317749,0.9645705313813576
