model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He wants his wife to iron his shirt.,target,He got this shirt on sale.,distractor_lexical_overlap,A,"[-11.118914604187012, -12.888428688049316, -11.4039945602417, -14.31416130065918, -9.455196380615234, -10.83848762512207, -12.170522689819336, -27.462604522705078, -20.829605102539062, -13.317317962646484]","[1.4829166542236034e-05, 2.527123930931847e-06, 1.1150853005580355e-05, 6.073495779775036e-07, 7.828172490480466e-05, 1.9629291851765223e-05, 5.180947052068515e-06, 1.1834295166871306e-12, 8.991195559961983e-10, 1.6457440554826423e-06]","[-7.019478797912598, -12.059147834777832, -9.786458969116211, -11.494912147521973, -8.484789848327637, -8.050836563110352, -9.664782524108887, -27.93899154663086, -14.827789306640625, -14.615015983581543]","[-9.743474960327148, -14.116470336914062, -10.74342155456543, -13.96760368347168, -9.258066177368164, -9.387162208557129, -11.42796516418457, -30.4520206451416, -18.782970428466797, -13.184247970581055]","[5.8676282408948805e-05, 7.401075400505979e-07, 2.1586950819389175e-05, 8.589082907462363e-07, 9.533951670554946e-05, 8.379290595310968e-05, 1.0886738463441229e-05, 5.954639459292862e-14, 6.960806948343195e-09, 1.8799827238971389e-06]",3.5382329011247756e-63,1.3385310122383226e-05,5.456855106836165e-62,0.06484014751815925,-143.79923343658447,-14.379923343658447,1.019394330820828
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He is unhappy that his shirt is wrinkled.,competitor,He wants his wife to iron his shirt.,target,B,"[-11.122817993164062, -8.991764068603516, -22.27056884765625, -17.77545738220215, -8.030416488647461, -10.735305786132812, -33.47066116333008, -19.79174041748047, -10.337909698486328, -19.031940460205078, -22.312252044677734, -17.58065414428711, -13.567375183105469]","[1.4771395362062428e-05, 0.00012443039575935497, 2.1282117695291367e-10, 1.9064128014195077e-08, 0.00032541265001855257, 2.1762858360317824e-05, 2.9098898597402652e-15, 2.5383783175344153e-09, 3.238193998369026e-05, 5.426668320905115e-09, 2.0413245477299587e-10, 2.3164285921867553e-08, 1.2816334213941796e-06]","[-7.0237202644348145, -8.828100204467773, -16.83149528503418, -14.6149320602417, -7.308669090270996, -9.484984397888184, -14.579437255859375, -15.467363357543945, -9.367188453674316, -17.291015625, -20.257568359375, -16.735265731811523, -13.927759170532227]","[-9.739897727966309, -9.17482852935791, -22.40279769897461, -17.49212074279785, -8.438047409057617, -10.682533264160156, -20.827667236328125, -15.955617904663086, -10.675399780273438, -17.2454833984375, -21.88185691833496, -17.340608596801758, -13.010149955749512]","[5.888655698146551e-05, 0.00010361499187833676, 1.8646124519995983e-10, 2.530862113842236e-08, 0.0002164724199738451, 2.2942183581357654e-05, 9.008636187376912e-10, 1.1764221384064417e-07, 2.3106426393509248e-05, 3.238782039883715e-08, 3.139281686865907e-10, 2.9448920089686097e-08, 2.2375032019719426e-06]",4.1542631144171253e-94,4.000703717865294e-05,2.3460281318986833e-85,1.7707644072686395e-09,-215.01886367797852,-16.53991259061373,1.1034133720307133
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He got this shirt on sale.,distractor_lexical_overlap,He is unhappy that his shirt is wrinkled.,competitor,C,"[-11.122371673583984, -9.80638599395752, -10.217647552490234, -19.92266273498535, -17.63187599182129, -8.873971939086914, -12.539982795715332, -12.69326400756836]","[1.4777989596496098e-05, 5.509861413384734e-05, 3.6520107724929254e-05, 2.22688356142244e-09, 2.2007643946514905e-08, 0.00013998546823176675, 3.5805906120869605e-06, 3.071747292654036e-06]","[-7.019478797912598, -9.31971263885498, -8.118030548095703, -15.141518592834473, -14.37763786315918, -7.454498767852783, -10.201929092407227, -13.288310050964355]","[-9.743022918701172, -10.607807159423828, -9.285056114196777, -14.575626373291016, -16.07591438293457, -9.650062561035156, -12.67008113861084, -13.787086486816406]","[5.870281252696228e-05, 2.472224383613805e-05, 9.280072421173758e-05, 4.6761226720618726e-07, 1.0430835393067046e-07, 6.442153663026568e-05, 3.1437910717509373e-06, 1.0288318898443101e-06]",2.243790213450572e-45,3.1632344014911045e-05,1.3687758096088837e-42,0.0016392678754979723,-102.80816268920898,-12.851020336151123,1.0665338281686765
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,"He got his shoes on sale.
",distractor_associative,"He got his shoes on sale.
",distractor_associative,D,"[-11.123170852661133, -9.813852310180664, -10.780403137207031, -22.50290870666504, -14.077610969543457, -7.533722877502441, -12.45064640045166, -12.722843170166016, -1.146142601966858]","[1.4766184054407715e-05, 5.4688762402542555e-05, 2.0803212476290865e-05, 1.6869838381308644e-10, 7.694337597696486e-07, 0.0005347437608404079, 3.915191166560562e-06, 2.9822182052640336e-06, 0.31786052216386496]","[-7.019478797912598, -9.31971263885498, -9.258028984069824, -13.162739753723145, -12.400641441345215, -7.337950706481934, -10.391582489013672, -12.611854553222656, -8.527495384216309]","[-9.740078926086426, -10.607498168945312, -9.634937286376953, -17.81438636779785, -14.38805866241455, -7.997567176818848, -13.57587718963623, -13.835763931274414, -4.853203773498535]","[5.8875887814685966e-05, 2.472988395439207e-05, 6.540333634341851e-05, 1.833624072788741e-08, 5.640862551860983e-07, 0.0003362797427049834, 1.2707831555493904e-06, 9.799503485850616e-07, 0.007803337333704547]",4.327665098657027e-45,0.035388132343940955,3.218636111223081e-45,1.3445648868372744,-102.1513010263443,-11.350144558482699,0.9971100238862215
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He does not want Cindy to start painting.,target,He does not want Cindy to start painting.,target,A,"[-11.660109519958496, -11.197718620300293, -8.025496482849121, -10.795365333557129, -14.844864845275879, -20.500144958496094, -15.073424339294434, -9.37637996673584, -12.997502326965332, -10.56440258026123, -13.236898422241211]","[8.631350984751138e-06, 1.3705427711069975e-05, 0.0003270176271543379, 2.0494267735971865e-05, 3.572375589355656e-07, 1.2499716592414188e-09, 2.8424640853000277e-07, 8.47012696261306e-05, 2.2659820270501042e-06, 2.5818930874922174e-05, 1.7835613711236854e-06]","[-7.0237202644348145, -9.86565113067627, -8.025691032409668, -10.1491060256958, -8.998505592346191, -15.495716094970703, -13.737556457519531, -8.88672161102295, -11.964353561401367, -10.874900817871094, -14.328582763671875]","[-9.742410659790039, -10.691572189331055, -9.300315856933594, -12.171612739562988, -10.072489738464355, -16.628719329833984, -14.519998550415039, -9.515917778015137, -13.043558120727539, -10.843048095703125, -12.763813018798828]","[5.8738764851983064e-05, 2.273574529635009e-05, 9.139535906077913e-05, 5.175302638966953e-06, 4.222535286761009e-05, 6.001211791695408e-08, 4.943616263530664e-07, 7.366978777577845e-05, 2.1639871810483782e-06, 1.9539976857746556e-05, 2.8625062124478058e-06]",8.894056784931284e-61,4.4096468311316564e-05,7.056112222200727e-57,0.00012604755288539503,-138.27230739593506,-12.570209763266824,1.0694455202200805
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He has some doubts whether Cindy should be painting.,competitor,He has some doubts whether Cindy should be painting.,competitor,B,"[-11.661362648010254, -9.89743423461914, -10.443262100219727, -17.58656883239746, -18.911474227905273, -10.466443061828613, -14.673375129699707, -20.386951446533203, -14.463443756103516, -10.846551895141602, -10.014983177185059, -8.795915603637695, -12.899622917175293]","[8.62054157091196e-06, 5.030358381350893e-05, 2.9143982456433053e-05, 2.302768078198304e-08, 6.1214047778043245e-09, 2.8476167123116927e-05, 4.2406668009690484e-07, 1.3997790327486733e-09, 5.231258577160115e-07, 1.9471632500185104e-05, 4.4724765256284794e-05, 0.00015134998771928763, 2.498992475362807e-06]","[-7.0237202644348145, -9.099508285522461, -8.677678108215332, -16.94381332397461, -16.257526397705078, -7.665714740753174, -8.321803092956543, -15.13624382019043, -13.784289360046387, -10.064950942993164, -8.07931900024414, -11.124131202697754, -13.494051933288574]","[-9.739897727966309, -9.59561824798584, -9.999183654785156, -16.586496353149414, -18.06839370727539, -8.128467559814453, -9.655491828918457, -17.075851440429688, -13.417292594909668, -11.190559387207031, -9.179853439331055, -11.179041862487793, -12.1139497756958]","[5.888655698146551e-05, 6.802615815651214e-05, 4.543700690971748e-05, 6.260026327680675e-08, 1.4223167221973527e-08, 0.0002950199550088392, 6.407272260965646e-05, 3.8375314315921503e-08, 1.4891685782683595e-06, 1.3803900135619824e-05, 0.0001030956418087387, 1.3963805988795045e-05, 5.482497702605826e-06]",5.188750641909496e-75,2.5812876485961283e-05,1.9073002178876916e-68,2.7204687511942746e-07,-171.04738903045654,-13.157491463881273,1.096949156610056
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,He wants Cindy to create a sculpture.,distractor_associative,C,"[-11.661362648010254, -13.231053352355957, -14.915214538574219, -20.164236068725586, -15.179922103881836, -8.908870697021484, -8.207283020019531, -10.973794937133789, -12.518430709838867, -10.159383773803711, -8.639860153198242, -10.114505767822266, -13.139144897460938]","[8.62054157091196e-06, 1.7940169389772212e-06, 3.329696345790091e-07, 1.7489747659324826e-09, 2.555310000144944e-07, 0.0001351844119782343, 0.00027266052901183497, 1.7145154904327757e-05, 3.658597393432625e-06, 3.871111562166945e-05, 0.00017691164103989868, 4.048796583746403e-05, 1.9667170105552414e-06]","[-7.0237202644348145, -12.063191413879395, -9.41546630859375, -15.972458839416504, -13.713945388793945, -8.17182445526123, -8.772981643676758, -10.179805755615234, -11.59898567199707, -10.132242202758789, -7.795368194580078, -11.687484741210938, -14.28427791595459]","[-9.739897727966309, -14.117894172668457, -9.85637378692627, -16.701290130615234, -14.994486808776855, -9.064006805419922, -9.841769218444824, -10.992558479309082, -11.744688987731934, -11.233087539672852, -8.266341209411621, -11.21078109741211, -13.037381172180176]","[5.888655698146551e-05, 7.390544983301065e-07, 5.241206280511006e-05, 5.581126363814117e-08, 3.0759347603869445e-07, 0.00011575822543839915, 5.318313525042576e-05, 1.6826450430082943e-05, 7.931336591891497e-06, 1.322915383843757e-05, 0.0002570239698777022, 1.3527565067667021e-05, 2.1773953867892167e-06]",2.9017347527246857e-69,5.367161083974351e-05,3.2221827451543136e-66,0.0009005494046197305,-157.81306266784668,-12.13946635906513,1.0465018542667708
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,He wants Cindy to create a sculpture.,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,D,"[-11.660109519958496, -13.237237930297852, -14.899592399597168, -20.160329818725586, -15.179841995239258, -8.90898323059082, -13.44750690460205, -10.116868019104004, -13.959484100341797, -17.012609481811523, -13.160286903381348]","[8.631350984751138e-06, 1.7829559404487872e-06, 3.3821217571839396e-07, 1.7558200596219047e-09, 2.555514710759857e-07, 0.00013516920004977815, 1.4448473175148452e-06, 4.039243596547401e-05, 8.659106576934167e-07, 4.088062993456165e-08, 1.9255731324758858e-06]","[-7.0237202644348145, -12.063191413879395, -9.41546630859375, -15.972458839416504, -13.713945388793945, -8.17182445526123, -11.713557243347168, -8.689031600952148, -12.142658233642578, -13.478336334228516, -13.8862886428833]","[-9.742410659790039, -14.117097854614258, -9.858725547790527, -16.701343536376953, -14.994805335998535, -9.071324348449707, -12.363870620727539, -9.604166030883789, -13.104851722717285, -14.069117546081543, -13.356598854064941]","[5.8738764851983064e-05, 7.396432551578976e-07, 5.228894699320794e-05, 5.580828307468443e-08, 3.0749551474586254e-07, 0.00011491425131715669, 4.270111491139292e-06, 6.744716341122988e-05, 2.0353317653180475e-06, 7.759967180559002e-07, 1.5823509811926621e-06]",1.2557912273373963e-66,1.7349879467720437e-05,3.2245503757229977e-60,3.894469246912686e-07,-151.7428503036499,-13.794804573059082,1.1077388937790213
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Cindy might help her clean up the house.,target,Cindy might help her clean up the house.,target,A,"[-5.55155086517334, -19.921968460083008, -13.63282299041748, -11.32838249206543, -10.506675720214844, -11.748477935791016, -13.539926528930664, -8.938584327697754, -10.643267631530762, -13.635425567626953, -13.220311164855957]","[0.003881432994031156, 2.2284301676123838e-09, 1.2004392932915368e-06, 1.2026686623403533e-05, 2.7353235939323794e-05, 7.901342029309368e-06, 1.3172997915767651e-06, 0.00013122668272578126, 2.3860942721586123e-05, 1.1973191193534355e-06, 1.813392486879033e-06]","[-8.420244216918945, -14.627924919128418, -12.40499496459961, -10.67190170288086, -8.147223472595215, -8.329206466674805, -9.579620361328125, -8.472702980041504, -8.106907844543457, -10.326807975769043, -12.67975902557373]","[-5.240509033203125, -16.06210708618164, -13.541022300720215, -11.709598541259766, -9.97079086303711, -11.189498901367188, -12.16862678527832, -10.309492111206055, -9.46042537689209, -12.061606407165527, -13.602144241333008]","[0.005297559515726854, 1.0575855899400619e-07, 1.3158571221893354e-06, 8.214591438903435e-06, 4.6745579491254645e-05, 1.3818546741134473e-05, 5.190778950336554e-06, 3.331535649718439e-05, 7.787345839899951e-05, 5.777113426729302e-06, 1.237838008851771e-06]",2.417035306696787e-58,0.00037175750574471175,3.76729963276202e-55,0.0006415829751573866,-132.6673936843872,-12.06067215312611,1.0586643565041125
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Cindy's brother creates a lot of mess.,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,"[-5.559317111968994, -19.910249710083008, -13.63461971282959, -14.398967742919922, -16.1767520904541, -14.68700122833252, -15.126710891723633, -11.29090404510498, -16.3551082611084, -9.368279457092285, -12.673158645629883, -12.909439086914062]","[0.0038514055785624154, 2.2546981972622666e-09, 1.1982843735848811e-06, 5.579660364916714e-07, 9.430307016120539e-08, 4.1832749583197146e-07, 2.6949637656282815e-07, 1.2485981223813808e-05, 7.889813387817879e-08, 8.539017957130059e-05, 3.1341309049011872e-06, 2.4745819460090293e-06]","[-8.420244216918945, -14.627924919128418, -12.40499496459961, -11.625211715698242, -14.703813552856445, -10.683485984802246, -12.465764045715332, -8.825859069824219, -10.290342330932617, -8.658655166625977, -9.317075729370117, -13.686616897583008]","[-5.229429244995117, -16.0659122467041, -13.538626670837402, -13.181294441223145, -15.418120384216309, -13.229804039001465, -13.157522201538086, -10.354304313659668, -15.972538948059082, -10.357499122619629, -11.285337448120117, -11.846761703491211]","[0.005356581726171701, 1.0535689538231785e-07, 1.3190132077297715e-06, 1.8855435160035153e-06, 2.0137029014211725e-07, 1.7962596289168201e-06, 1.9309041339837653e-06, 3.185537871794144e-05, 1.1566833200204744e-07, 3.175376926640913e-05, 1.25556794602656e-05, 7.161710538556676e-06]",4.0270480687598435e-71,0.00032979249853276236,1.031362021986048e-65,3.904592163482165e-06,-162.09050798416138,-13.507542332013447,1.0832236991687854
