model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Lara needs to get a dress of a shorter length.,target,Simon does not like the color of this dress.,distractor_associate,A,"[-10.054112434387207, -15.376143455505371, -12.991168975830078, -9.421679496765137, -11.04521656036377, -10.12468147277832, -10.904183387756348, -10.796865463256836, -10.451313972473145, -12.593534469604492, -12.319022178649902, -13.640296936035156]","[4.300851518199946e-05, 2.100031186751072e-07, 2.2803788287709673e-06, 8.094994989807669e-05, 1.596332649965682e-05, 4.007806131353558e-05, 1.838117733699923e-05, 2.046354672477922e-05, 2.891026104295025e-05, 3.393887733589864e-06, 4.4659786789042424e-06, 1.1915007201100014e-06]","[-7.536735534667969, -14.190367698669434, -12.103426933288574, -8.199731826782227, -9.344305038452148, -8.851518630981445, -9.582399368286133, -8.822406768798828, -8.363648414611816, -10.265666007995605, -11.042954444885254, -13.54147720336914]","[-7.637797832489014, -14.137809753417969, -12.415277481079102, -9.202329635620117, -10.411783218383789, -9.912480354309082, -10.155388832092285, -9.656224250793457, -9.628868103027344, -12.85782527923584, -12.04755973815918, -13.175129890441895]","[0.00048188848360899316, 7.244813963595578e-07, 4.05614525037929e-06, 0.00010080429081537667, 3.00759948288745e-05, 4.955237562661085e-05, 3.886607359009973e-05, 6.402581152747482e-05, 6.580148818948118e-05, 2.6056581152953075e-06, 5.858835242798032e-06, 1.8972029454073542e-06]",2.094828878709299e-61,2.1608048923170616e-05,1.0089154394957678e-57,0.00020763175948186946,-139.71821880340576,-11.643184900283813,1.0646132506120973
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,The dress is fitting well.,competitor,Lara needs to get a dress of a shorter length.,target,B,"[-9.587335586547852, -12.890743255615234, -9.78014087677002, -12.046490669250488, -10.705333709716797, -14.119115829467773]","[6.859193563060868e-05, 2.521281495809945e-06, 5.6563826956775545e-05, 5.865102090646479e-06, 2.2425009873788368e-05, 7.38152178651863e-07]","[-8.339838027954102, -8.979433059692383, -9.031785011291504, -10.467103958129883, -10.576870918273926, -12.862378120422363]","[-10.305845260620117, -9.61821174621582, -9.439698219299316, -11.038475036621094, -11.710168838500977, -13.640880584716797]","[3.343707443321088e-05, 6.650644177374514e-05, 7.950439782350747e-05, 1.6071307212576365e-05, 8.209908015666765e-06, 1.1908055051859075e-06]",9.49701895780151e-31,2.6117551371046816e-05,2.7778798999916706e-29,0.034188011360138305,-69.12915992736816,-11.52152665456136,1.0513416252013077
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Simon does not like the color of this dress.,distractor_associate,The dress is fitting well.,competitor,C,"[-9.338210105895996, -11.18040657043457, -9.892179489135742, -11.923262596130371, -8.786653518676758, -10.75603199005127, -10.670042991638184, -11.529762268066406, -11.982932090759277, -12.816995620727539]","[8.799680016610349e-05, 1.394476246917176e-05, 5.0568612061508844e-05, 6.634265506677114e-06, 0.00015275831612513824, 2.1316439188271427e-05, 2.3230534750156668e-05, 9.833041437331123e-06, 6.249981271632351e-06, 2.714248005317165e-06]","[-7.727660179138184, -11.521328926086426, -8.474364280700684, -10.158069610595703, -7.318975448608398, -9.482868194580078, -10.602455139160156, -10.572602272033691, -8.845544815063477, -12.722941398620605]","[-7.407120227813721, -11.195610046386719, -9.708492279052734, -11.527769088745117, -7.168036460876465, -10.421442031860352, -10.995769500732422, -11.526822090148926, -9.960628509521484, -12.626566886901855]","[0.0006069159600465289, 1.3734357107582782e-05, 6.076526211578731e-05, 9.852659997348467e-06, 0.000770834810536114, 2.978689483373746e-05, 1.6772506990392788e-05, 9.861994871893622e-06, 4.722304658088441e-05, 3.2836108016512784e-06]",5.194535575536216e-48,3.752470009813082e-05,2.9390078625863746e-45,0.0017674452803147455,-108.87647724151611,-10.887647724151613,1.0618132226680297
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,"Simon has to get back to work.
",distractor_nonsequitur,"Simon has to get back to work.
",distractor_nonsequitur,D,"[-9.336681365966797, -9.634499549865723, -8.716756820678711, -9.421651840209961, -11.768390655517578, -9.921304702758789, -12.357666015625, -13.057619094848633, -1.9424495697021484]","[8.813142726685227e-05, 6.543197203867974e-05, 0.00016381762023659913, 8.09521887257915e-05, 7.745560979650792e-06, 4.911703183520927e-05, 4.296688210449194e-06, 2.133772336188709e-06, 0.14335236772442364]","[-7.727660179138184, -9.035280227661133, -8.361077308654785, -9.46137809753418, -10.13589859008789, -8.92377758026123, -11.481437683105469, -13.016904830932617, -10.424742698669434]","[-7.401177406311035, -9.598674774169922, -9.12270736694336, -10.29545783996582, -12.178304672241211, -10.320253372192383, -12.159493446350098, -12.875805854797363, -5.4608154296875]","[0.0006105334917902034, 6.781855186157005e-05, 0.00010915874414115785, 3.378620955824453e-05, 5.140785484167704e-06, 3.295876338807978e-05, 5.238405256315334e-06, 2.559225575528157e-06, 0.004250088682948066]",3.82368232832031e-38,0.01597933266511701,1.4742191563746506e-39,25.93700069481785,-86.15701961517334,-9.573002179463703,0.9635882720723125
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane was not paying attention when Christian was talking.,target,Shane was not paying attention when Christian was talking.,target,A,"[-17.00693130493164, -18.547468185424805, -7.60859489440918, -8.961875915527344, -17.429906845092773, -10.966276168823242, -14.061565399169922, -13.141214370727539, -15.292043685913086, -10.75524616241455, -14.718888282775879, -13.794196128845215]","[4.11134176617809e-08, 8.809208999474573e-09, 0.0004961685380954409, 0.00012820552527629942, 2.6933180217625758e-08, 1.727455119247323e-05, 7.818793445437562e-07, 1.9626511508240143e-06, 2.2842824871740513e-07, 2.1333196818744225e-05, 4.051986959858391e-07, 1.021543204074782e-06]","[-12.810388565063477, -11.151957511901855, -8.848156929016113, -8.4013032913208, -13.229514122009277, -11.885289192199707, -13.816648483276367, -10.236859321594238, -9.5230073928833, -7.264377117156982, -12.362010955810547, -13.526202201843262]","[-10.398248672485352, -12.462002754211426, -7.880372047424316, -9.250813484191895, -17.746652603149414, -12.53223991394043, -14.304941177368164, -11.376669883728027, -12.521541595458984, -8.21468734741211, -14.181577682495117, -12.074114799499512]","[3.048582695095801e-05, 3.870980382430762e-06, 0.00037809236232218713, 9.603349854442106e-05, 1.9621251396831294e-08, 3.608422311612648e-06, 6.129753110897609e-07, 1.1459747458185674e-05, 3.647233600306438e-06, 0.0002706491169541695, 6.934562517219099e-07, 5.705301090179847e-06]",3.3179073187836064e-71,5.562153065283187e-05,8.322801336490664e-63,3.986527113456985e-09,-162.28420734405518,-13.52368394533793,1.135300285841709
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane was paying attention when Christian was talking.,competitor,Shane was paying attention when Christian was talking.,competitor,B,"[-17.02253532409668, -18.551959991455078, -7.616873741149902, -16.594444274902344, -13.30088996887207, -13.538572311401367, -12.748549461364746, -15.915542602539062, -10.64311695098877, -14.030323028564453, -13.85473346710205]","[4.047686243060012e-08, 8.769728477173823e-09, 0.0004920777915077245, 6.210469326713794e-08, 1.673003625541344e-06, 1.31908491049271e-06, 2.906533391343422e-06, 1.2245250425168024e-07, 2.3864538372258348e-05, 8.066927045923533e-07, 9.615363500172267e-07]","[-12.810388565063477, -11.151957511901855, -8.848156929016113, -13.016798973083496, -12.538677215576172, -13.048420906066895, -9.799446105957031, -9.576993942260742, -7.28841495513916, -12.330199241638184, -13.896406173706055]","[-10.402250289916992, -12.460087776184082, -7.880221366882324, -16.26680564880371, -13.82451057434082, -13.347139358520508, -10.167449951171875, -11.433171272277832, -7.933103561401367, -13.576231956481934, -12.445104598999023]","[3.0364078093052193e-05, 3.878400327055357e-06, 0.00037814933777670335, 8.618190080316455e-08, 9.910403625430652e-07, 1.597390243018931e-06, 3.840012085262094e-05, 1.08302082052158e-05, 0.00035867152466356376, 1.270332403778343e-06, 3.9369486106887635e-06]",1.5772141714315244e-67,4.7622089513672413e-05,4.532501278315958e-57,3.479787593170929e-11,-153.81754112243652,-13.983412829312412,1.185618876753795
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane's hearing improved greatly.,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,C,"[-16.99165153503418, -18.547367095947266, -15.008556365966797, -14.643874168395996, -8.795124053955078, -12.169580459594727, -14.121654510498047, -14.082602500915527]","[4.1746445164539745e-08, 8.810099562822397e-09, 3.032960741966717e-07, 4.367634169635372e-07, 0.00015146983618077915, 5.185830997512251e-06, 7.36280622365851e-07, 7.656026764597001e-07]","[-12.813570022583008, -11.153082847595215, -11.204302787780762, -14.560147285461426, -7.485278129577637, -11.889545440673828, -12.292160987854004, -15.192052841186523]","[-10.403443336486816, -12.45276165008545, -11.954462051391602, -15.121479034423828, -7.668758869171143, -13.421260833740234, -14.259336471557617, -11.734895706176758]","[3.0327873934755133e-05, 3.906918312539589e-06, 6.430475633908524e-06, 2.7091003796057174e-07, 0.000467197317008506, 1.4832709111059097e-06, 6.415771009581407e-07, 8.00939198964217e-06]",2.157270918929623e-50,1.9868520814125567e-05,7.350446397325697e-43,2.934884226506978e-08,-114.36041069030762,-14.295051336288452,1.1787740330832586
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Shane needs to see an eye doctor.,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,"[-17.01482582092285, -18.547021865844727, -12.915719032287598, -9.190888404846191, -11.553714752197266, -8.043303489685059, -10.694183349609375, -11.82150650024414, -14.411829948425293]","[4.079012492748334e-08, 8.813141599468948e-09, 2.4590904005080662e-06, 0.00010196423893340601, 9.60031399514983e-06, 0.00032124596257778983, 2.26764560618682e-05, 7.344884303163806e-06, 5.50835319346329e-07]","[-12.813570022583008, -11.153082847595215, -11.903874397277832, -8.354592323303223, -11.068183898925781, -6.624387264251709, -10.380607604980469, -11.550069808959961, -14.408764839172363]","[-10.403240203857422, -12.456295013427734, -12.107078552246094, -9.037836074829102, -11.893354415893555, -6.501408100128174, -12.376121520996094, -12.347177505493164, -12.485902786254883]","[3.03340351412813e-05, 3.893138110160482e-06, 5.520298890860768e-06, 0.0001188276926804745, 6.835681291353239e-06, 0.0015013236898269102, 4.218117915465269e-06, 4.341991233576023e-06, 3.7795606461897248e-06]",2.550428758538916e-50,5.1765709428639894e-05,5.503200976169381e-44,4.6344459698693317e-07,-114.1929931640625,-12.6881103515625,1.1464191465350235
meta-llama/Llama-2-7b-hf,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Phil's basketball skills could be better.,target,Phil's basketball skills could be better.,target,A,"[-7.767894744873047, -12.398963928222656, -14.269760131835938, -9.51699161529541, -11.807474136352539, -10.140130996704102, -8.506043434143066, -12.002412796020508, -13.806835174560547]","[0.0004231030697561545, 4.122858072360364e-06, 6.349242529664565e-07, 7.359072087132764e-05, 7.448676917191351e-06, 3.946363288108881e-05, 0.00020224242949594808, 6.129405492363832e-06, 1.0087131236002737e-06]","[-7.865325450897217, -11.867875099182129, -14.364830017089844, -8.277762413024902, -9.322698593139648, -10.92835521697998, -8.445592880249023, -9.254924774169922, -13.504125595092773]","[-8.659869194030762, -10.817995071411133, -14.96185302734375, -9.768733978271484, -11.594623565673828, -10.416850090026855, -8.793841361999512, -11.659067153930664, -13.510656356811523]","[0.0001734069880892057, 2.0035696077378595e-05, 3.177969985520881e-07, 5.7212738789055005e-05, 9.21550132040528e-06, 2.9923989045641337e-05, 0.0001516642499810123, 8.640352702519284e-06, 1.3564272230630303e-06]",2.995877370463121e-44,8.419382565144458e-05,3.096443801643841e-44,0.9675219582130536,-100.21650695800781,-11.135167439778645,1.000329566863506
meta-llama/Llama-2-7b-hf,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.
Your answer:
",,Phil is a great basketball player.,competitor,Phil's blocking is impressive.,distractor_associate,B,"[-7.759914398193359, -9.541830062866211, -9.7682523727417, -11.47763729095459, -11.170332908630371, -11.651918411254883, -12.945401191711426]","[0.00042649308770192516, 7.178535566098484e-05, 5.7240299396567746e-05, 1.0359181904950513e-05, 1.4085947220007384e-05, 8.702341668206992e-06, 2.3871719152956235e-06]","[-7.865325450897217, -9.226896286010742, -7.975297451019287, -8.520242691040039, -7.798072338104248, -9.345752716064453, -12.815563201904297]","[-8.659096717834473, -8.500269889831543, -9.383976936340332, -10.27624797821045, -10.69871997833252, -11.372879981994629, -11.558744430541992]","[0.00017354099261076276, 0.00020341346237651197, 8.406023469979606e-05, 3.444151195587885e-05, 2.257381439955447e-05, 1.1503261179221577e-05, 9.552148733172426e-06]",5.312281651177098e-33,8.443619792399118e-05,2.535021123447859e-31,0.02095557154155746,-74.31528663635254,-10.616469519478933,1.0548666322143327
