model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,1,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not want to offend his mom by not reading the books that she gave him. 
2. He does not want to get into trouble for not studying. 
3. He wants his mom to believe that he has been watching TV.
4. He has been reading for some time.
Your answer:
",,1,target,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,1,"[-8.338356971740723, -6.972222328186035]","[0.0002391649751084928, 0.0009375670073323618]","[-13.373932838439941, -2.9205374717712402]","[-8.887226104736328, -6.962380409240723]","[0.00013814231933027206, 0.0009468400231079727]",2.2423318997118838e-07,0.0005883659912204273,1.3079867682686374e-07,1.7143383664958822,-15.310579299926758,-7.655289649963379,0.9659911295857756
meta-llama/Llama-2-7b-hf,0.1,1,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not want to offend his mom by not reading the books that she gave him. 
2. He does not want to get into trouble for not studying. 
3. He wants his mom to believe that he has been watching TV.
4. He has been reading for some time.
Your answer:
",,2,incorrect_literal,He does not want to get into trouble for not studying. ,target,2,"[-8.338356971740723, -5.589166164398193]","[0.0002391649751084928, 0.003738143562704825]","[-13.373932838439941, -3.542041301727295]","[-8.887226104736328, -5.486332893371582]","[0.00013814231933027206, 0.00414300920789108]",8.940330121262721e-07,0.001988654268906659,5.723249009847471e-07,1.5621074857794783,-13.927523136138916,-6.963761568069458,0.968968307568939
meta-llama/Llama-2-7b-hf,0.1,1,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not want to offend his mom by not reading the books that she gave him. 
2. He does not want to get into trouble for not studying. 
3. He wants his mom to believe that he has been watching TV.
4. He has been reading for some time.
Your answer:
",,3,incorrect_lexical_overlap,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,3,"[-8.338356971740723, -6.248767852783203]","[0.0002391649751084928, 0.0019328342059158213]","[-13.373932838439941, -3.5838358402252197]","[-8.887226104736328, -6.01639461517334]","[0.00013814231933027206, 0.002438445299305692]",4.6226624474670084e-07,0.001085999590512157,3.368524892060877e-07,1.372310609418963,-14.587124824523926,-7.293562412261963,0.9787638251580747
meta-llama/Llama-2-7b-hf,0.1,1,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not want to offend his mom by not reading the books that she gave him. 
2. He does not want to get into trouble for not studying. 
3. He wants his mom to believe that he has been watching TV.
4. He has been reading for some time.
Your answer:
",,4,incorrect_social_convention,He has been reading for some time.,incorrect_literal,4,"[-8.338356971740723, -7.338403701782227]","[0.0002391649751084928, 0.0006500874265190455]","[-13.373932838439941, -3.538752555847168]","[-8.887226104736328, -6.808225631713867]","[0.00013814231933027206, 0.0011046512201455538]",1.5547814318177166e-07,0.00044462620081376915,1.5259908160192176e-07,1.0188668342536973,-15.67676067352295,-7.838380336761475,0.9988091414480388
meta-llama/Llama-2-7b-hf,0.1,1,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not like to celebrate his birthday and wants it to be over with. 
2. He likes the gift very much.
3. He does not want to hurt Monica by saying that he dislikes the gift.
4. He wants Monica to understand that he dislikes her gift.
Your answer:
",,1,target,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,1,"[-8.024566650390625, -7.0774335861206055]","[0.0003273218401702163, 0.0008439362612039635]","[-13.373932838439941, -2.9205374717712402]","[-8.914929389953613, -7.085293769836426]","[0.0001343678472920477, 0.0008373287692158278]",2.7623877000365365e-07,0.0005856290506870899,1.125100641952306e-07,2.455236089140581,-15.10200023651123,-7.551000118255615,0.943861850281181
meta-llama/Llama-2-7b-hf,0.1,1,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not like to celebrate his birthday and wants it to be over with. 
2. He likes the gift very much.
3. He does not want to hurt Monica by saying that he dislikes the gift.
4. He wants Monica to understand that he dislikes her gift.
Your answer:
",,2,incorrect_literal,He likes the gift very much.,incorrect_literal,2,"[-8.024566650390625, -6.262210369110107]","[0.0003273218401702163, 0.0019070259034408227]","[-13.373932838439941, -3.542041301727295]","[-8.914929389953613, -5.714571475982666]","[0.0001343678472920477, 0.0032975633040016154]",6.242112279665194e-07,0.0011171738718055194,4.4308648246794936e-07,1.4087796686771452,-14.286777019500732,-7.143388509750366,0.9765731005058721
meta-llama/Llama-2-7b-hf,0.1,1,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not like to celebrate his birthday and wants it to be over with. 
2. He likes the gift very much.
3. He does not want to hurt Monica by saying that he dislikes the gift.
4. He wants Monica to understand that he dislikes her gift.
Your answer:
",,3,incorrect_lexical_overlap,He does not want to hurt Monica by saying that he dislikes the gift.,target,3,"[-8.024566650390625, -6.449912071228027]","[0.0003273218401702163, 0.001580661148219648]","[-13.373932838439941, -3.5838358402252197]","[-8.914929389953613, -5.942370891571045]","[0.0001343678472920477, 0.0026257967857423823]",5.173849157208222e-07,0.0009539914941949322,3.5282266152658214e-07,1.466416339251615,-14.474478721618652,-7.237239360809326,0.9742334372562926
meta-llama/Llama-2-7b-hf,0.1,1,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not like to celebrate his birthday and wants it to be over with. 
2. He likes the gift very much.
3. He does not want to hurt Monica by saying that he dislikes the gift.
4. He wants Monica to understand that he dislikes her gift.
Your answer:
",,4,incorrect_social_convention,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,4,"[-8.024566650390625, -8.179794311523438]","[0.0003273218401702163, 0.00028025958036667]","[-13.373932838439941, -3.538752555847168]","[-8.914929389953613, -7.54019021987915]","[0.0001343678472920477, 0.0005312965490201842]",9.173508157095106e-08,0.0003037907102684432,7.138917356553605e-08,1.284999909499404,-16.204360961914062,-8.102180480957031,0.9847610558984414
gpt-3.5-turbo-instruct,0.1,1,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not want to offend his mom by not reading the books that she gave him. 
2. He does not want to get into trouble for not studying. 
3. He wants his mom to believe that he has been watching TV.
4. He has been reading for some time.
Your answer:
",,1,target,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,1,[-5.0371175],[0.006492435818236941],[],[-2.8833861],[0.05594500636220297],0.006492435818236941,0.006492435818236941,0.05594500636220297,0.11605031870410688,-5.0371175,-5.0371175,1.7469451975231483
gpt-3.5-turbo-instruct,0.1,1,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
1. He does not want to offend his mom by not reading the books that she gave him. 
2. He does not want to get into trouble for not studying. 
3. He wants his mom to believe that he has been watching TV.
4. He has been reading for some time.
Your answer:
",,2,incorrect_literal,He does not want to get into trouble for not studying. ,target,2,[-0.9277429],[0.3954452633348762],[],[-1.4302614],[0.2392463750667522],0.3954452633348762,0.3954452633348762,0.2392463750667522,1.6528788084021875,-0.9277429,-0.9277429,0.6486526868445167
