model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,1,target,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,1,"[-8.532230377197266, -7.466765880584717]","[0.0001970150616254555, 0.000571774496854308]","[-13.373932838439941, -2.9205374717712402]","[-8.844223022460938, -7.363198757171631]","[0.00014421244653321522, 0.0006341666664922151]",1.126481877336153e-07,0.00038439477923988175,9.14547264846559e-08,1.2317371891382256,-15.998996257781982,-7.999498128890991,0.9871401186021759
meta-llama/Llama-2-7b-hf,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,2,incorrect_straightforward,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,2,"[-8.532230377197266, -6.581841945648193]","[0.0001970150616254555, 0.0013852953047445151]","[-13.373932838439941, -3.542041301727295]","[-8.844223022460938, -6.917276859283447]","[0.00014421244653321522, 0.0009905236064143693]",2.729240398336948e-07,0.0007911551831849853,1.4284583262991975e-07,1.910619545624249,-15.114072322845459,-7.5570361614227295,0.9589234803948574
meta-llama/Llama-2-7b-hf,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,3,associative_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,3,"[-8.532230377197266, -6.201084613800049]","[0.0001970150616254555, 0.002027230681087922]","[-13.373932838439941, -3.5838358402252197]","[-8.844223022460938, -6.050724029541016]","[0.00014421244653321522, 0.0023561554626125355]",3.9939497756355106e-07,0.0011121228713566887,3.3978694367595323e-07,1.1754276760688152,-14.733314990997314,-7.366657495498657,0.989148530676857
meta-llama/Llama-2-7b-hf,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,4,funny_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,4,"[-8.532230377197266, -6.148715496063232]","[0.0001970150616254555, 0.0021362239965937026]","[-13.373932838439941, -3.538752555847168]","[-8.844223022460938, -5.934526443481445]","[0.00014421244653321522, 0.0026464757136699735]",4.208683023346852e-07,0.001166619529109579,3.8165473735908364e-07,1.102746176418366,-14.680945873260498,-7.340472936630249,0.9933821469193133
meta-llama/Llama-2-7b-hf,0.1,1,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. The man says, ""My seeing eye dog is 10 years old.""
2. Then the blind man throws a pie in the woman's face.
3. The man says, ""I really enjoy going to the symphony.""
4. The man says, ""Where should I put these blinds, lady?""
5. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,5,neutral_nonsequitur,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,5,"[-8.532230377197266, -7.122678756713867]","[0.0001970150616254555, 0.0008066031609192583]","[-13.373932838439941, -3.7895805835723877]","[-8.844223022460938, -6.395584583282471]","[0.00014421244653321522, 0.0016689099615810894]",1.5891297145579488e-07,0.0005018091112723569,2.406775886032631e-07,0.6602732409694765,-15.654909133911133,-7.827454566955566,1.0272379769421291
meta-llama/Llama-2-7b-hf,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,1,target,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,1,"[-8.811965942382812, -7.041034698486328]","[0.00014894016015511353, 0.0008752205042596966]","[-13.373932838439941, -2.9205374717712402]","[-9.157052040100098, -7.319994926452637]","[0.00010547337146314927, 0.0006621655707321396]",1.3035548207547845e-07,0.0005120803322074051,6.98408352119392e-08,1.86646510855578,-15.85300064086914,-7.92650032043457,0.96212632476254
meta-llama/Llama-2-7b-hf,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,2,incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,2,"[-8.811965942382812, -6.291869163513184]","[0.00014894016015511353, 0.0018512963352737453]","[-13.373932838439941, -3.542041301727295]","[-9.157052040100098, -6.04915714263916]","[0.00010547337146314927, 0.0023598501855962425]",2.757323726702464e-07,0.0010001182477144294,2.489013552227742e-07,1.107797795730994,-15.103835105895996,-7.551917552947998,0.9932676135377996
meta-llama/Llama-2-7b-hf,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,3,associative_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,3,"[-8.811965942382812, -6.930344104766846]","[0.00014894016015511353, 0.000977664391529567]","[-13.373932838439941, -3.5838358402252197]","[-9.157052040100098, -6.618295669555664]","[0.00010547337146314927, 0.0013357054903066913]",1.4561349105236533e-07,0.0005633022758423403,1.408813613444856e-07,1.0335894660778344,-15.742310047149658,-7.871155023574829,0.9979057410895684
meta-llama/Llama-2-7b-hf,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,4,funny_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,4,"[-8.811965942382812, -7.106298923492432]","[0.00014894016015511353, 0.0008199239847786856]","[-13.373932838439941, -3.538752555847168]","[-9.157052040100098, -6.408623695373535]","[0.00010547337146314927, 0.0016472901156330067]",1.221196096079563e-07,0.0004844320724668996,1.7374524227373424e-07,0.7028659202970164,-15.918264865875244,-7.959132432937622,1.0226517072816872
meta-llama/Llama-2-7b-hf,0.1,1,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
1. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
2. ""The birds are always eating my grass seed.""
3. ""Oh well, can I borrow it when you're done then?""
4. ""According to the weather report, it will rain tomorrow.""
5. ""OOPS!"" as the rake he stepped on barely missed his face.
Your answer:
",,5,neutral_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,5,"[-8.811965942382812, -7.445538520812988]","[0.00014894016015511353, 0.0005840414971989265]","[-13.373932838439941, -3.7895805835723877]","[-9.157052040100098, -6.423415184020996]","[0.00010547337146314927, 0.0016231035611376566]",8.698723413004041e-08,0.00036649082867702004,1.7119420482703248e-07,0.5081202031221134,-16.2575044631958,-8.1287522315979,1.0434542321058604
