model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,1,target,"Simon has to get back to work.
",distractor_nonsequitur,1,"[-9.10082721710205, -6.876253604888916]","[0.00011157347481887859, 0.0010320031032635991]","[-13.373932838439941, -2.9205374717712402]","[-10.058263778686523, -6.96239709854126]","[4.283034211243601e-05, 0.0009468242211421287]",1.1514417225498573e-07,0.0005717882890412389,4.055280531185814e-08,2.8393639199435645,-15.977080821990967,-7.988540410995483,0.9386874538677262
meta-llama/Llama-2-7b-hf,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,2,competitor,Lara needs to get a dress of a shorter length.,target,2,"[-9.10082721710205, -5.852886199951172]","[0.00011157347481887859, 0.0028715991767433373]","[-13.373932838439941, -3.542041301727295]","[-10.058263778686523, -5.562968730926514]","[4.283034211243601e-05, 0.003837367359650967]",3.2039429843628523e-07,0.0014915863257811079,1.643557568249462e-07,1.9493950478262483,-14.953713417053223,-7.476856708526611,0.9572684746770759
meta-llama/Llama-2-7b-hf,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,3,distractor_associate,Simon does not like the color of this dress.,distractor_associate,3,"[-9.10082721710205, -5.520546913146973]","[0.00011157347481887859, 0.004003657690179493]","[-13.373932838439941, -3.5838358402252197]","[-10.058263778686523, -6.196470260620117]","[4.283034211243601e-05, 0.0020366066548184575]",4.4670200047865133e-07,0.002057615582499186,8.722855977433842e-08,5.121052114517035,-14.621374130249023,-7.310687065124512,0.8995148179534723
meta-llama/Llama-2-7b-hf,0.1,1,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Simon has to get back to work.

2. Lara needs to get a dress of a shorter length.
3. Simon does not like the color of this dress.
4. The dress is fitting well.
Your answer:
",,4,distractor_nonsequitur,The dress is fitting well.,competitor,4,"[-9.10082721710205, -7.655365943908691]","[0.00011157347481887859, 0.0004734965441394559]","[-13.373932838439941, -3.538752555847168]","[-10.058263778686523, -6.50143575668335]","[4.283034211243601e-05, 0.0015012821689596105]",5.2829654744369615e-08,0.00029253500947916725,6.430042890384008e-08,0.8216065684938936,-16.756193161010742,-8.378096580505371,1.0118657723964846
meta-llama/Llama-2-7b-hf,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane needs to see an eye doctor.
2. Shane was paying attention when Christian was talking.
3. Shane was not paying attention when Christian was talking.
4. Shane's hearing improved greatly.
Your answer:
",,1,target,Shane needs to see an eye doctor.,distractor_nonsequitur,1,"[-8.301170349121094, -7.1191534996032715]","[0.0002482261457902608, 0.0008094516623477116]","[-13.373932838439941, -2.9205374717712402]","[-9.105244636535645, -6.943667411804199]","[0.00011108169498154444, 0.0009647250574273663]",2.0092706634809204e-07,0.0005288389040689862,1.0716329457019964e-07,1.874961638254509,-15.420323848724365,-7.710161924362183,0.9608329712492566
meta-llama/Llama-2-7b-hf,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane needs to see an eye doctor.
2. Shane was paying attention when Christian was talking.
3. Shane was not paying attention when Christian was talking.
4. Shane's hearing improved greatly.
Your answer:
",,2,competitor,Shane was paying attention when Christian was talking.,competitor,2,"[-8.301170349121094, -6.666975975036621]","[0.0002482261457902608, 0.0012722402259243899]","[-13.373932838439941, -3.542041301727295]","[-9.105244636535645, -5.822300910949707]","[0.00011108169498154444, 0.002960784799121933]",3.15803287800542e-07,0.0007602331858573253,3.2888899396205587e-07,0.9602123926256299,-14.968146324157715,-7.484073162078857,1.002719856157411
meta-llama/Llama-2-7b-hf,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane needs to see an eye doctor.
2. Shane was paying attention when Christian was talking.
3. Shane was not paying attention when Christian was talking.
4. Shane's hearing improved greatly.
Your answer:
",,3,distractor_associate,Shane was not paying attention when Christian was talking.,target,3,"[-8.301170349121094, -7.450546741485596]","[0.0002482261457902608, 0.0005811238008311629]","[-13.373932838439941, -3.5838358402252197]","[-9.105244636535645, -6.789303779602051]","[0.00011108169498154444, 0.0011257522730947903]",1.4425012130730673e-07,0.00041467497331071183,1.250504706246958e-07,1.1535352133158565,-15.75171709060669,-7.875858545303345,0.9910138167004487
meta-llama/Llama-2-7b-hf,0.1,1,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Shane needs to see an eye doctor.
2. Shane was paying attention when Christian was talking.
3. Shane was not paying attention when Christian was talking.
4. Shane's hearing improved greatly.
Your answer:
",,4,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,4,"[-8.301170349121094, -7.650822162628174]","[0.0002482261457902608, 0.0004756529041772866]","[-13.373932838439941, -3.538752555847168]","[-9.105244636535645, -7.040389060974121]","[0.00011108169498154444, 0.0008757857619048338]",1.1806948713787211e-07,0.0003619395249837737,9.728376687309226e-08,1.2136607260684618,-15.951992511749268,-7.975996255874634,0.9880065911695765
meta-llama/Llama-2-7b-hf,0.1,1,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Phil's basketball skills could be better.
2. Phil's blocking is impressive.
3. Phil is a great basketball player.
4. Phil is a great student.
Your answer:
",,1,target,Phil's basketball skills could be better.,target,1,"[-8.637704849243164, -6.854593753814697]","[0.00017729335060183153, 0.0010545999758003128]","[-13.373932838439941, -2.9205374717712402]","[-9.03075885772705, -6.981847286224365]","[0.00011967164495345616, 0.0009285862532504383]",1.869735632542479e-07,0.0006159466632010721,1.1112544440764658e-07,1.6825450215376794,-15.492298603057861,-7.746149301528931,0.967506379897435
meta-llama/Llama-2-7b-hf,0.1,1,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Phil's basketball skills could be better.
2. Phil's blocking is impressive.
3. Phil is a great basketball player.
4. Phil is a great student.
Your answer:
",,2,competitor,Phil's blocking is impressive.,distractor_associate,2,"[-8.637704849243164, -5.722455024719238]","[0.00017729335060183153, 0.0032716690065719574]","[-13.373932838439941, -3.542041301727295]","[-9.03075885772705, -5.483455181121826]","[0.00011967164495345616, 0.004154948767308158]",5.80045160235308e-07,0.0017244811785868946,4.972295536811023e-07,1.1665540713360723,-14.360159873962402,-7.180079936981201,0.9893859795319173
