model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,1,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
2. He disliked the talk that his boss gave but does not want to criticize his boss.
3. He liked the talk that his boss gave but does not want to tell him about it.
4. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,1,target,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,1,"[-8.161145210266113, -6.919681072235107]","[0.00028553520963185507, 0.0009881450371701196]","[-13.373932838439941, -2.9205374717712402]","[-9.139810562133789, -6.899062156677246]","[0.00010730765571969818, 0.001008731017221382]",2.8215020033504733e-07,0.0006368401234009873,1.08244560709773e-07,2.6065993384328365,-15.08082628250122,-7.54041314125061,0.9402672212002668
meta-llama/Llama-2-7b-hf,0.1,1,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
2. He disliked the talk that his boss gave but does not want to criticize his boss.
3. He liked the talk that his boss gave but does not want to tell him about it.
4. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,2,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,2,"[-8.161145210266113, -5.728776931762695]","[0.00028553520963185507, 0.003251051060274309]","[-13.373932838439941, -3.542041301727295]","[-9.139810562133789, -5.435742378234863]","[0.00010730765571969818, 0.004357998536692123]",9.282895460192895e-07,0.0017682931349530821,4.676466066023068e-07,1.9850235902785454,-13.889922142028809,-6.944961071014404,0.9529602203672897
meta-llama/Llama-2-7b-hf,0.1,1,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
2. He disliked the talk that his boss gave but does not want to criticize his boss.
3. He liked the talk that his boss gave but does not want to tell him about it.
4. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,3,incorrect_nonliteral,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,3,"[-8.161145210266113, -6.5035505294799805]","[0.00028553520963185507, 0.0014981106529684868]","[-13.373932838439941, -3.5838358402252197]","[-9.139810562133789, -5.877519130706787]","[0.00010730765571969818, 0.002801727379673363]",4.277633393470722e-07,0.0008918229313001709,3.0064679707844135e-07,1.4228102328176975,-14.664695739746094,-7.332347869873047,0.9765181986207176
meta-llama/Llama-2-7b-hf,0.1,1,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
2. He disliked the talk that his boss gave but does not want to criticize his boss.
3. He liked the talk that his boss gave but does not want to tell him about it.
4. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,4,incorrect_associate,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,4,"[-8.161145210266113, -7.639961242675781]","[0.00028553520963185507, 0.00048084708804372873]","[-13.373932838439941, -3.538752555847168]","[-9.139810562133789, -6.689027309417725]","[0.00010730765571969818, 0.0012444926907480291]",1.3729877408543316e-07,0.0003831911488377919,1.335435932044703e-07,1.0281195135674779,-15.801106452941895,-7.900553226470947,0.9982480445605258
meta-llama/Llama-2-7b-hf,0.1,1,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Alex is afraid that Richard will become a better painter than he is. 
2.  Alex is proud of the painting job that he did.
3. Alex thinks that Richard's painting is mediocre.
4. Alex wants Richards to help him paint the walls.
Your answer:
",Why has the speaker responded like this?,1,target,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,1,"[-9.013712882995605, -6.667387962341309]","[0.00012172905021112158, 0.0012717161870588886]","[-13.373932838439941, -2.9205374717712402]","[-9.344512939453125, -6.697397708892822]","[8.744391518242199e-05, 0.0012341192652070272]",1.5480480358878752e-07,0.0006967226186350051,1.0791622035175624e-07,1.4344905991351116,-15.681100845336914,-7.840550422668457,0.9775083024137006
meta-llama/Llama-2-7b-hf,0.1,1,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Alex is afraid that Richard will become a better painter than he is. 
2.  Alex is proud of the painting job that he did.
3. Alex thinks that Richard's painting is mediocre.
4. Alex wants Richards to help him paint the walls.
Your answer:
",Why has the speaker responded like this?,2,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,2,"[-9.013712882995605, -5.6536688804626465]","[0.00012172905021112158, 0.003504635071504311]","[-13.373932838439941, -3.542041301727295]","[-9.344512939453125, -5.435742378234863]","[8.744391518242199e-05, 0.004357998536692123]",4.2661589859080594e-07,0.0018131820608577162,3.8108045440762516e-07,1.1194903691766713,-14.667381763458252,-7.333690881729126,0.9923632202689586
meta-llama/Llama-2-7b-hf,0.1,1,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Alex is afraid that Richard will become a better painter than he is. 
2.  Alex is proud of the painting job that he did.
3. Alex thinks that Richard's painting is mediocre.
4. Alex wants Richards to help him paint the walls.
Your answer:
",Why has the speaker responded like this?,3,incorrect_nonliteral,Alex thinks that Richard's painting is mediocre.,target,3,"[-9.013712882995605, -6.028292655944824]","[0.00012172905021112158, 0.0024096044924958623]","[-13.373932838439941, -3.5838358402252197]","[-9.344512939453125, -5.981203556060791]","[8.744391518242199e-05, 0.0025257845388460933]",2.93318866255973e-07,0.0012656667713534919,2.208644889839306e-07,1.3280490114339474,-15.04200553894043,-7.521002769470215,0.9814879156444964
meta-llama/Llama-2-7b-hf,0.1,1,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Alex is afraid that Richard will become a better painter than he is. 
2.  Alex is proud of the painting job that he did.
3. Alex thinks that Richard's painting is mediocre.
4. Alex wants Richards to help him paint the walls.
Your answer:
",Why has the speaker responded like this?,4,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,4,"[-9.013712882995605, -6.5913920402526855]","[0.00012172905021112158, 0.0013721285753564073]","[-13.373932838439941, -3.538752555847168]","[-9.344512939453125, -6.163824081420898]","[8.744391518242199e-05, 0.0021041912679441244]",1.6702790824567483e-07,0.0007469288127837644,1.8399872276169899e-07,0.9077666721741137,-15.605104923248291,-7.8025524616241455,1.0062397342954321
meta-llama/Llama-2-7b-hf,0.1,1,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. She does not want to discuss the topic that Leslie has raised.
2. The man who Leslie saw makes unbelievable lattes.
3. She thinks that it is the best latte in the town.
4. A coffee break is not a good time to discuss men.
Your answer:
",Why has the speaker responded like this?,1,target,She does not want to discuss the topic that Leslie has raised.,target,1,"[-8.264266967773438, -6.653687000274658]","[0.00025755765300056465, 0.001289259830257434]","[-13.373932838439941, -2.9205374717712402]","[-9.283395767211914, -7.0948052406311035]","[9.295493359949526e-05, 0.0008294022970438068]",3.3205873598901106e-07,0.0007734087416289994,7.70970354489759e-08,4.307023403108321,-14.917953968048096,-7.458976984024048,0.9108420369797846
meta-llama/Llama-2-7b-hf,0.1,1,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. She does not want to discuss the topic that Leslie has raised.
2. The man who Leslie saw makes unbelievable lattes.
3. She thinks that it is the best latte in the town.
4. A coffee break is not a good time to discuss men.
Your answer:
",Why has the speaker responded like this?,2,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,2,"[-8.264266967773438, -5.814286708831787]","[0.00025755765300056465, 0.002984608463248577]","[-13.373932838439941, -3.542041301727295]","[-9.283395767211914, -5.4032745361328125]","[9.295493359949526e-05, 0.0045018154234260695]",7.687087509199255e-07,0.0016210830581245706,4.1846595376175393e-07,1.8369684415415453,-14.078553676605225,-7.039276838302612,0.9585939757494923
