model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,2,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He has been reading for some time.
B. He wants his mom to believe that he has been watching TV.
C. He does not want to offend his mom by not reading the books that she gave him. 
D. He does not want to get into trouble for not studying. 
Your answer:
",,A,target,He has been reading for some time.,incorrect_literal,A,[-6.429070472717285],[0.0016139503483409265],[-6.87332820892334],[-6.849457740783691],[0.0010600303483133732],0.0016139503483409265,0.0016139503483409265,0.0010600303483133732,1.522551076871433,-6.429070472717285,-6.429070472717285,0.9386247373185038
meta-llama/Llama-2-7b-hf,0.1,2,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He has been reading for some time.
B. He wants his mom to believe that he has been watching TV.
C. He does not want to offend his mom by not reading the books that she gave him. 
D. He does not want to get into trouble for not studying. 
Your answer:
",,B,incorrect_literal,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,B,[-6.359653472900391],[0.0017299660881320404],[-8.983907699584961],[-6.720455169677734],[0.0012059891593140107],0.0017299660881320404,0.0017299660881320404,0.0012059891593140107,1.4344789708690893,-6.359653472900391,-6.359653472900391,0.9463129077320153
meta-llama/Llama-2-7b-hf,0.1,2,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He has been reading for some time.
B. He wants his mom to believe that he has been watching TV.
C. He does not want to offend his mom by not reading the books that she gave him. 
D. He does not want to get into trouble for not studying. 
Your answer:
",,C,incorrect_lexical_overlap,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,C,[-6.469173431396484],[0.0015505068036512344],[-8.415637969970703],[-6.330758094787598],[0.0017806833305347078],0.0015505068036512344,0.0015505068036512344,0.0017806833305347078,0.8707369676929837,-6.469173431396484,-6.469173431396484,1.021863943391369
meta-llama/Llama-2-7b-hf,0.1,2,1,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He has been reading for some time.
B. He wants his mom to believe that he has been watching TV.
C. He does not want to offend his mom by not reading the books that she gave him. 
D. He does not want to get into trouble for not studying. 
Your answer:
",,D,incorrect_social_convention,He does not want to get into trouble for not studying. ,target,D,[-6.623030662536621],[0.001329395883944908],[-6.7939066886901855],[-7.0968852043151855],[0.0008276789632436189],0.001329395883944908,0.001329395883944908,0.0008276789632436189,1.6061733389176571,-6.623030662536621,-6.623030662536621,0.9332306317297563
meta-llama/Llama-2-7b-hf,0.1,2,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He does not like to celebrate his birthday and wants it to be over with. 
B. He likes the gift very much.
C. He does not want to hurt Monica by saying that he dislikes the gift.
D. He wants Monica to understand that he dislikes her gift.
Your answer:
",,A,target,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,A,[-6.450316429138184],[0.001580022124586926],[-6.87332820892334],[-6.275946140289307],[0.0018810105117607475],0.001580022124586926,0.001580022124586926,0.0018810105117607475,0.8399858026885363,-6.450316429138184,-6.450316429138184,1.0277839046019663
meta-llama/Llama-2-7b-hf,0.1,2,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He does not like to celebrate his birthday and wants it to be over with. 
B. He likes the gift very much.
C. He does not want to hurt Monica by saying that he dislikes the gift.
D. He wants Monica to understand that he dislikes her gift.
Your answer:
",,B,incorrect_literal,He likes the gift very much.,incorrect_literal,B,[-6.034438133239746],[0.0023948417313660905],[-8.983907699584961],[-6.123659610748291],[0.002190425173714868],0.0023948417313660905,0.0023948417313660905,0.002190425173714868,1.0933227759177642,-6.034438133239746,-6.034438133239746,0.9854300396854289
meta-llama/Llama-2-7b-hf,0.1,2,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He does not like to celebrate his birthday and wants it to be over with. 
B. He likes the gift very much.
C. He does not want to hurt Monica by saying that he dislikes the gift.
D. He wants Monica to understand that he dislikes her gift.
Your answer:
",,C,incorrect_lexical_overlap,He does not want to hurt Monica by saying that he dislikes the gift.,target,C,[-6.052876949310303],[0.002351088305486155],[-8.415637969970703],[-5.525254249572754],[0.003984855415534294],0.002351088305486155,0.002351088305486155,0.003984855415534294,0.590005925013196,-6.052876949310303,-6.052876949310303,1.0954929268238376
meta-llama/Llama-2-7b-hf,0.1,2,2,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. He does not like to celebrate his birthday and wants it to be over with. 
B. He likes the gift very much.
C. He does not want to hurt Monica by saying that he dislikes the gift.
D. He wants Monica to understand that he dislikes her gift.
Your answer:
",,D,incorrect_social_convention,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,D,[-6.76032829284668],[0.0011588486697209541],[-6.7939066886901855],[-6.682055473327637],[0.0012531994054301794],0.0011588486697209541,0.0011588486697209541,0.0012531994054301794,0.9247121126132054,-6.76032829284668,-6.76032829284668,1.0117138835245352
meta-llama/Llama-2-7b-hf,0.1,2,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. Dan thinks that the dog has knocked over the vase.
B. Dan does not want his mom to be angry with him for breaking the vase.
C. Dan finds this vase ugly and wants to get rid of it.
D. Dan wants his mom to know that he knocked it over.
Your answer:
",,A,target,Dan thinks that the dog has knocked over the vase.,incorrect_literal,A,[-6.183283805847168],[0.002063640122441951],[-6.87332820892334],[-6.235860347747803],[0.001957943976794235],0.002063640122441951,0.002063640122441951,0.001957943976794235,1.053983232871031,-6.183283805847168,-6.183283805847168,0.9915686787438042
meta-llama/Llama-2-7b-hf,0.1,2,3,deceits,"You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?","You will read a short story that describes an everyday situation. Your task is to interpret why the character in the story responded in a certain way.

Choose one of the following options and return the label of that option.
A. Dan thinks that the dog has knocked over the vase.
B. Dan does not want his mom to be angry with him for breaking the vase.
C. Dan finds this vase ugly and wants to get rid of it.
D. Dan wants his mom to know that he knocked it over.
Your answer:
",,B,incorrect_literal,Dan does not want his mom to be angry with him for breaking the vase.,target,B,[-6.052270412445068],[0.002352514759771678],[-8.983907699584961],[-6.115701675415039],[0.002207925978376955],0.002352514759771678,0.002352514759771678,0.002207925978376955,1.0654862449243023,-6.052270412445068,-6.052270412445068,0.9896281299617732
