model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,2,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He is unhappy that his shirt is wrinkled.
2. He got this shirt on sale.
3. He got his shoes on sale.

4. He wants his wife to iron his shirt.
Your answer:
",,1,target,He is unhappy that his shirt is wrinkled.,competitor,1,"[-9.501575469970703, -7.424245834350586]","[7.473399592376923e-05, 0.0005966106503196737]","[-13.373932838439941, -2.9205374717712402]","[-9.940841674804688, -7.04692268371582]","[4.816674682932263e-05, 0.0008700823603600086]",4.45870979090678e-08,0.00033567232312172146,4.1909036772119997e-08,1.063901758265401,-16.92582130432129,-8.462910652160645,0.9963536665042007
meta-llama/Llama-2-7b-hf,0.1,2,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He is unhappy that his shirt is wrinkled.
2. He got this shirt on sale.
3. He got his shoes on sale.

4. He wants his wife to iron his shirt.
Your answer:
",,2,competitor,He got this shirt on sale.,distractor_lexical_overlap,2,"[-9.501575469970703, -6.406816482543945]","[7.473399592376923e-05, 0.0016502698111250176]","[-13.373932838439941, -3.542041301727295]","[-9.940841674804688, -5.574880599975586]","[4.816674682932263e-05, 0.0037919283114530894]",1.2333125733773648e-07,0.0008625019035243934,1.826448509727018e-07,0.6752517614425914,-15.908391952514648,-7.954195976257324,1.0253078568164777
meta-llama/Llama-2-7b-hf,0.1,2,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He is unhappy that his shirt is wrinkled.
2. He got this shirt on sale.
3. He got his shoes on sale.

4. He wants his wife to iron his shirt.
Your answer:
",,3,distractor_lexical_overlap,"He got his shoes on sale.
",distractor_associative,3,"[-9.501575469970703, -6.755760192871094]","[7.473399592376923e-05, 0.0011641545158920378]","[-13.373932838439941, -3.5838358402252197]","[-9.940841674804688, -6.233200550079346]","[4.816674682932263e-05, 0.001963158643523613]",8.70019188453131e-08,0.0006194442559079035,9.455896536839829e-08,0.9200811208789857,-16.257335662841797,-8.128667831420898,1.0051498219677957
meta-llama/Llama-2-7b-hf,0.1,2,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He is unhappy that his shirt is wrinkled.
2. He got this shirt on sale.
3. He got his shoes on sale.

4. He wants his wife to iron his shirt.
Your answer:
",,4,distractor_associative,He wants his wife to iron his shirt.,target,4,"[-9.501575469970703, -8.171880722045898]","[7.473399592376923e-05, 0.00028248623844145373]","[-13.373932838439941, -3.538752555847168]","[-9.940841674804688, -7.0575270652771]","[4.816674682932263e-05, 0.0008609044241964973]",2.1111325392204505e-08,0.0001786101171826115,4.1466965444516454e-08,0.5091118958403609,-17.6734561920166,-8.8367280960083,1.0397148374798444
meta-llama/Llama-2-7b-hf,0.1,2,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,1,target,He wants Cindy to create a sculpture.,distractor_associative,1,"[-8.96750259399414, -6.958566665649414]","[0.00012748617966896553, 0.0009504579226636312]","[-13.373932838439941, -2.9205374717712402]","[-8.973224639892578, -7.09917688369751]","[0.0001267587809865017, 0.000825784360168944]",1.2117024949648743e-07,0.0005389720511662984,1.0467541885273361e-07,1.1575807465070684,-15.926069259643555,-7.963034629821777,0.9908954325380837
meta-llama/Llama-2-7b-hf,0.1,2,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,2,competitor,He has some doubts whether Cindy should be painting.,competitor,2,"[-8.96750259399414, -6.335536479949951]","[0.00012748617966896553, 0.0017721948365275887]","[-13.373932838439941, -3.542041301727295]","[-8.973224639892578, -5.78272819519043]","[0.0001267587809865017, 0.0030803002739993096]",2.2593034933796917e-07,0.0009498405080982771,3.9045510780453964e-07,0.5786333558506528,-15.303039073944092,-7.651519536972046,1.0370756294070254
meta-llama/Llama-2-7b-hf,0.1,2,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,3,distractor_lexical_overlap,He does not want Cindy to start painting.,target,3,"[-8.96750259399414, -6.609165191650391]","[0.00012748617966896553, 0.001347956965573463]","[-13.373932838439941, -3.5838358402252197]","[-8.973224639892578, -6.258868217468262]","[0.0001267587809865017, 0.0019134101357887183]",1.7184588389913208e-07,0.0007377215726212142,2.425415363397946e-07,0.7085214619007786,-15.576667785644531,-7.788333892822266,1.0226216404738615
meta-llama/Llama-2-7b-hf,0.1,2,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. He wants Cindy to create a sculpture.
2. He has some doubts whether Cindy should be painting.
3. He does not want Cindy to start painting.
4. He wants Cindy to paint a picture for the meeting.
Your answer:
",,4,distractor_associative,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,4,"[-8.96750259399414, -7.6864471435546875]","[0.00012748617966896553, 0.00045900606083622465]","[-13.373932838439941, -3.538752555847168]","[-8.973224639892578, -6.739049911499023]","[0.0001267587809865017, 0.001183771310017835]",5.851692914091106e-08,0.0002932461202525951,1.5005340822465495e-07,0.3899740088095931,-16.653949737548828,-8.326974868774414,1.0599324549146085
meta-llama/Llama-2-7b-hf,0.1,2,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Cindy's brother creates a lot of mess.
2. Cindy might help her clean up the house.
3. Cindy forgot to invite her brother to the movies.
4. Cindy forgot to purchase a new toy for her brother.
Your answer:
",,1,target,Cindy's brother creates a lot of mess.,competitor,1,"[-8.433111190795898, -7.048114776611328]","[0.00021754361674191614, 0.0008690457593448278]","[-13.373932838439941, -2.9205374717712402]","[-8.722832679748535, -7.236915111541748]","[0.00016282530509904739, 0.0007195280035533739]",1.890553576020987e-07,0.000543294688043372,1.1715736670588657e-07,1.6136873243037786,-15.481225967407227,-7.740612983703613,0.9700169557726845
meta-llama/Llama-2-7b-hf,0.1,2,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
1. Cindy's brother creates a lot of mess.
2. Cindy might help her clean up the house.
3. Cindy forgot to invite her brother to the movies.
4. Cindy forgot to purchase a new toy for her brother.
Your answer:
",,2,competitor,Cindy might help her clean up the house.,target,2,"[-8.433111190795898, -6.690548896789551]","[0.00021754361674191614, 0.0012426005262972898]","[-13.373932838439941, -3.542041301727295]","[-8.722832679748535, -6.0340352058410645]","[0.00016282530509904739, 0.0023958068731431393]",2.703198126561209e-07,0.000730072071519603,3.9009798507792637e-07,0.6929536244646881,-15.12366008758545,-7.561830043792725,1.0248556946392418
