model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,A,target,"Simon has to get back to work.
",distractor_nonsequitur,A,[-6.301243305206299],[0.0018340231084384127],[-6.87332820892334],[-6.216197967529297],[0.0019968227881305375],0.0018340231084384127,0.0018340231084384127,0.0019968227881305375,0.918470642132174,-6.301243305206299,-6.301243305206299,1.0136812466593312
meta-llama/Llama-2-7b-hf,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,B,competitor,Lara needs to get a dress of a shorter length.,target,B,[-6.163614749908447],[0.002104631787590443],[-8.983907699584961],[-6.737014293670654],[0.001186183470286496],0.002104631787590443,0.002104631787590443,0.001186183470286496,1.7742885820876564,-6.163614749908447,-6.163614749908447,0.914888180614236
meta-llama/Llama-2-7b-hf,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,C,distractor_associate,Simon does not like the color of this dress.,distractor_associate,C,[-5.783851623535156],[0.0030768417204435285],[-8.415637969970703],[-6.022128105163574],[0.0024245045004951346],0.0030768417204435285,0.0030768417204435285,0.0024245045004951346,1.2690600161043928,-5.783851623535156,-5.783851623535156,0.960433176201597
meta-llama/Llama-2-7b-hf,0.1,3,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon has to get back to work.

B. Lara needs to get a dress of a shorter length.
C. Simon does not like the color of this dress.
D. The dress is fitting well.
Your answer:
",,D,distractor_nonsequitur,The dress is fitting well.,competitor,D,[-6.1809539794921875],[0.002068453650751614],[-6.7939066886901855],[-6.490721702575684],[0.001517453462713963],0.002068453650751614,0.002068453650751614,0.001517453462713963,1.3631084587280773,-6.1809539794921875,-6.1809539794921875,0.952275303536651
meta-llama/Llama-2-7b-hf,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,A,target,Shane was not paying attention when Christian was talking.,target,A,[-5.872848987579346],[0.002814842448327492],[-6.87332820892334],[-6.114775657653809],[0.002209971503998771],0.002814842448327492,0.002814842448327492,0.002209971503998771,1.273700789007575,-5.872848987579346,-5.872848987579346,0.960435724281782
meta-llama/Llama-2-7b-hf,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,B,competitor,Shane was paying attention when Christian was talking.,competitor,B,[-5.995382308959961],[0.0024902247564114973],[-8.983907699584961],[-6.124090671539307],[0.0021894811707827686],0.0024902247564114973,0.0024902247564114973,0.0021894811707827686,1.1373583795293425,-5.995382308959961,-5.995382308959961,0.9789832696015596
meta-llama/Llama-2-7b-hf,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,C,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,C,[-5.317767143249512],[0.004903690749283325],[-8.415637969970703],[-4.942105770111084],[0.007139548284479261],0.004903690749283325,0.004903690749283325,0.007139548284479261,0.6868348744056413,-5.317767143249512,-5.317767143249512,1.0760124106226856
meta-llama/Llama-2-7b-hf,0.1,3,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,D,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,[-5.980020523071289],[0.0025287743934795464],[-6.7939066886901855],[-5.712648391723633],[0.0033039108976071286],0.0025287743934795464,0.0025287743934795464,0.0033039108976071286,0.7653881935227194,-5.980020523071289,-5.980020523071289,1.046803533670131
meta-llama/Llama-2-7b-hf,0.1,3,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil is a great basketball player.
B. Phil is a great student.
C. Phil's blocking is impressive.
D. Phil's basketball skills could be better.
Your answer:
",,A,target,Phil is a great basketball player.,competitor,A,[-6.104889869689941],[0.0022319271593622203],[-6.87332820892334],[-6.609550476074219],[0.0013474377187859096],0.0022319271593622203,0.0022319271593622203,0.0013474377187859096,1.656423245575512,-6.104889869689941,-6.104889869689941,0.9236467580948071
meta-llama/Llama-2-7b-hf,0.1,3,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil is a great basketball player.
B. Phil is a great student.
C. Phil's blocking is impressive.
D. Phil's basketball skills could be better.
Your answer:
",,B,competitor,Phil is a great student.,distractor_nonsequitur,B,[-6.327584743499756],[0.001786343039647987],[-8.983907699584961],[-6.285480499267578],[0.0018631615069214479],0.001786343039647987,0.001786343039647987,0.0018631615069214479,0.9587698291382211,-6.327584743499756,-6.327584743499756,1.0066986516364316
meta-llama/Llama-2-7b-hf,0.1,3,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil is a great basketball player.
B. Phil is a great student.
C. Phil's blocking is impressive.
D. Phil's basketball skills could be better.
Your answer:
",,C,distractor_associate,Phil's blocking is impressive.,distractor_associate,C,[-6.351455211639404],[0.0017442070980921303],[-8.415637969970703],[-5.826677322387695],[0.0029478554992657304],0.0017442070980921303,0.0017442070980921303,0.0029478554992657304,0.5916867697641855,-6.351455211639404,-6.351455211639404,1.0900646904257711
meta-llama/Llama-2-7b-hf,0.1,3,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil is a great basketball player.
B. Phil is a great student.
C. Phil's blocking is impressive.
D. Phil's basketball skills could be better.
Your answer:
",,D,distractor_nonsequitur,Phil's basketball skills could be better.,target,D,[-6.739943981170654],[0.0011827134089804883],[-6.7939066886901855],[-6.416495323181152],[0.001634374162431787],0.0011827134089804883,0.0011827134089804883,0.001634374162431787,0.72364911056886,-6.739943981170654,-6.739943981170654,1.0504089291269276
meta-llama/Llama-2-7b-hf,0.1,3,4,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Patrick is allergic to noodles.
B. Patrick is careless.
C. Patrick is very cautious.
D. Patrick pays a lot of attention to fashion.
Your answer:
",,A,target,Patrick is allergic to noodles.,distractor_associate,A,[-6.38191556930542],[0.0016918789391807177],[-6.87332820892334],[-6.101785659790039],[0.0022388662944398826],0.0016918789391807177,0.0016918789391807177,0.0022388662944398826,0.7556855643333495,-6.38191556930542,-6.38191556930542,1.045909496848013
meta-llama/Llama-2-7b-hf,0.1,3,4,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Patrick is allergic to noodles.
B. Patrick is careless.
C. Patrick is very cautious.
D. Patrick pays a lot of attention to fashion.
Your answer:
",,B,competitor,Patrick is careless.,target,B,[-6.041414737701416],[0.002378192014634663],[-8.983907699584961],[-5.886380195617676],[0.0027770107610063707],0.002378192014634663,0.002378192014634663,0.0027770107610063707,0.8563855956297489,-6.041414737701416,-6.041414737701416,1.0263378403928378
meta-llama/Llama-2-7b-hf,0.1,3,4,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Patrick and Jon like to eat at restaurants. One afternoon, they are at a restaurant eating lunch. Patrick orders a bowl of noodles and Jon orders a rice dish. While eating his meal, Patrick spills some noodles on his shirt. Jon says, ""You are so graceful."" What did Jon want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Patrick is allergic to noodles.
B. Patrick is careless.
C. Patrick is very cautious.
D. Patrick pays a lot of attention to fashion.
Your answer:
",,C,distractor_associate,Patrick is very cautious.,competitor,C,[-5.461061000823975],[0.004249045111980775],[-8.415637969970703],[-5.50100564956665],[0.004082663644384839],0.004249045111980775,0.004249045111980775,0.004082663644384839,1.0407531656017688,-5.461061000823975,-5.461061000823975,0.9927386642938965
