model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,4,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
D. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,A,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,[-6.013189315795898],[0.0024462737861249933],[-6.87332820892334],[-6.7830023765563965],[0.0011328684894233907],0.0024462737861249933,0.0024462737861249933,0.0011328684894233907,2.1593625464594766,-6.013189315795898,-6.013189315795898,0.8865085078812375
meta-llama/Llama-2-7b-hf,0.1,4,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
D. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,B,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,[-6.275074481964111],[0.0018826508250256026],[-8.983907699584961],[-6.058698654174805],[0.002337440727891237],0.0018826508250256026,0.0018826508250256026,0.002337440727891237,0.8054325410527389,-6.275074481964111,-6.275074481964111,1.0357132513333058
meta-llama/Llama-2-7b-hf,0.1,4,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
D. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,C,incorrect_nonliteral,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,C,[-6.394731044769287],[0.0016703350486051464],[-8.415637969970703],[-5.6060638427734375],[0.003675508300672913],0.0016703350486051464,0.0016703350486051464,0.003675508300672913,0.4544500819925617,-6.394731044769287,-6.394731044769287,1.1406810953486537
meta-llama/Llama-2-7b-hf,0.1,4,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
D. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
Your answer:
",Why has the speaker responded like this?,D,incorrect_associate,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,D,[-6.493832588195801],[0.0015127401736103707],[-6.7939066886901855],[-6.189224720001221],[0.0020514165591517318],0.0015127401736103707,0.0015127401736103707,0.0020514165591517318,0.7374124805914086,-6.493832588195801,-6.493832588195801,1.0492158359043262
meta-llama/Llama-2-7b-hf,0.1,4,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex wants Richards to help him paint the walls.
B. Alex thinks that Richard's painting is mediocre.
C.  Alex is proud of the painting job that he did.
D. Alex is afraid that Richard will become a better painter than he is. 
Your answer:
",Why has the speaker responded like this?,A,target,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,A,[-6.613494396209717],[0.0013421339976365059],[-6.87332820892334],[-6.383780479431152],[0.0016887266772717042],0.0013421339976365059,0.0013421339976365059,0.0016887266772717042,0.7947609377527267,-6.613494396209717,-6.613494396209717,1.035983993735172
meta-llama/Llama-2-7b-hf,0.1,4,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex wants Richards to help him paint the walls.
B. Alex thinks that Richard's painting is mediocre.
C.  Alex is proud of the painting job that he did.
D. Alex is afraid that Richard will become a better painter than he is. 
Your answer:
",Why has the speaker responded like this?,B,incorrect_literal,Alex thinks that Richard's painting is mediocre.,target,B,[-6.443860054016113],[0.0015902563425486487],[-8.983907699584961],[-6.629657745361328],[0.001320614995290107],0.0015902563425486487,0.0015902563425486487,0.001320614995290107,1.2041786199764513,-6.443860054016113,-6.443860054016113,0.9719747687615978
meta-llama/Llama-2-7b-hf,0.1,4,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex wants Richards to help him paint the walls.
B. Alex thinks that Richard's painting is mediocre.
C.  Alex is proud of the painting job that he did.
D. Alex is afraid that Richard will become a better painter than he is. 
Your answer:
",Why has the speaker responded like this?,C,incorrect_nonliteral, Alex is proud of the painting job that he did.,incorrect_literal,C,[-6.339005470275879],[0.0017660577606668194],[-8.415637969970703],[-5.701960563659668],[0.0033394119056158723],0.0017660577606668194,0.0017660577606668194,0.0033394119056158723,0.5288529269770073,-6.339005470275879,-6.339005470275879,1.1117238359514958
meta-llama/Llama-2-7b-hf,0.1,4,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex wants Richards to help him paint the walls.
B. Alex thinks that Richard's painting is mediocre.
C.  Alex is proud of the painting job that he did.
D. Alex is afraid that Richard will become a better painter than he is. 
Your answer:
",Why has the speaker responded like this?,D,incorrect_associate,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,D,[-6.470766067504883],[0.0015480393759082316],[-6.7939066886901855],[-6.580990314483643],[0.0013864755679012502],0.0015480393759082316,0.0015480393759082316,0.0013864755679012502,1.1165284205127,-6.470766067504883,-6.470766067504883,0.9832511154535245
meta-llama/Llama-2-7b-hf,0.1,4,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She thinks that it is the best latte in the town.
B. The man who Leslie saw makes unbelievable lattes.
C. A coffee break is not a good time to discuss men.
D. She does not want to discuss the topic that Leslie has raised.
Your answer:
",Why has the speaker responded like this?,A,target,She thinks that it is the best latte in the town.,incorrect_literal,A,[-6.051133632659912],[0.0023551905716111166],[-6.87332820892334],[-6.494655132293701],[0.0015114963897125892],0.0023551905716111166,0.0023551905716111166,0.0015114963897125892,1.5581847152535744,-6.051133632659912,-6.051133632659912,0.9317097689408566
meta-llama/Llama-2-7b-hf,0.1,4,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She thinks that it is the best latte in the town.
B. The man who Leslie saw makes unbelievable lattes.
C. A coffee break is not a good time to discuss men.
D. She does not want to discuss the topic that Leslie has raised.
Your answer:
",Why has the speaker responded like this?,B,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,[-6.073922634124756],[0.002302125081549898],[-8.983907699584961],[-6.084856986999512],[0.002277089954436438],0.002302125081549898,0.002302125081549898,0.002277089954436438,1.010994351393402,-6.073922634124756,-6.073922634124756,0.9982030222077335
