model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,A,target,Simon does not like the color of this dress.,distractor_associate,A,"tensor([ -4.0679, -12.4588])","[tensor(0.0171), tensor(3.8833e-06)]",tensor([-8.3492]),"tensor([-3.9975, -1.6554])","[tensor(0.0184), tensor(0.1910)]",6.645362e-08,0.008558339439332485,0.0035072155,1.8947687e-05,-16.526762,-8.263381004333496,2.9235728
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,B,competitor,Lara needs to get a dress of a shorter length.,target,B,"tensor([-4.0679, -0.0057])","[tensor(0.0171), tensor(0.9943)]",tensor([-9.4039]),"tensor([-3.9975, -3.4757])","[tensor(0.0184), tensor(0.0309)]",0.017015398,0.5057106614112854,0.0005680817,29.95238,-4.0736365,-2.036818265914917,0.54509604
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,C,distractor_associate,The dress is fitting well.,competitor,C,"tensor([ -4.0679, -12.1620])","[tensor(0.0171), tensor(5.2255e-06)]",tensor([-9.2242]),"tensor([-3.9975, -0.9367])","[tensor(0.0184), tensor(0.3919)]",8.9423125e-08,0.008559009991586208,0.0071963393,1.2426196e-05,-16.229887,-8.114943504333496,3.2892756
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,D,distractor_nonsequitur,"Simon has to get back to work.
",distractor_nonsequitur,D,"tensor([ -4.0679, -12.9979])","[tensor(0.0171), tensor(2.2651e-06)]",tensor([-9.2867]),"tensor([-3.9975, -5.4054])","[tensor(0.0184), tensor(0.0045)]",3.8762053e-08,0.008557530120015144,8.248182e-05,0.00046994662,-17.065825,-8.532912254333496,1.8149469
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,A,target,Shane was not paying attention when Christian was talking.,target,A,"tensor([-6.4082e+00, -5.2169e-03])","[tensor(0.0016), tensor(0.9948)]",tensor([-8.3492]),"tensor([-5.9983, -1.2537])","[tensor(0.0025), tensor(0.2854)]",0.0016394597,0.49822235107421875,0.00070874405,2.3131902,-6.4133887,-3.2066943645477295,0.8843594
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,B,competitor,Shane was paying attention when Christian was talking.,competitor,B,"tensor([ -6.4082, -10.6615])","[tensor(0.0016), tensor(2.3431e-05)]",tensor([-9.4039]),"tensor([-5.9983, -1.3319])","[tensor(0.0025), tensor(0.2640)]",3.8614488e-08,0.000835732847917825,0.0006554812,5.891014e-05,-17.069637,-8.534818649291992,2.3286915
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,C,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,C,"tensor([ -6.4082, -11.5521])","[tensor(0.0016), tensor(9.6159e-06)]",tensor([-9.2242]),"tensor([-5.9983, -7.0975])","[tensor(0.0025), tensor(0.0008)]",1.5847355e-08,0.0008288254612125456,2.0539085e-06,0.0077157067,-17.960262,-8.980131149291992,1.3714557
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,D,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,"tensor([ -6.4082, -13.1146])","[tensor(0.0016), tensor(2.0156e-06)]",tensor([-9.2867]),"tensor([-5.9983, -9.9178])","[tensor(0.0025), tensor(4.9290e-05)]",3.3217864e-09,0.000825025315862149,1.223869e-07,0.027141685,-19.522762,-9.761381149291992,1.2266062
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil's basketball skills could be better.
B. Phil's blocking is impressive.
C. Phil is a great basketball player.
D. Phil is a great student.
Your answer:
",,A,target,Phil's basketball skills could be better.,target,A,"tensor([-10.0393,  -9.5826])","[tensor(4.3649e-05), tensor(6.8917e-05)]",tensor([-8.3492]),"tensor([-5.2331, -1.7658])","[tensor(0.0053), tensor(0.1710)]",3.008164e-09,5.628306098515168e-05,0.00091289333,3.2951975e-06,-19.621937,-9.810968399047852,2.803578
mistralai/Mistral-7B-Instruct-v0.2,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil's basketball skills could be better.
B. Phil's blocking is impressive.
C. Phil is a great basketball player.
D. Phil is a great student.
Your answer:
",,B,competitor,Phil's blocking is impressive.,distractor_associate,B,"tensor([-10.0393,  -9.6373])","[tensor(4.3649e-05), tensor(6.5249e-05)]",tensor([-9.4039]),"tensor([-5.2331, -6.7267])","[tensor(0.0053), tensor(0.0012)]",2.8480724e-09,5.4449206800200045e-05,6.3960565e-06,0.0004452857,-19.676624,-9.838312149047852,1.6452261
