model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,A,target,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,A,[2.8272321224212646],[16.89862271444361],[4.54543924331665],[2.8490476608276367],[17.271325845805542],16.89862271444361,16.89862271444361,17.271325845805542,0.9784206994477819,2.8272321224212646,2.8272321224212646,0.9923428664580378
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,B,incorrect_straightforward,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,B,[4.889732360839844],[132.91799522973926],[5.72122049331665],[5.798266410827637],[329.72745221208896],132.91799522973926,132.91799522973926,329.72745221208896,0.40311473715037555,4.889732360839844,4.889732360839844,0.8433093642797779
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,C,associative_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,C,[5.858482360839844],[350.19227501923297],[5.25051736831665],[6.524828910827637],[681.8631042763708],350.19227501923297,350.19227501923297,681.8631042763708,0.5135814987245505,5.858482360839844,5.858482360839844,0.8978752456049808
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,D,funny_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,D,[5.549888610839844],[257.2089040262458],[5.55325174331665],[6.056078910827637],[426.69902739550076],257.2089040262458,257.2089040262458,426.69902739550076,0.6027876501059911,5.549888610839844,5.549888610839844,0.9164161650729521
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""My seeing eye dog is 10 years old.""
B. The man says, ""Can you spare a little change for a blind man?""
C. The man says, ""Where should I put these blinds, lady?""
D. The man says, ""I really enjoy going to the symphony.""
E. Then the blind man throws a pie in the woman's face.
Your answer:
",,E,neutral_nonsequitur,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,E,[5.577232360839844],[264.3389974951428],[5.74661111831665],[6.235766410827637],[510.6918682775216],264.3389974951428,264.3389974951428,510.6918682775216,0.5176095683424803,5.577232360839844,5.577232360839844,0.8943940477237361
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,A,target,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,A,[2.684011936187744],[14.643725294751938],[4.54543924331665],[3.0701394081115723],[21.5449060003131],14.643725294751938,14.643725294751938,21.5449060003131,0.679683879546243,2.684011936187744,2.684011936187744,0.874231290310907
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,B,incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,B,[5.121511936187744],[167.58856137858206],[5.72122049331665],[5.972483158111572],[392.4790492581463],167.58856137858206,167.58856137858206,392.4790492581463,0.42700001871527565,5.121511936187744,5.121511936187744,0.8575180206631349
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,C,associative_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,C,[5.664480686187744],[288.4381522994247],[5.25051736831665],[6.507639408111572],[670.2423799680524],288.4381522994247,288.4381522994247,670.2423799680524,0.43034902136921466,5.664480686187744,5.664480686187744,0.8704355498135228
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,D,funny_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,D,[5.469168186187744],[237.26275222123553],[5.55325174331665],[6.222483158111572],[503.9530747648999],237.26275222123553,237.26275222123553,503.9530747648999,0.47080326344257634,5.469168186187744,5.469168186187744,0.8789365992992985
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
B. ""The birds are always eating my grass seed.""
C. ""Oh well, can I borrow it when you're done then?""
D. ""OOPS!"" as the rake he stepped on barely missed his face.
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,E,neutral_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,E,[5.305105686187744],[201.36228250116375],[5.74661111831665],[6.050608158111572],[424.3710362705469],201.36228250116375,201.36228250116375,424.3710362705469,0.47449581920286943,5.305105686187744,5.305105686187744,0.876788836354509
