model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,A,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,"tensor([-0.7427, -3.2668])","[tensor(0.4758), tensor(0.0381)]",tensor([-4.5454]),"tensor([-0.6896, -3.3013])","[tensor(0.5018), tensor(0.0368)]",0.018142637,0.256972998380661,0.018482182,0.9816285,-4.0094905,-2.0047452449798584,1.0046462
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,B,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,"tensor([-0.7427, -5.7043])","[tensor(0.4758), tensor(0.0033)]",tensor([-5.7212]),"tensor([-0.6896, -5.8794])","[tensor(0.5018), tensor(0.0028)]",0.0015852859,0.2395741194486618,0.0014030973,1.1298474,-6.4469905,-3.2234952449798584,0.9814155
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,C,incorrect_nonliteral,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,C,"tensor([-0.7427, -6.5402])","[tensor(0.4758), tensor(0.0014)]",tensor([-5.2505]),"tensor([-0.6896, -6.9732])","[tensor(0.5018), tensor(0.0009)]",0.0006871706,0.23863035440444946,0.00046997872,1.4621313,-7.282928,-3.6414639949798584,0.9504236
meta-llama/Llama-2-7b-hf,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,D,incorrect_associate,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,D,"tensor([-0.7427, -6.2121])","[tensor(0.4758), tensor(0.0020)]",tensor([-5.5533]),"tensor([-0.6896, -6.9029])","[tensor(0.5018), tensor(0.0010)]",0.00095404196,0.23891079425811768,0.0005042136,1.8921384,-6.954803,-3.4774014949798584,0.9160083
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,A,target,Alex thinks that Richard's painting is mediocre.,target,A,"tensor([-0.7191, -3.6223])","[tensor(0.4872), tensor(0.0267)]",tensor([-4.5454]),"tensor([-0.6608, -3.3229])","[tensor(0.5164), tensor(0.0360)]",0.0130177885,0.2569500207901001,0.018615648,0.6992928,-4.3414383,-2.1707191467285156,1.089786
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,B,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,B,"tensor([-0.7191, -5.4504])","[tensor(0.4872), tensor(0.0043)]",tensor([-5.7212]),"tensor([-0.6608, -5.6393])","[tensor(0.5164), tensor(0.0036)]",0.002092149,0.24573685228824615,0.0018360127,1.1395069,-6.1695633,-3.0847816467285156,0.97927105
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,C,incorrect_nonliteral,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,C,"tensor([-0.7191, -6.1770])","[tensor(0.4872), tensor(0.0021)]",tensor([-5.2505]),"tensor([-0.6608, -6.6159])","[tensor(0.5164), tensor(0.0013)]",0.0010116972,0.2446279674768448,0.00069144875,1.4631557,-6.896126,-3.4480628967285156,0.9476968
meta-llama/Llama-2-7b-hf,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,D,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,D,"tensor([-0.7191, -6.3176])","[tensor(0.4872), tensor(0.0018)]",tensor([-5.5533]),"tensor([-0.6608, -6.5417])","[tensor(0.5164), tensor(0.0014)]",0.00087897765,0.24449175596237183,0.0007447196,1.18028,-7.036751,-3.5183753967285156,0.9769869
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She does not want to discuss the topic that Leslie has raised.
B. The man who Leslie saw makes unbelievable lattes.
C. She thinks that it is the best latte in the town.
D. A coffee break is not a good time to discuss men.
Your answer:
",Why has Bob responded like this?,A,target,She does not want to discuss the topic that Leslie has raised.,target,A,"tensor([-0.6237, -3.2282])","[tensor(0.5359), tensor(0.0396)]",tensor([-4.5454]),"tensor([-0.4847, -2.8345])","[tensor(0.6159), tensor(0.0587)]",0.021238055,0.28778454661369324,0.03617834,0.58703786,-3.8519607,-1.9259803295135498,1.1604756
meta-llama/Llama-2-7b-hf,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She does not want to discuss the topic that Leslie has raised.
B. The man who Leslie saw makes unbelievable lattes.
C. She thinks that it is the best latte in the town.
D. A coffee break is not a good time to discuss men.
Your answer:
",Why has Bob responded like this?,B,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,"tensor([-0.6237, -5.4587])","[tensor(0.5359), tensor(0.0043)]",tensor([-5.7212]),"tensor([-0.4847, -5.6236])","[tensor(0.6159), tensor(0.0036)]",0.0022826244,0.27010032534599304,0.0022242013,1.0262669,-6.0824294,-3.04121470451355,0.9957553
