model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,A,target,All houses in this town have chimneys.,distractor_plausibleliteral,A,"tensor([-0.6315, -3.3324])","[tensor(0.5318), tensor(0.0357)]",tensor([-4.5454]),"tensor([-0.5316, -2.9861])","[tensor(0.5877), tensor(0.0505)]",0.01899036,0.28376305103302,0.029668514,0.6400846,-3.9638238,-1.9819118976593018,1.1268325
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,B,competitor,The people living in this town are very welcoming.,competitor,B,"tensor([-0.6315, -5.9847])","[tensor(0.5318), tensor(0.0025)]",tensor([-5.7212]),"tensor([-0.5316, -5.9705])","[tensor(0.5877), tensor(0.0026)]",0.0013385515,0.2671672999858856,0.0015003694,0.89214796,-6.616167,-3.3080835342407227,1.0175519
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,C,distractor_plausibleliteral,The town is not one of the cleanest ones.,target,C,"tensor([-0.6315, -6.5824])","[tensor(0.5318), tensor(0.0014)]",tensor([-5.2505]),"tensor([-0.5316, -6.7634])","[tensor(0.5877), tensor(0.0012)]",0.0007363364,0.2666011154651642,0.00067891635,1.084576,-7.2138233,-3.6069116592407227,0.9888706
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,D,distractor_literal,Mary found a job at a company installing chimneys.,distractor_nonsequitut,D,"tensor([-0.6315, -6.2308])","[tensor(0.5318), tensor(0.0020)]",tensor([-5.5533]),"tensor([-0.5316, -6.5291])","[tensor(0.5877), tensor(0.0015)]",0.001046545,0.26689276099205017,0.0008582306,1.2194217,-6.862261,-3.4311304092407227,0.97190386
meta-llama/Llama-2-7b-hf,0.1,0,1,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary was asked about the town that she has just moved to. Mary responded: ""This town is a chimney."" What does Mary mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. All houses in this town have chimneys.
B. The people living in this town are very welcoming.
C. The town is not one of the cleanest ones.
D. Mary found a job at a company installing chimneys.
E. The town is a chimney.
Your answer:
",,E,distractor_nonsequitut,The town is a chimney.,distractor_literal,E,"tensor([-0.6315, -5.9457])","[tensor(0.5318), tensor(0.0026)]",tensor([-5.7466]),"tensor([-0.5316, -6.5955])","[tensor(0.5877), tensor(0.0014)]",0.0013918735,0.2672174274921417,0.00080308993,1.7331477,-6.5771046,-3.2885522842407227,0.9228377
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,A,target,Mike and his wife are very much in love with each other.,target,A,"tensor([-0.5965, -3.3429])","[tensor(0.5508), tensor(0.0353)]",tensor([-4.5454]),"tensor([-0.4967, -3.2690])","[tensor(0.6086), tensor(0.0380)]",0.019461203,0.29304829239845276,0.023151422,0.8406051,-3.9393325,-1.9696662425994873,1.0461092
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,B,competitor,The baby in his wife's womb is the size of an egg.,distractor_plausibleliteral,B,"tensor([-0.5965, -5.5616])","[tensor(0.5508), tensor(0.0038)]",tensor([-5.7212]),"tensor([-0.4967, -5.8276])","[tensor(0.6086), tensor(0.0029)]",0.0021163083,0.2773020267486572,0.0017922332,1.1808219,-6.158082,-3.079041004180908,0.9737187
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,C,distractor_plausibleliteral,Mike is worried that the bird flu virus affected their baby.,competitor,C,"tensor([-0.5965, -6.3702])","[tensor(0.5508), tensor(0.0017)]",tensor([-5.2505]),"tensor([-0.4967, -6.7026])","[tensor(0.6086), tensor(0.0012)]",0.0009427815,0.2762366533279419,0.00074711395,1.2618979,-6.9666758,-3.483337879180908,0.9676889
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,D,distractor_literal,Their baby is an egg.,distractor_literal,D,"tensor([-0.5965, -5.8585])","[tensor(0.5508), tensor(0.0029)]",tensor([-5.5533]),"tensor([-0.4967, -6.1909])","[tensor(0.6086), tensor(0.0020)]",0.0015727065,0.2768085300922394,0.0012463025,1.2618979,-6.454957,-3.227478504180908,0.9652166
meta-llama/Llama-2-7b-hf,0.1,0,2,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mike said to his expectant wife: ""Our baby is a lovebird's egg."" What did Mike mean?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Mike and his wife are very much in love with each other.
B. The baby in his wife's womb is the size of an egg.
C. Mike is worried that the bird flu virus affected their baby.
D. Their baby is an egg.
E. Their baby is growing bigger every day.
Your answer:
",,E,distractor_nonsequitut,Their baby is growing bigger every day.,distractor_nonsequitut,E,"tensor([-0.5965, -6.1515])","[tensor(0.5508), tensor(0.0021)]",tensor([-5.7466]),"tensor([-0.4967, -6.4448])","[tensor(0.6086), tensor(0.0016)]",0.0011733107,0.2764459252357483,0.00096683734,1.2135555,-6.7479258,-3.373962879180908,0.9721163
