model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
microsoft/phi-2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,A,target,Simon does not like the color of this dress.,distractor_associate,A,"tensor([-1.5872, -2.5528])","[tensor(0.2045), tensor(0.0779)]",tensor([-6.1659]),"tensor([-1.6280, -2.1096])","[tensor(0.1963), tensor(0.1213)]",0.015923856,0.14118437469005585,0.023811458,0.6687476,-4.139937,-2.0699684619903564,1.1076492
microsoft/phi-2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,B,competitor,Lara needs to get a dress of a shorter length.,target,B,"tensor([-1.5872, -6.4278])","[tensor(0.2045), tensor(0.0016)]",tensor([-7.4080]),"tensor([-1.6280, -7.1174])","[tensor(0.1963), tensor(0.0008)]",0.00033048913,0.10305922478437424,0.00015919178,2.0760438,-8.014936,-4.007468223571777,0.9164744
microsoft/phi-2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,C,distractor_associate,The dress is fitting well.,competitor,C,"tensor([-1.5872, -5.7949])","[tensor(0.2045), tensor(0.0030)]",tensor([-7.0955]),"tensor([-1.6280, -7.7111])","[tensor(0.1963), tensor(0.0004)]",0.0006222777,0.10377264022827148,8.791405e-05,7.0782504,-7.382124,-3.6910619735717773,0.79044914
microsoft/phi-2,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Simon does not like the color of this dress.
B. Lara needs to get a dress of a shorter length.
C. The dress is fitting well.
D. Simon has to get back to work.

Your answer:
",,D,distractor_nonsequitur,"Simon has to get back to work.
",distractor_nonsequitur,D,"tensor([-1.5872, -5.3106])","[tensor(0.2045), tensor(0.0049)]",tensor([-7.2284]),"tensor([-1.6280, -7.1096])","[tensor(0.1963), tensor(0.0008)]",0.0010100562,0.10472074151039124,0.00016044032,6.295526,-6.897749,-3.4488744735717773,0.7894339
microsoft/phi-2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,A,target,Shane was not paying attention when Christian was talking.,target,A,"tensor([-1.0646, -2.0830])","[tensor(0.3449), tensor(0.1246)]",tensor([-6.1659]),"tensor([-1.5122, -1.7742])","[tensor(0.2204), tensor(0.1696)]",0.042955462,0.23471325635910034,0.03738964,1.14886,-3.1475916,-1.5737957954406738,0.9577739
microsoft/phi-2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,B,competitor,Shane was paying attention when Christian was talking.,competitor,B,"tensor([-1.0646, -5.8486])","[tensor(0.3449), tensor(0.0029)]",tensor([-7.4080]),"tensor([-1.5122, -5.8914])","[tensor(0.2204), tensor(0.0028)]",0.0009945536,0.17387770116329193,0.0006090872,1.6328591,-6.9132166,-3.456608295440674,0.9337706
microsoft/phi-2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,C,distractor_associate,Shane needs to see an eye doctor.,distractor_nonsequitur,C,"tensor([-1.0646, -6.3955])","[tensor(0.3449), tensor(0.0017)]",tensor([-7.0955]),"tensor([-1.5122, -7.1570])","[tensor(0.2204), tensor(0.0008)]",0.00057560345,0.1732703000307083,0.00017180094,3.350409,-7.4600916,-3.730045795440674,0.8605308
microsoft/phi-2,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Shane was not paying attention when Christian was talking.
B. Shane was paying attention when Christian was talking.
C. Shane needs to see an eye doctor.
D. Shane's hearing improved greatly.
Your answer:
",,D,distractor_nonsequitur,Shane's hearing improved greatly.,distractor_associate,D,"tensor([-1.0646, -6.6143])","[tensor(0.3449), tensor(0.0013)]",tensor([-7.2284]),"tensor([-1.5122, -7.4851])","[tensor(0.2204), tensor(0.0006)]",0.0004625104,0.1731063276529312,0.00012374358,3.7376516,-7.6788416,-3.839420795440674,0.8534607
microsoft/phi-2,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil's basketball skills could be better.
B. Phil's blocking is impressive.
C. Phil is a great basketball player.
D. Phil is a great student.
Your answer:
",,A,target,Phil's basketball skills could be better.,target,A,"tensor([-1.6185, -3.1386])","[tensor(0.1982), tensor(0.0433)]",tensor([-6.1659]),"tensor([-1.5485, -2.0361])","[tensor(0.2126), tensor(0.1305)]",0.008590916,0.1207730621099472,0.027749453,0.30958867,-4.75705,-2.3785250186920166,1.3271023
microsoft/phi-2,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Phil's basketball skills could be better.
B. Phil's blocking is impressive.
C. Phil is a great basketball player.
D. Phil is a great student.
Your answer:
",,B,competitor,Phil's blocking is impressive.,distractor_associate,B,"tensor([-1.6185, -7.1698])","[tensor(0.1982), tensor(0.0008)]",tensor([-7.4080]),"tensor([-1.5485, -5.9267])","[tensor(0.2126), tensor(0.0027)]",0.00015250705,0.09948564320802689,0.00056699285,0.26897526,-8.7883,-4.3941497802734375,1.1756665
