model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
microsoft/phi-2,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,A,target,He liked the talk that his boss gave but does not want to tell him about it.,incorrect_nonliteral,A,"tensor([-1.6461, -2.8471])","[tensor(0.1928), tensor(0.0580)]",tensor([-6.1659]),"tensor([-1.6894, -2.4580])","[tensor(0.1846), tensor(0.0856)]",0.011184746,0.12540625035762787,0.015805194,0.7076627,-4.493204,-2.2466020584106445,1.0833741
microsoft/phi-2,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,B,incorrect_literal,He disliked the talk that his boss gave but does not want to criticize his boss.,target,B,"tensor([-1.6461, -5.6440])","[tensor(0.1928), tensor(0.0035)]",tensor([-7.4080]),"tensor([-1.6894, -6.6767])","[tensor(0.1846), tensor(0.0013)]",0.0006822739,0.09816962480545044,0.00023260551,2.93318,-7.290079,-3.6450395584106445,0.8713762
microsoft/phi-2,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,C,incorrect_nonliteral,He is excited about the upcoming trip to Japan and does not want to talk about anything else.,incorrect_literal,C,"tensor([-1.6461, -6.1205])","[tensor(0.1928), tensor(0.0022)]",tensor([-7.0955]),"tensor([-1.6894, -7.7236])","[tensor(0.1846), tensor(0.0004)]",0.00042363352,0.09749887883663177,8.165221e-05,5.1882677,-7.7666416,-3.8833208084106445,0.8250937
microsoft/phi-2,0.1,0,1,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He liked the talk that his boss gave but does not want to tell him about it.
B. He disliked the talk that his boss gave but does not want to criticize his boss.
C. He is excited about the upcoming trip to Japan and does not want to talk about anything else.
D. He wants to avoid going to Japan next week and wants to discuss it with his boss. 
Your answer:
",Why has Bob responded like this?,D,incorrect_associate,He wants to avoid going to Japan next week and wants to discuss it with his boss. ,incorrect_associate,D,"tensor([-1.6461, -6.1674])","[tensor(0.1928), tensor(0.0021)]",tensor([-7.2284]),"tensor([-1.6894, -7.0830])","[tensor(0.1846), tensor(0.0008)]",0.00040423393,0.09744856506586075,0.00015494868,2.6088247,-7.8135166,-3.9067583084106445,0.8906914
microsoft/phi-2,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,A,target,Alex thinks that Richard's painting is mediocre.,target,A,"tensor([-1.3582, -2.6879])","[tensor(0.2571), tensor(0.0680)]",tensor([-6.1659]),"tensor([-1.7604, -2.5091])","[tensor(0.1720), tensor(0.0813)]",0.01748998,0.16257070004940033,0.013987947,1.2503608,-4.0461273,-2.0230636596679688,0.9476686
microsoft/phi-2,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,B,incorrect_literal, Alex is proud of the painting job that he did.,incorrect_literal,B,"tensor([-1.3582, -6.2270])","[tensor(0.2571), tensor(0.0020)]",tensor([-7.4080]),"tensor([-1.7604, -6.9388])","[tensor(0.1720), tensor(0.0010)]",0.0005079184,0.1295468658208847,0.00016671138,3.046693,-7.58519,-3.7925949096679688,0.87193644
microsoft/phi-2,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,C,incorrect_nonliteral,Alex is afraid that Richard will become a better painter than he is. ,incorrect_associate,C,"tensor([-1.3582, -6.8988])","[tensor(0.2571), tensor(0.0010)]",tensor([-7.0955]),"tensor([-1.7604, -6.9388])","[tensor(0.1720), tensor(0.0010)]",0.00025941935,0.12906363606452942,0.00016671138,1.5560986,-8.257065,-4.128532409667969,0.9491701
microsoft/phi-2,0.1,0,2,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds:""Have you noticed that I painted the walls?"" ","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Alex thinks that Richard's painting is mediocre.
B.  Alex is proud of the painting job that he did.
C. Alex is afraid that Richard will become a better painter than he is. 
D. Alex wants Richards to help him paint the walls.
Your answer:
",Why has Bob responded like this?,D,incorrect_associate,Alex wants Richards to help him paint the walls.,incorrect_nonliteral,D,"tensor([-1.3582, -6.2270])","[tensor(0.2571), tensor(0.0020)]",tensor([-7.2284]),"tensor([-1.7604, -7.1966])","[tensor(0.1720), tensor(0.0007)]",0.0005079184,0.1295468658208847,0.00012882457,3.942714,-7.58519,-3.7925949096679688,0.8468393
microsoft/phi-2,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She does not want to discuss the topic that Leslie has raised.
B. The man who Leslie saw makes unbelievable lattes.
C. She thinks that it is the best latte in the town.
D. A coffee break is not a good time to discuss men.
Your answer:
",Why has Bob responded like this?,A,target,She does not want to discuss the topic that Leslie has raised.,target,A,"tensor([-1.1922, -2.4892])","[tensor(0.3035), tensor(0.0830)]",tensor([-6.1659]),"tensor([-1.5718, -2.2543])","[tensor(0.2077), tensor(0.1049)]",0.025188323,0.19326436519622803,0.021793775,1.1557577,-3.6813748,-1.8406873941421509,0.9621665
microsoft/phi-2,0.1,0,3,maxims,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds: ""The latte is unbelievable here.""","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. She does not want to discuss the topic that Leslie has raised.
B. The man who Leslie saw makes unbelievable lattes.
C. She thinks that it is the best latte in the town.
D. A coffee break is not a good time to discuss men.
Your answer:
",Why has Bob responded like this?,B,incorrect_literal,The man who Leslie saw makes unbelievable lattes.,incorrect_nonliteral,B,"tensor([-1.1922, -5.6454])","[tensor(0.3035), tensor(0.0035)]",tensor([-7.4080]),"tensor([-1.5718, -6.1137])","[tensor(0.2077), tensor(0.0022)]",0.0010726482,0.15354155004024506,0.0004594383,2.3346949,-6.8376245,-3.4188122749328613,0.8896779
