model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"The man says, ""Where should I put these blinds, lady?""",target,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,A,"[-4.8105807, -0.7045867, -2.2911487, -0.14139874, -0.00017019878, -11.541634, -5.7414994, -3.051303e-06, -0.018613992, -1.6002485, -0.5154809, -0.00021753216, -7.7173285, -0.17847517, -9.966347e-06]","[0.008143129609067691, 0.4943128315367412, 0.10115020385471733, 0.8681430793024616, 0.9998298157029907, 9.716996396033115e-06, 0.00320995166367101, 0.9999969487016552, 0.9815581784344032, 0.20184635294319953, 0.5972133256616424, 0.9997824914984048, 0.00044504796281469403, 0.8365448280275976, 0.9999900337026638]",[],"[-11.2108, -4.0977645, -3.8218741, -2.5929193, -0.00010283744, -10.413946, -6.821154, -0.006635623, -0.03679325, -2.2850366, -6.522261, -0.14491124, -12.8756895, -11.838941, -0.00023452642]","[1.3527309364096111e-05, 0.016609765059140243, 0.021886744486529244, 0.07480135344357212, 0.9998971678475883, 3.001101731158767e-05, 0.001090461802986765, 0.99338634413091, 0.9638753959878956, 0.10177033724377603, 0.001470340900463657, 0.8650990758970475, 2.5595233710260357e-06, 7.217939742537384e-06, 0.9997655010791711]",4.854788013827512e-16,0.5394783957065618,2.7556669459453187e-32,1.7617470140834088e+16,-35.261396050589994,-2.3507597367059994,0.4852325647738432
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,B,"[-4.8105807, -0.7045867, -2.2911487, -0.14139874, -0.00017019878, -12.761127, -2.516202, -2.6611736, -8.03856, -4.8612447, -0.007144382, -2.752696, -0.052060857, -5.467443, -0.004916972, -0.0003850729]","[0.008143129609067691, 0.4943128315367412, 0.10115020385471733, 0.8681430793024616, 0.9998298157029907, 2.870205293255216e-06, 0.0807657733783626, 0.06986617866391236, 0.00032277340933756893, 0.007740842865174621, 0.9928810784279916, 0.0637557438113949, 0.9492710952939595, 0.004222014057408868, 0.9950950965185329, 0.9996150012310535]",[],"[-11.22793, -4.1282864, -3.8303888, -2.6007361, -0.0001033124, -7.748072, -5.296175, -3.7849524, -4.9088707, -3.3408368, -0.006037707, -7.2332516, -0.375307, -7.414925, -0.052529573, -0.001007482]","[1.3297559976247606e-05, 0.016110462070315787, 0.021701176571950847, 0.07421892555079088, 0.9998966929365423, 0.0004315738132833083, 0.005010723315274718, 0.022709943744326333, 0.007380818785346136, 0.035407316479002755, 0.993980483325212, 0.0007221688371074839, 0.6870783133672329, 0.0006021975562271594, 0.9488262610018767, 0.9989930253395973]",3.6090635353235656e-21,0.41469484549177504,1.246559848965331e-27,2895218.820274982,-47.07083862268,-2.9419274139175,0.7598270704775764
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,"The man says, ""Where should I put these blinds, lady?""",target,C,"[-4.8214774, -0.70622677, -2.310224, -0.14280334, -0.00016817037, -13.873158, -8.506882, -0.31890482, -0.00017329915, -1.2201266, -15.095518, -5.6051455, -4.799487e-05, -3.6633928]","[0.00805487806717791, 0.49350278833647165, 0.09923901952937667, 0.8669245415127009, 0.999831843769844, 9.439826973946313e-07, 0.0002020729069875773, 0.726944736613693, 0.9998267158654303, 0.2951927931506914, 2.780352312973703e-07, 0.003678885227510396, 0.9999520062817353, 0.025645355394486063]",[],"[-11.269295, -4.097637, -3.7611103, -2.5625107, -8.352281e-05, -7.466526, -14.151957, -0.17193732, -0.00018474413, -0.5537985, -12.171233, -0.25619173, -0.0005526991, -0.7672794]","[1.2758727636848819e-05, 0.016611882939197277, 0.02325790278435146, 0.07711089487732731, 0.9999164806779328, 0.0005719116709069777, 7.143041392272648e-07, 0.8420319500770851, 0.999815272934146, 0.574762423550271, 5.177268279321486e-06, 0.7739935567805439, 0.9994474536100121, 0.4642744567535426]",3.6706862381588402e-25,0.3942140613338596,1.3970046499729753e-25,2.627540458243893,-56.26424869438999,-4.018874906742142,0.9831199858517728
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,D,"[-13.760364, -0.18776302, -1.1202779, -0.00021777152, -11.629511, -0.048440736, -3.662413, -0.0013373031, -21.988415, -0.34882855, -0.0012160913, -7.698572e-06, -0.018123701]","[1.0566954704645523e-06, 0.828811095615141, 0.3261891340659816, 0.9997822521904963, 8.89953971481579e-06, 0.9527137992633965, 0.025670495027596656, 0.9986635906913229, 2.8219719960497024e-10, 0.7055140802902834, 0.9987846478393743, 0.999992301457634, 0.9820395455706105]",[],"[-21.175009, -1.9553233, -7.7463117, -0.003271347, -8.687917, -4.4895544, -6.8860974, -0.026341043, -4.3730116, -5.50311, -0.00093863, -1.7834122e-05, -0.026866235]","[6.365176299772931e-10, 0.14151871629638568, 0.00043233418170875724, 0.9967339980255309, 0.00016861087714090445, 0.011225644842618045, 0.0010218941132047468, 0.9740028561029598, 0.012613197406057408, 0.004074081322648872, 0.9990618103753445, 0.999982166037027, 0.9734914518994106]",1.2123266534366636e-23,0.6013977614253246,3.654751207192066e-27,3317.1249825459126,-52.766915771492,-4.058993520884,0.8668251730479961
text-davinci-002,0.1,0,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,E,"[-4.8105807, -0.7045867, -2.2911487, -0.14139874, -0.00017019878, -8.798396, -6.6785083, -8.177268, -8.346024, -2.0664005, -0.114295535, -5.813097, -2.0935424e-05, -0.008526051]","[0.008143129609067691, 0.4943128315367412, 0.10115020385471733, 0.8681430793024616, 0.9998298157029907, 0.00015097504495587908, 0.0012576526144180524, 0.0002809684984710513, 0.00023733830201098685, 0.12664080586472798, 0.891994301388901, 0.002988161391352632, 0.9999790647951444, 0.9915101926944874]",[],"[-11.22793, -4.1282864, -3.8303888, -2.6007361, -0.0001033124, -0.1191567, -12.39704, -7.513715, -3.5383785, -0.049578797, -0.07767025, -4.8667994, -8.5358415e-06, -0.005172593]","[1.3297559976247606e-05, 0.016110462070315787, 0.021701176571950847, 0.07421892555079088, 0.9998966929365423, 0.8876686921790128, 4.1307977906387485e-06, 0.000545550598939579, 0.02906041035450768, 0.951630169579592, 0.9252694838567523, 0.007697964005164402, 0.9999914641949302, 0.9948407618228953]",1.4976026446587573e-21,0.391901322900032,1.3524363337634052e-22,11.073368906700399,-47.95042136020399,-3.4250300971574275,0.9522481436090737
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,A,"[-2.976862, -8.249891, -0.61013746, -1.4956254, -1.5037262, -0.20003806, -1.3185924e-05, -2.8630598, -1.8480784, -6.033934, -0.000100094694, -8.928705, -0.017007178, -0.0006366736, -0.17951383, -0.005914064, -0.035907798, -0.0687292]","[0.050952472118990164, 0.0002612870360364763, 0.5432761851971772, 0.22410840349863176, 0.2223002796562404, 0.818699592778504, 0.9999868141629339, 0.05709379712542091, 0.15753960374123266, 0.0023960493550628493, 0.9998999103153068, 0.0001325295392034916, 0.9831366276548689, 0.9993635290336303, 0.8356763934587164, 0.9941033896522088, 0.964729239347893, 0.9335794591679112]",[],"[-8.515081, -14.439421, -3.8458736, -4.8739495, -4.933554, -1.7975425, -0.00030284992, -2.1247618, -0.62795407, -8.835433, -0.002791146, -6.820932, -1.5968337, -0.57018846, -0.5591472, -5.043665, -0.058273286, -0.6401578]","[0.00020042288473277891, 5.358449447010278e-07, 0.021367726559181822, 0.007643119099667529, 0.007200865873373792, 0.16570560979382998, 0.9996971959344079, 0.11946142058829773, 0.533682561980152, 0.00014548566478804787, 0.9972127456264555, 0.0010907039123801763, 0.20253679606087927, 0.565418869817661, 0.5716963987085141, 0.006450065456057371, 0.9433920963524138, 0.5272092238632013]",6.193387209183249e-16,0.5437353090466649,4.4331295746908337e-29,13970688437671.428,-35.017879344217995,-1.945437741345444,0.5363776829884261
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,"""The birds are always eating my grass seed.""",associative_nonsequitur,B,"[-2.976862, -5.790134, -7.9161797, -0.0026777647, -6.8917236, -4.1320116e-05, -0.00023106657, -0.0008352442, -6.7504425, -4.501652e-05, -0.025640665, -0.30449462, -0.6588192, -0.00057309505]","[0.050952472118990164, 0.0030575724342650043, 0.00036479328765569747, 0.9973258173139175, 0.0010161608758384464, 0.9999586807376643, 0.9997689601238239, 0.9991651045193415, 0.0011703616211748416, 0.9999549844932283, 0.9746852652195825, 0.737495995952389, 0.517461993009303, 0.9994270691376016]",[],"[-8.544222, -10.699255, -7.877377, -0.25126022, -9.498968, -6.8624463, -1.2480475, -6.330257, -4.9650965, -0.0037638652, -0.015504752, -0.10193011, -5.252134, -0.0012216971]","[0.00019466664015387774, 2.2561740150013588e-05, 0.0003792264643750597, 0.7778199409168234, 7.492911684935757e-05, 0.0010463511104684012, 0.28706474394651416, 0.0017815758452685664, 0.006977277369345928, 0.9962432092620648, 0.984614827850954, 0.9030926666097688, 0.005236332134906659, 0.9987790488680888]",2.5030037477722446e-14,0.5915575164889124,1.6791934125364223e-27,14905988369686.709,-31.318699792156,-2.237049985154,0.5079958792306016
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"""The birds are always eating my grass seed.""",associative_nonsequitur,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,C,"[-2.976862, -6.7207446, -14.272795, -0.4520578, -9.219815, -4.485301, -0.009304664, -0.8232707, -0.087827116, -3.6385071]","[0.050952472118990164, 0.0012056401599909116, 6.33000262569869e-07, 0.6363173895170352, 9.905701148454304e-05, 0.011273493688394212, 0.9907384904365144, 0.43899348788145875, 0.915919210813058, 0.026291565359519205]",[],"[-8.514565, -8.758283, -15.175708, -2.2651098, -6.263856, -6.6837225, -0.15240057, -2.3886478, -0.041969776, -0.22803155]","[0.00020052632962778893, 0.00015715421084677153, 2.566101063296833e-07, 0.10381863462887099, 0.0019038902234998266, 0.0012511120289350815, 0.8586442647113575, 0.09175366934372599, 0.958898761890696, 0.7960991425112838]",2.893977307301874e-19,0.30717914399867086,1.2027108490458608e-22,2406.212024775311,-42.68648498,-4.268648498,0.8457409323099713
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,D,"[-2.976862, -8.207591, -7.52185, -3.127644, -13.028236, -1.8537618, -15.408713, -0.7205707, -12.813536, -4.838501e-06, -15.3486805, -0.80079657, -0.012320794, -0.9371908, -0.012278315]","[0.050952472118990164, 0.0002725765679572607, 0.0005411305477513158, 0.04382091781139692, 2.1973993730371103e-06, 0.15664678269016297, 2.0327359636099002e-07, 0.48647454569965554, 2.723654536108284e-06, 0.9999951615107056, 2.1585034858614337e-07, 0.4489711846613836, 0.9877547962200711, 0.3917267298581545, 0.987796755947257]",[],"[-8.50143, -12.404371, -7.515809, -0.15224662, -15.521363, -0.15142818, -14.083645, -8.994644, -2.13332, -4.9586424e-06, -14.715697, -0.69944435, -0.0013200544, -0.07531621, -0.017051922]","[0.0002031776171800645, 4.100625643171886e-06, 0.0005444094112259293, 0.8587764631716251, 1.8161750177682257e-07, 0.8594796078817719, 7.648049522560441e-07, 0.0001240725602740792, 0.11844340824871877, 0.999995041369894, 4.0649386513144265e-07, 0.49686130808925394, 0.9986808164885606, 0.9274501709378148, 0.9830926391737187]",1.1309149894884237e-36,0.303663892920756,1.2567853430048794e-37,8.998473731277697,-82.77003631750101,-5.518002421166734,0.9741422832763305
text-davinci-002,0.1,0,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.
Your answer:
",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,E,"[-2.976862, -13.281039, -0.0018751478, -5.136953, -5.802763, -0.955309, -0.010612777, -0.0062153996, -4.9280314, -0.1175646, -5.817245, -0.16642246]","[0.050952472118990164, 1.7065461931904916e-06, 0.9981266091912583, 0.005875565313538999, 0.003019201157410508, 0.3846932559695438, 0.9894433398239347, 0.9938038760401493, 0.007240743387673981, 0.8890830751246122, 0.0029757921694029245, 0.84668846661387]",[],"[-8.544222, -13.603832, -0.0001887991, -5.3562126, -4.636252, -0.9115697, -0.037330095, -0.032359447, -5.841946, -2.0590546, -0.16596293, -0.055225078]","[0.00019466664015387774, 1.235750599041502e-06, 0.9998112187214285, 0.00471874407781646, 0.00969396259634465, 0.4018928774012091, 0.9633580831717601, 0.9681585178528574, 0.0029031875222631227, 0.12757452185389143, 0.8470776347753073, 0.9462721389420732]",9.446448865871031e-18,0.4309920086213815,1.2243087815620913e-18,7.7157405126330465,-39.200892784400004,-3.266741065366667,0.9504593450306008
