model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
text-davinci-002,0.1,3,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""Where should I put these blinds, lady?""
B. The man says, ""My seeing eye dog is 10 years old.""
C. Then the blind man throws a pie in the woman's face.
D. The man says, ""I really enjoy going to the symphony.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,A,target,"The man says, ""Where should I put these blinds, lady?""",target,A,[-7.6784587],[0.0004626874897102728],[],[-11.10474],[1.5040860905855065e-05],0.0004626874897102728,0.0004626874897102728,1.5040860905855065e-05,30.762035006264774,-7.6784587,-7.6784587,0.6914577648823836
text-davinci-002,0.1,3,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""Where should I put these blinds, lady?""
B. The man says, ""My seeing eye dog is 10 years old.""
C. Then the blind man throws a pie in the woman's face.
D. The man says, ""I really enjoy going to the symphony.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,B,incorrect_straightforward,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,B,[-8.586126],[0.00018667787874530686],[],[-9.187667],[0.00010229323665976635],0.00018667787874530686,0.00018667787874530686,0.00010229323665976635,1.8249288500490903,-8.586126,-8.586126,0.934527339747947
text-davinci-002,0.1,3,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""Where should I put these blinds, lady?""
B. The man says, ""My seeing eye dog is 10 years old.""
C. Then the blind man throws a pie in the woman's face.
D. The man says, ""I really enjoy going to the symphony.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,C,associative_nonsequitur,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,C,[-4.2209234],[0.01468507804116623],[],[-5.4856353],[0.004145900351957131],0.01468507804116623,0.01468507804116623,0.004145900351957131,3.5420721181187895,-4.2209234,-4.2209234,0.7694502403395282
text-davinci-002,0.1,3,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""Where should I put these blinds, lady?""
B. The man says, ""My seeing eye dog is 10 years old.""
C. Then the blind man throws a pie in the woman's face.
D. The man says, ""I really enjoy going to the symphony.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,D,funny_nonsequitur,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,D,[-10.126726],[3.999620433411341e-05],[],[-10.935767],[1.7809705436838696e-05],3.999620433411341e-05,3.999620433411341e-05,1.7809705436838696e-05,2.2457532762660293,-10.126726,-10.126726,0.9260188151411785
text-davinci-002,0.1,3,1,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. ","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. The man says, ""Where should I put these blinds, lady?""
B. The man says, ""My seeing eye dog is 10 years old.""
C. Then the blind man throws a pie in the woman's face.
D. The man says, ""I really enjoy going to the symphony.""
E. The man says, ""Can you spare a little change for a blind man?""
Your answer:
",,E,neutral_nonsequitur,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,E,[-7.1446958],[0.0007890382178119903],[],[-9.049678],[0.00011742884291944539],0.0007890382178119903,0.0007890382178119903,0.00011742884291944539,6.719288023243658,-7.1446958,-7.1446958,0.7894972395702919
text-davinci-002,0.1,3,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Oh well, can I borrow it when you're done then?""
B. ""OOPS!"" as the rake he stepped on barely missed his face.
C. ""The birds are always eating my grass seed.""
D. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,A,target,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,A,[-8.094156],[0.0003053182141989248],[],[-11.852746],[7.118980720653135e-06],0.0003053182141989248,0.0003053182141989248,7.118980720653135e-06,42.88791137095723,-8.094156,-8.094156,0.6828928924993415
text-davinci-002,0.1,3,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Oh well, can I borrow it when you're done then?""
B. ""OOPS!"" as the rake he stepped on barely missed his face.
C. ""The birds are always eating my grass seed.""
D. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,B,incorrect_straightforward,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,B,[-6.7961364],[0.0011180866531085875],[],[-7.4202766],[0.0005989834437782552],0.0011180866531085875,0.0011180866531085875,0.0005989834437782552,1.866640329916206,-6.7961364,-6.7961364,0.9158872056063246
text-davinci-002,0.1,3,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Oh well, can I borrow it when you're done then?""
B. ""OOPS!"" as the rake he stepped on barely missed his face.
C. ""The birds are always eating my grass seed.""
D. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,C,associative_nonsequitur,"""The birds are always eating my grass seed.""",associative_nonsequitur,C,[-11.268812],[1.2764891590772446e-05],[],[-10.974694],[1.7129747259476375e-05],1.2764891590772446e-05,1.2764891590772446e-05,1.7129747259476375e-05,0.7451885540057084,-11.268812,-11.268812,1.0267996538217832
text-davinci-002,0.1,3,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Oh well, can I borrow it when you're done then?""
B. ""OOPS!"" as the rake he stepped on barely missed his face.
C. ""The birds are always eating my grass seed.""
D. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,D,funny_nonsequitur,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,D,[-10.828167],[1.9832927430089454e-05],[],[-10.612363],[2.460986940889031e-05],1.9832927430089454e-05,1.9832927430089454e-05,2.460986940889031e-05,0.8058932414702215,-10.828167,-10.828167,1.0203351506163143
text-davinci-002,0.1,3,2,humour,"You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:","You will read a joke that is missing its punch line. A punch line is a funny line that finishes the joke. Your task is to decide which punch line will make the joke funny.

Choose one of the following options and return the label of that option.
A. ""Oh well, can I borrow it when you're done then?""
B. ""OOPS!"" as the rake he stepped on barely missed his face.
C. ""The birds are always eating my grass seed.""
D. ""Fine, then you won't need your golf clubs. I'll just borrow them.""
E. ""According to the weather report, it will rain tomorrow.""
Your answer:
",,E,neutral_nonsequitur,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,E,[-10.291966],[3.390439181174913e-05],[],[-11.767739],[7.750610062152473e-06],3.390439181174913e-05,3.390439181174913e-05,7.750610062152473e-06,4.3744158898291055,-10.291966,-10.291966,0.8745916271596438
