model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,token_cond_log_probs,token_cond_probs,prior_token_log_probs,null_prior_token_log_probs,token_probs,sentence_cond_probs,mean_sentence_cond_probs,prior_sentence_probs,sentence_mi,sentence_surprisal,mean_sentence_surprisal,sentence_mi_surprisal
text-davinci-002,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,A,target,He got this shirt on sale.,distractor_lexical_overlap,A,[-11.348805],[1.1783562571944659e-05],[],[-14.064077],[7.799180397713421e-07],1.1783562571944659e-05,1.1783562571944659e-05,7.799180397713421e-07,15.108719084635338,-11.348805,-11.348805,0.8069356417772742
text-davinci-002,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,B,competitor,He wants his wife to iron his shirt.,target,B,[-2.7237446],[0.06562854109390112],[],[-8.350479],[0.00023628331161151055],0.06562854109390112,0.06562854109390112,0.00023628331161151055,277.7536028520096,-2.7237446,-2.7237446,0.3261782467808134
text-davinci-002,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,C,distractor_lexical_overlap,"He got his shoes on sale.
",distractor_associative,C,[-8.779358],[0.0001538768424271347],[],[-11.193692],[1.3760725521443444e-05],0.0001538768424271347,0.0001538768424271347,1.3760725521443444e-05,11.182320451588634,-8.779358,-8.779358,0.7843129862783432
text-davinci-002,0.1,4,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He got this shirt on sale.
B. He wants his wife to iron his shirt.
C. He got his shoes on sale.

D. He is unhappy that his shirt is wrinkled.
Your answer:
",,D,distractor_associative,He is unhappy that his shirt is wrinkled.,competitor,D,[-6.123529],[0.00219071128547011],[],[-5.31025],[0.0049406913904227415],0.00219071128547011,0.00219071128547011,0.0049406913904227415,0.4434017655336019,-6.123529,-6.123529,1.1531526764276636
text-davinci-002,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,A,target,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,A,[-11.90805],[6.735961477089498e-06],[],[-9.523227],[7.313328205161833e-05],6.735961477089498e-06,6.735961477089498e-06,7.313328205161833e-05,0.09210528077127972,-11.90805,-11.90805,1.2504217320452404
text-davinci-002,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,B,competitor,He does not want Cindy to start painting.,target,B,[-2.9022994],[0.05489684501327788],[],[-4.83883],[0.007916310718928243],0.05489684501327788,0.05489684501327788,0.007916310718928243,6.934650111953935,-2.9022994,-2.9022994,0.5997936277984555
text-davinci-002,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,C,distractor_lexical_overlap,He has some doubts whether Cindy should be painting.,competitor,C,[-8.067898],[0.0003134414430083773],[],[-7.0891395],[0.0008341148126771329],0.0003134414430083773,0.0003134414430083773,0.0008341148126771329,0.37577733693803067,-8.067898,-8.067898,1.1380644999297869
text-davinci-002,0.1,4,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. He wants Cindy to paint a picture for the meeting.
B. He does not want Cindy to start painting.
C. He has some doubts whether Cindy should be painting.
D. He wants Cindy to create a sculpture.
Your answer:
",,D,distractor_associative,He wants Cindy to create a sculpture.,distractor_associative,D,[-11.514558],[9.983687968306727e-06],[],[-10.35144],[3.194675331461785e-05],9.983687968306727e-06,9.983687968306727e-06,3.194675331461785e-05,0.31251025323247794,-11.514558,-11.514558,1.1123629176230552
text-davinci-002,0.1,4,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy's brother creates a lot of mess.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy forgot to invite her brother to the movies.
D. Cindy might help her clean up the house.
Your answer:
",,A,target,Cindy's brother creates a lot of mess.,competitor,A,[-3.0934663],[0.04534450402284826],[],[-5.2173977],[0.005421418944041553],0.04534450402284826,0.04534450402284826,0.005421418944041553,8.363954988699858,-3.0934663,-3.0934663,0.5929136473533538
text-davinci-002,0.1,4,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?","You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Choose one of the following options and return the label of that option.
A. Cindy's brother creates a lot of mess.
B. Cindy forgot to purchase a new toy for her brother.
C. Cindy forgot to invite her brother to the movies.
D. Cindy might help her clean up the house.
Your answer:
",,B,competitor,Cindy forgot to purchase a new toy for her brother.,distractor_lexical_overlap,B,[-7.8628116],[0.000384790472151623],[],[-5.449508],[0.00429841899273583],0.000384790472151623,0.000384790472151623,0.00429841899273583,0.08951907033769968,-7.8628116,-7.8628116,1.442847978202803
