model_name,temperature,seed,item_id,phenomenon,prompt,paraphrase
microsoft/phi-2,0.1,0,1,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
 . --",".
"
microsoft/phi-2,0.1,0,2,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.

Exercise:

Rewrite the following sentence using a colon.

Example:

The teacher gave the students a list of things to bring to class.

Answer:

The teacher gave the students a list of things to bring to class"
microsoft/phi-2,0.1,0,3,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.

Answer:

1. Mary's exam was about to start.
2. Allen had a car accident and told his mother about it.
3. Vicky has never been to Europe and was planning a trip there.
4. Ellen had no food"
microsoft/phi-2,0.1,0,4,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.

Exercise 5:

Rewrite the following sentence using a colon:

The following are the ingredients for the recipe: flour, sugar, eggs, milk, and butter.

Answer:

The following are the ingredients for the recipe: flour"
microsoft/phi-2,0.1,0,5,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.

Exercise 2:

Identify the subject and predicate in the following sentence:

The dog barked loudly.

Answer:

Subject: The dog
Predicate: barked loudly

Exercise 3:

Identify the"
microsoft/phi-2,0.1,0,6,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --.
. --"
microsoft/phi-2,0.1,0,7,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.

Exercises:

1. Rewrite the following sentence using a colon:

The store had a variety of items such as books, toys, and clothes.

Answer: The store had a variety of items: books, toys, and clothes"
microsoft/phi-2,0.1,0,8,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
 . --",".
"
microsoft/phi-2,0.1,0,9,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
 . --",".
"
microsoft/phi-2,0.1,0,10,coherence,"Please paraphrase the sentence.

Example:

Mary's exam was about to start. -- The exam Mary was taking was about to start. 
Allen told his mother that he had a car accident. -- Allen had a car accident and told his mother about it.
Vicky was planning her first trip to Europe. -- Vicky has never been to Europe and was planning a trip there.
Ellen was not able to eat breakfast before work. -- Ellen had no food before work.
. --",".
. --.
. --.

Answer:

1. The exam that Mary was taking was about to start.
2. Allen had a car accident and told his mother about it.
3. Vicky has never been to Europe and was planning a trip there.
4. Ellen"
