model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.391562587695124,incorrect_lexical_overlap,"[[4.613851070404053, 4.613851070404053], [5.981038570404053, 5.981038570404053], [5.316976070404053, 5.316976070404053], [5.121663570404053, 5.121663570404053], [3.7857260704040527, 3.7857260704040527]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.397558212280273, 4.397558212280273], [6.022558212280273, 6.022558212280273], [5.272558212280273, 5.272558212280273], [5.092870712280273, 5.092870712280273], [3.7413079738616943, 3.7413079738616943]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.446903131356114,incorrect_lexical_overlap,"[[3.4443540573120117, 3.4443540573120117], [4.733416557312012, 4.733416557312012], [3.9052915573120117, 3.9052915573120117], [4.061541557312012, 4.061541557312012], [2.7256040573120117, 2.7256040573120117]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.277519702911377, 4.277519702911377], [5.675957202911377, 5.675957202911377], [5.082207202911377, 5.082207202911377], [5.074394702911377, 5.074394702911377], [3.433769702911377, 3.433769702911377]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4774011580363924,incorrect_lexical_overlap,"[[3.125058650970459, 3.125058650970459], [4.453183650970459, 4.453183650970459], [3.656308650970459, 3.656308650970459], [3.796933650970459, 3.796933650970459], [2.625058650970459, 2.625058650970459]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.408661365509033, 4.408661365509033], [5.877411365509033, 5.877411365509033], [5.432098865509033, 5.432098865509033], [5.346161365509033, 5.346161365509033], [3.557098865509033, 3.557098865509033]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.460115660365214,incorrect_lexical_overlap,"[[4.6637115478515625, 4.6637115478515625], [6.1871490478515625, 6.1871490478515625], [5.5855865478515625, 5.5855865478515625], [5.4293365478515625, 5.4293365478515625], [3.9527740478515625, 3.9527740478515625]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.573424816131592, 4.573424816131592], [6.393737316131592, 6.393737316131592], [5.839049816131592, 5.839049816131592], [5.706237316131592, 5.706237316131592], [4.221862316131592, 4.221862316131592]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.7471619531773146,incorrect_lexical_overlap,"[[1.3884742259979248, 1.3884742259979248], [2.872849225997925, 2.872849225997925], [2.169724225997925, 2.169724225997925], [2.427536725997925, 2.427536725997925], [1.7947242259979248, 1.7947242259979248]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[3.9813592433929443, 3.9813592433929443], [5.575109481811523, 5.575109481811523], [5.106359481811523, 5.106359481811523], [4.996984481811523, 4.996984481811523], [3.2782342433929443, 3.2782342433929443]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.745134027369145,incorrect_lexical_overlap,"[[1.3439668416976929, 1.3439668416976929], [3.0002169609069824, 3.0002169609069824], [2.3674044609069824, 2.3674044609069824], [2.5392794609069824, 2.5392794609069824], [1.8752168416976929, 1.8752168416976929]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.208735466003418, 4.208735466003418], [5.646235466003418, 5.646235466003418], [5.083735466003418, 5.083735466003418], [5.083735466003418, 5.083735466003418], [3.552485704421997, 3.552485704421997]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.7899234327277185,incorrect_lexical_overlap,"[[1.3383302688598633, 1.3383302688598633], [2.8852052688598633, 2.8852052688598633], [2.1977052688598633, 2.1977052688598633], [2.4789552688598633, 2.4789552688598633], [1.8539552688598633, 1.8539552688598633]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.108083248138428, 4.108083248138428], [5.670583248138428, 5.670583248138428], [5.264333248138428, 5.264333248138428], [5.194020748138428, 5.194020748138428], [3.3580830097198486, 3.3580830097198486]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.518702726129467,incorrect_lexical_overlap,"[[3.234905958175659, 3.234905958175659], [5.000531196594238, 5.000531196594238], [4.438031196594238, 4.438031196594238], [4.180218696594238, 4.180218696594238], [3.484905958175659, 3.484905958175659]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.661381721496582, 4.661381721496582], [6.161381721496582, 6.161381721496582], [5.427006721496582, 5.427006721496582], [5.216069221496582, 5.216069221496582], [3.864506959915161, 3.864506959915161]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5297655080630896,incorrect_literal,"[[3.349424123764038, 3.349424123764038], [5.044736862182617, 5.044736862182617], [4.427549362182617, 4.427549362182617], [4.365049362182617, 4.365049362182617], [3.240049123764038, 3.240049123764038]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.226134300231934, 4.226134300231934], [5.718321800231934, 5.718321800231934], [5.257384300231934, 5.257384300231934], [5.218321800231934, 5.218321800231934], [3.6167593002319336, 3.6167593002319336]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5382716259278966,incorrect_literal,"[[3.541447401046753, 3.541447401046753], [5.174259662628174, 5.174259662628174], [4.588322162628174, 4.588322162628174], [4.510197162628174, 4.510197162628174], [3.369572401046753, 3.369572401046753]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.103383541107178, 4.103383541107178], [5.579946041107178, 5.579946041107178], [5.111196041107178, 5.111196041107178], [4.970571041107178, 4.970571041107178], [3.4236960411071777, 3.4236960411071777]]"
