model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Where should I put these blinds, lady?""",target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5970352952108726,target,"[[4.3309736251831055, 4.3309736251831055], [5.9872236251831055, 5.9872236251831055], [5.7840986251831055, 5.7840986251831055], [5.3153486251831055, 5.3153486251831055], [3.6122238636016846, 3.6122238636016846]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.462677955627441, 4.462677955627441], [6.103302955627441, 6.103302955627441], [5.962677955627441, 5.962677955627441], [5.712677955627441, 5.712677955627441], [3.8533029556274414, 3.8533029556274414]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5903383454882145,target,"[[4.361837387084961, 4.361837387084961], [5.955587387084961, 5.955587387084961], [5.744649887084961, 5.744649887084961], [5.283712387084961, 5.283712387084961], [3.549337387084961, 3.549337387084961]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.446407318115234, 4.446407318115234], [6.024532318115234, 6.024532318115234], [5.938594818115234, 5.938594818115234], [5.657344818115234, 5.657344818115234], [3.7979698181152344, 3.7979698181152344]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5793007075473184,target,"[[4.313274383544922, 4.313274383544922], [5.813274383544922, 5.813274383544922], [5.516399383544922, 5.516399383544922], [5.180461883544922, 5.180461883544922], [3.524211883544922, 3.524211883544922]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.357765197753906, 4.357765197753906], [5.873390197753906, 5.873390197753906], [5.748390197753906, 5.748390197753906], [5.498390197753906, 5.498390197753906], [3.7718276977539062, 3.7718276977539062]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5728660842981594,target,"[[4.526517391204834, 4.526517391204834], [6.104642391204834, 6.104642391204834], [5.862454891204834, 5.862454891204834], [5.401517391204834, 5.401517391204834], [3.854642391204834, 3.854642391204834]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.507406711578369, 4.507406711578369], [5.944906711578369, 5.944906711578369], [5.757406711578369, 5.757406711578369], [5.483969211578369, 5.483969211578369], [3.8355319499969482, 3.8355319499969482]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5967101165655184,target,"[[4.313925266265869, 4.313925266265869], [6.001425266265869, 6.001425266265869], [5.790487766265869, 5.790487766265869], [5.329550266265869, 5.329550266265869], [3.626425266265869, 3.626425266265869]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.604892253875732, 4.604892253875732], [6.214267253875732, 6.214267253875732], [6.136142253875732, 6.136142253875732], [5.901767253875732, 5.901767253875732], [3.9720797538757324, 3.9720797538757324]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.896768989133996,target,"[[4.866297245025635, 4.866297245025635], [6.639734745025635, 6.639734745025635], [6.749109745025635, 6.749109745025635], [6.483484745025635, 6.483484745025635], [4.194422245025635, 4.194422245025635]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.600743293762207, 4.600743293762207], [6.296055793762207, 6.296055793762207], [6.178868293762207, 6.178868293762207], [5.944493293762207, 5.944493293762207], [4.116368293762207, 4.116368293762207]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.8147588026893495,target,"[[4.85359525680542, 4.85359525680542], [6.42390775680542, 6.42390775680542], [6.43953275680542, 6.43953275680542], [6.15047025680542, 6.15047025680542], [3.970782995223999, 3.970782995223999]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.355672359466553, 4.355672359466553], [5.910359859466553, 5.910359859466553], [5.629109859466553, 5.629109859466553], [5.355672359466553, 5.355672359466553], [3.754110097885132, 3.754110097885132]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""The birds are always eating my grass seed.""",associative_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.8569759782944457,target,"[[4.880012512207031, 4.880012512207031], [6.465950012207031, 6.465950012207031], [6.551887512207031, 6.551887512207031], [6.255012512207031, 6.255012512207031], [3.9972000122070312, 3.9972000122070312]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.3456220626831055, 4.3456220626831055], [5.9784345626831055, 5.9784345626831055], [5.8221845626831055, 5.8221845626831055], [5.6112470626831055, 5.6112470626831055], [3.7206220626831055, 3.7206220626831055]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.8767544515577774,target,"[[4.774350166320801, 4.774350166320801], [6.422787666320801, 6.422787666320801], [6.532162666320801, 6.532162666320801], [6.235287666320801, 6.235287666320801], [4.110287666320801, 4.110287666320801]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.209549903869629, 4.209549903869629], [5.818924903869629, 5.818924903869629], [5.662674903869629, 5.662674903869629], [5.357987403869629, 5.357987403869629], [3.70954966545105, 3.70954966545105]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how appropriate a given punch line is for the joke.
How would you rate the following answer: ",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.834916972334209,target,"[[4.922368049621582, 4.922368049621582], [6.555180549621582, 6.555180549621582], [6.609868049621582, 6.609868049621582], [6.305180549621582, 6.305180549621582], [4.039555549621582, 4.039555549621582]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.36569356918335, 4.36569356918335], [6.07663106918335, 6.07663106918335], [5.96725606918335, 5.96725606918335], [5.74850606918335, 5.74850606918335], [3.8500685691833496, 3.8500685691833496]]"
