model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his wife to iron his shirt.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.43536929870005,distractor_associative,"[[4.202582359313965, 4.202582359313965], [5.288519859313965, 5.288519859313965], [4.663519859313965, 4.663519859313965], [4.593207359313965, 4.593207359313965], [3.296332359313965, 3.296332359313965]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.375873565673828, 4.375873565673828], [5.813373565673828, 5.813373565673828], [5.368061065673828, 5.368061065673828], [5.289936065673828, 5.289936065673828], [3.625873565673828, 3.625873565673828]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He is unhappy that his shirt is wrinkled.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4081377841670855,distractor_associative,"[[4.056900978088379, 4.056900978088379], [5.150650978088379, 5.150650978088379], [4.431900978088379, 4.431900978088379], [4.416275978088379, 4.416275978088379], [3.260025978088379, 3.260025978088379]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.56018590927124, 4.56018590927124], [6.00549840927124, 6.00549840927124], [5.59924840927124, 5.59924840927124], [5.55237340927124, 5.55237340927124], [3.7711236476898193, 3.7711236476898193]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He got this shirt on sale.,distractor_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.398853668577445,distractor_associative,"[[4.231816291809082, 4.231816291809082], [5.270878791809082, 5.270878791809082], [4.575566291809082, 4.575566291809082], [4.536503791809082, 4.536503791809082], [3.349004030227661, 3.349004030227661]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.4036126136779785, 4.4036126136779785], [5.6536126136779785, 5.6536126136779785], [5.1379876136779785, 5.1379876136779785], [5.1223626136779785, 5.1223626136779785], [3.6067376136779785, 3.6067376136779785]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"He got his shoes on sale.
",distractor_associative,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4954751040428658,distractor_associative,"[[3.7444095611572266, 3.7444095611572266], [4.900659561157227, 4.900659561157227], [4.424097061157227, 4.424097061157227], [4.088159561157227, 4.088159561157227], [3.5022220611572266, 3.5022220611572266]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[3.386143207550049, 3.386143207550049], [5.214268207550049, 5.214268207550049], [4.925205707550049, 4.925205707550049], [4.612705707550049, 4.612705707550049], [3.667393207550049, 3.667393207550049]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want Cindy to start painting.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.3442635685363395,target,"[[3.8187825679779053, 3.8187825679779053], [4.615657329559326, 4.615657329559326], [3.8187825679779053, 3.8187825679779053], [3.8969075679779053, 3.8969075679779053], [2.9281575679779053, 2.9281575679779053]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.329246997833252, 4.329246997833252], [5.766746997833252, 5.766746997833252], [5.337059497833252, 5.337059497833252], [5.235496997833252, 5.235496997833252], [3.665184736251831, 3.665184736251831]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has some doubts whether Cindy should be painting.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.310454214273829,target,"[[3.9422621726989746, 3.9422621726989746], [4.700074672698975, 4.700074672698975], [3.8719496726989746, 3.8719496726989746], [3.9578871726989746, 3.9578871726989746], [2.9656996726989746, 2.9656996726989746]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.476984024047852, 4.476984024047852], [5.828546524047852, 5.828546524047852], [5.336359024047852, 5.336359024047852], [5.242609024047852, 5.242609024047852], [3.6801087856292725, 3.6801087856292725]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.311336841520286,target,"[[3.788724660873413, 3.788724660873413], [4.523099422454834, 4.523099422454834], [3.655912160873413, 3.655912160873413], [3.804349660873413, 3.804349660873413], [2.827787160873413, 2.827787160873413]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.171086311340332, 4.171086311340332], [5.491398811340332, 5.491398811340332], [4.889836311340332, 4.889836311340332], [4.858586311340332, 4.858586311340332], [3.311711311340332, 3.311711311340332]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to create a sculpture.,distractor_associative,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.274368408908384,target,"[[3.9708492755889893, 3.9708492755889893], [4.58022403717041, 4.58022403717041], [3.6974117755889893, 3.6974117755889893], [3.8770992755889893, 3.8770992755889893], [2.9474117755889893, 2.9474117755889893]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.2315473556518555, 4.2315473556518555], [5.4893598556518555, 5.4893598556518555], [4.8487348556518555, 4.8487348556518555], [4.8174848556518555, 4.8174848556518555], [3.4034223556518555, 3.4034223556518555]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy might help her clean up the house.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6312793572247632,distractor_lexical_overlap,"[[4.779766082763672, 4.779766082763672], [5.975078582763672, 5.975078582763672], [5.506328582763672, 5.506328582763672], [5.568828582763672, 5.568828582763672], [3.771953582763672, 3.771953582763672]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.54155158996582, 4.54155158996582], [6.11967658996582, 6.11967658996582], [5.84623908996582, 5.84623908996582], [5.77592658996582, 5.77592658996582], [3.8306140899658203, 3.8306140899658203]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy's brother creates a lot of mess.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.549297683182146,distractor_lexical_overlap,"[[4.722777366638184, 4.722777366638184], [5.832152366638184, 5.832152366638184], [5.246214866638184, 5.246214866638184], [5.339964866638184, 5.339964866638184], [3.7227776050567627, 3.7227776050567627]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[3.9587130546569824, 3.9587130546569824], [5.310275554656982, 5.310275554656982], [4.786838054656982, 4.786838054656982], [4.614963054656982, 4.614963054656982], [3.3962130546569824, 3.3962130546569824]]"
