model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Lara needs to get a dress of a shorter length.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.640470320698082,distractor_associate,"[[5.252716064453125, 5.252716064453125], [6.854278564453125, 6.854278564453125], [6.557403564453125, 6.557403564453125], [6.323028564453125, 6.323028564453125], [4.799591064453125, 4.799591064453125]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.142762184143066, 4.142762184143066], [5.517762184143066, 5.517762184143066], [4.916199684143066, 4.916199684143066], [4.806824684143066, 4.806824684143066], [3.2911996841430664, 3.2911996841430664]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,The dress is fitting well.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.608944843520135,distractor_associate,"[[5.354211807250977, 5.354211807250977], [6.955774307250977, 6.955774307250977], [6.619836807250977, 6.619836807250977], [6.377649307250977, 6.377649307250977], [4.869836807250977, 4.869836807250977]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.298136234283447, 4.298136234283447], [5.727823734283447, 5.727823734283447], [5.095011234283447, 5.095011234283447], [5.079386234283447, 5.079386234283447], [3.532510995864868, 3.532510995864868]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Simon does not like the color of this dress.,distractor_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6688088884370025,distractor_associate,"[[5.3159003257751465, 5.3159003257751465], [6.8862128257751465, 6.8862128257751465], [6.6127753257751465, 6.6127753257751465], [6.4018378257751465, 6.4018378257751465], [4.9018378257751465, 4.9018378257751465]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.201166152954102, 4.201166152954102], [5.755853652954102, 5.755853652954102], [5.302728652954102, 5.302728652954102], [5.193353652954102, 5.193353652954102], [3.6074161529541016, 3.6074161529541016]]"
meta-llama/Llama-2-7b-hf,0.1,0,1,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.In a shop, Lara tries on a dress. The dress is far too long for her. Lara asks Simon: ""Does this dress fit me?"" Simon answers: ""Wow! That must be custom made! It's clearly the perfect size and length for you."" What did Simon want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"Simon has to get back to work.
",distractor_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.6682474714953828,distractor_associate,"[[5.335979461669922, 5.335979461669922], [7.054729461669922, 7.054729461669922], [6.843791961669922, 6.843791961669922], [6.523479461669922, 6.523479461669922], [5.070354461669922, 5.070354461669922]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[3.287644386291504, 3.287644386291504], [4.975144386291504, 4.975144386291504], [4.615769386291504, 4.615769386291504], [4.381394386291504, 4.381394386291504], [3.428269386291504, 3.428269386291504]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was not paying attention when Christian was talking.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.563934376036231,distractor_associate,"[[4.384918212890625, 4.384918212890625], [5.783355712890625, 5.783355712890625], [5.189605712890625, 5.189605712890625], [5.236480712890625, 5.236480712890625], [3.791168451309204, 3.791168451309204]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.1324687004089355, 4.1324687004089355], [5.5934062004089355, 5.5934062004089355], [5.0855937004089355, 5.0855937004089355], [5.1246562004089355, 5.1246562004089355], [3.5230937004089355, 3.5230937004089355]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane was paying attention when Christian was talking.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5409795654870178,distractor_associate,"[[4.468557357788086, 4.468557357788086], [5.804494857788086, 5.804494857788086], [5.179494857788086, 5.179494857788086], [5.241994857788086, 5.241994857788086], [3.773244857788086, 3.773244857788086]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.175719738006592, 4.175719738006592], [5.628844738006592, 5.628844738006592], [5.066344738006592, 5.066344738006592], [5.121032238006592, 5.121032238006592], [3.503844738006592, 3.503844738006592]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane's hearing improved greatly.,distractor_associate,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5768621472488618,distractor_associate,"[[4.699239730834961, 4.699239730834961], [6.144552230834961, 6.144552230834961], [5.605489730834961, 5.605489730834961], [5.613302230834961, 5.613302230834961], [3.925802230834961, 3.925802230834961]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.151721954345703, 4.151721954345703], [5.784534454345703, 5.784534454345703], [5.347034454345703, 5.347034454345703], [5.315784454345703, 5.315784454345703], [3.800159454345703, 3.800159454345703]]"
meta-llama/Llama-2-7b-hf,0.1,0,2,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Christian is Shane's big brother. One day, Christian is helping Shane with his homework. Christian explains the homework to Shane. When Shane starts the assignment, he does not follow Christian's instructions. Christian says, ""You are such a wonderful listener."" What did Christian want to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Shane needs to see an eye doctor.,distractor_nonsequitur,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.5020801008860807,distractor_associate,"[[4.7782301902771, 4.7782301902771], [5.9813551902771, 5.9813551902771], [5.3719801902771, 5.3719801902771], [5.3876051902771, 5.3876051902771], [3.8251049518585205, 3.8251049518585205]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.326853275299072, 4.326853275299072], [5.631540775299072, 5.631540775299072], [5.061228275299072, 5.061228275299072], [5.029978275299072, 5.029978275299072], [3.4831035137176514, 3.4831035137176514]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil's basketball skills could be better.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.54068090105447,distractor_associate,"[[5.391743183135986, 5.391743183135986], [6.657368183135986, 6.657368183135986], [6.282368183135986, 6.282368183135986], [6.032368183135986, 6.032368183135986], [4.422993183135986, 4.422993183135986]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.191971302032471, 4.191971302032471], [5.598221302032471, 5.598221302032471], [5.121658802032471, 5.121658802032471], [4.949783802032471, 4.949783802032471], [3.6841585636138916, 3.6841585636138916]]"
meta-llama/Llama-2-7b-hf,0.1,0,3,irony,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Andrew and Phil are good friends, but they play on different basketball teams. During one game, Phil tries to score a basket but Andrew blocks his shot. Andrew says, ""You are so good at this."" What did Andrew want to convey? 
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Phil is a great basketball player.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.4955398483631623,distractor_associate,"[[5.327444553375244, 5.327444553375244], [6.491507053375244, 6.491507053375244], [6.038382053375244, 6.038382053375244], [5.850882053375244, 5.850882053375244], [4.069632053375244, 4.069632053375244]]","[[2.773162603378296], [2.890350103378296], [3.464568853378296], [3.562225103378296], [3.562225103378296]]","[[4.405335426330566, 4.405335426330566], [5.670960426330566, 5.670960426330566], [5.100647926330566, 5.100647926330566], [5.014710426330566, 5.014710426330566], [3.4990856647491455, 3.4990856647491455]]"
