model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to get into trouble for not studying. ,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0427745998278475,target,"[[-9.471620559692383], [-10.6127290725708], [-10.276448249816895], [-8.886919975280762], [-10.532737731933594]]","[[], [], [], [], []]","[[-9.031325340270996], [-10.423820495605469], [-9.874981880187988], [-7.91391134262085], [-10.104747772216797]]"
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has been reading for some time.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.9554830187472114,target,"[[-8.958611488342285], [-10.416743278503418], [-9.915339469909668], [-8.552940368652344], [-10.195328712463379]]","[[], [], [], [], []]","[[-8.780494689941406], [-10.121954917907715], [-9.78081226348877], [-7.784072399139404], [-9.609408378601074]]"
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his mom to believe that he has been watching TV.,incorrect_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.8310440997184925,target,"[[-7.849917411804199], [-9.488693237304688], [-9.733613014221191], [-9.472698211669922], [-10.651107788085938]]","[[], [], [], [], []]","[[-7.915844917297363], [-9.471156120300293], [-9.590498924255371], [-8.390745162963867], [-9.939642906188965]]"
google/flan-t5-xl,0.1,0,1,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Henry is sitting at his desk and watching TV, and reluctantly switches off the TV with the remote control and picks up a textbook. Shortly after, his mother comes in the room and asks, ""What have you been doing up here?"" Henry responds: “Reading."" Why has Henry responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to offend his mom by not reading the books that she gave him. ,incorrect_social_convention,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.258295910516188,target,"[[-8.525256156921387], [-9.755943298339844], [-9.635601043701172], [-9.271456718444824], [-10.867399215698242]]","[[], [], [], [], []]","[[-9.584177017211914], [-10.868465423583984], [-10.202059745788574], [-7.942514896392822], [-10.136330604553223]]"
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want to hurt Monica by saying that he dislikes the gift.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",2.7134280847845367,incorrect_literal,"[[-8.804085731506348], [-9.632381439208984], [-9.42390251159668], [-8.689443588256836], [-10.479757308959961]]","[[], [], [], [], []]","[[-9.303056716918945], [-10.48232650756836], [-9.747123718261719], [-7.861339092254639], [-10.455894470214844]]"
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He likes the gift very much.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.7736001177075673,incorrect_literal,"[[-9.692398071289062], [-12.03892707824707], [-11.32944107055664], [-8.385449409484863], [-9.08230209350586]]","[[], [], [], [], []]","[[-9.689539909362793], [-11.172144889831543], [-10.557848930358887], [-7.6133131980896], [-9.095015525817871]]"
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Monica to understand that he dislikes her gift.,incorrect_lexical_overlap,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.059736354717209,incorrect_literal,"[[-7.4239020347595215], [-10.843437194824219], [-12.738080978393555], [-13.408262252807617], [-13.216997146606445]]","[[], [], [], [], []]","[[-8.527206420898438], [-9.929100036621094], [-9.723615646362305], [-8.188125610351562], [-10.064420700073242]]"
google/flan-t5-xl,0.1,0,2,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.It's Robert's birthday. Robert dresses very casually. On his birthday, he always receives a tie from Monica. He opens the package and finds a tie.  He says: ""Thanks. Really, I love it.” Why has Robert responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not like to celebrate his birthday and wants it to be over with. ,incorrect_social_convention,plausible,"very implausible, implausible, neutral, plausible, very plausible",1.2128053971586839,incorrect_literal,"[[-7.538008213043213], [-9.618796348571777], [-11.324063301086426], [-11.91187572479248], [-12.117146492004395]]","[[], [], [], [], []]","[[-8.521796226501465], [-9.737727165222168], [-9.524240493774414], [-8.057844161987305], [-9.828629493713379]]"
google/flan-t5-xl,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan does not want his mom to be angry with him for breaking the vase.,target,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.1552884067099725,target,"[[-9.794437408447266], [-10.98886775970459], [-10.430066108703613], [-8.985880851745605], [-10.775877952575684]]","[[], [], [], [], []]","[[-9.019532203674316], [-11.007305145263672], [-10.138514518737793], [-7.807036399841309], [-10.724632263183594]]"
google/flan-t5-xl,0.1,0,3,deceits,"You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.Dan is playing in the living room. He brushes against his mother's vase. The vase falls down on the floor and breaks. When Dan's mother comes home, she asks Dan: ""What happened to my vase?"" Dan says, ""The dog knocked it over.” Why has Dan responded in such a way?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how plausible a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Dan thinks that the dog has knocked over the vase.,incorrect_literal,plausible,"very implausible, implausible, neutral, plausible, very plausible",3.0562243679382943,target,"[[-8.85224723815918], [-10.842168807983398], [-10.199554443359375], [-8.340158462524414], [-9.962722778320312]]","[[], [], [], [], []]","[[-8.397275924682617], [-10.113862991333008], [-9.737735748291016], [-7.473700523376465], [-9.796379089355469]]"
