model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Where should I put these blinds, lady?""",target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.0966589867019603,incorrect_straightforward,"[[-9.52393913269043], [-10.323457717895508], [-10.53641128540039], [-11.04636001586914], [-11.514544486999512]]","[[], [], [], [], []]","[[-9.339289665222168], [-10.402098655700684], [-10.261995315551758], [-9.792547225952148], [-10.798038482666016]]"
google/flan-t5-xl,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""Can you spare a little change for a blind man?""",incorrect_straightforward,likely,"very unlikely, unlikely, neutral, likely, very likely",2.8147504232002585,incorrect_straightforward,"[[-9.689024925231934], [-10.126485824584961], [-9.758513450622559], [-9.694673538208008], [-10.481385231018066]]","[[], [], [], [], []]","[[-9.24875259399414], [-10.353227615356445], [-10.125125885009766], [-9.307906150817871], [-10.569879531860352]]"
google/flan-t5-xl,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""My seeing eye dog is 10 years old.""",associative_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",2.0055619738466444,incorrect_straightforward,"[[-9.555595397949219], [-10.378839492797852], [-10.778114318847656], [-11.306352615356445], [-11.649757385253906]]","[[], [], [], [], []]","[[-9.40047836303711], [-10.429407119750977], [-10.178787231445312], [-9.43455696105957], [-10.535602569580078]]"
google/flan-t5-xl,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,Then the blind man throws a pie in the woman's face.,funny_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",2.542406745497933,incorrect_straightforward,"[[-9.347126007080078], [-9.974899291992188], [-9.817452430725098], [-9.86121940612793], [-10.640350341796875]]","[[], [], [], [], []]","[[-8.864399909973145], [-10.066723823547363], [-10.017226219177246], [-9.33089542388916], [-10.360684394836426]]"
google/flan-t5-xl,0.1,0,1,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.A woman is taking a shower. All of a sudden the doorbell rings. She yells, ""Who is there?"" and a man answers, ""Blind man."" She is a charitable lady, so she runs out of the shower naked and opens the door. 
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"The man says, ""I really enjoy going to the symphony.""",neutral_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",1.7893651228677714,incorrect_straightforward,"[[-9.71878719329834], [-10.640796661376953], [-11.210763931274414], [-12.10275936126709], [-12.357099533081055]]","[[], [], [], [], []]","[[-9.455033302307129], [-10.468006134033203], [-10.031167984008789], [-8.84948444366455], [-10.115546226501465]]"
google/flan-t5-xl,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"""Fine, then you won't need your golf clubs. I'll just borrow them.""",target,likely,"very unlikely, unlikely, neutral, likely, very likely",2.114160018236527,incorrect_straightforward,"[[-9.425346374511719], [-10.480748176574707], [-10.710514068603516], [-10.795645713806152], [-11.329586029052734]]","[[], [], [], [], []]","[[-9.326705932617188], [-10.20349407196045], [-9.964635848999023], [-9.342217445373535], [-10.472128868103027]]"
google/flan-t5-xl,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"""Oh well, can I borrow it when you're done then?""",incorrect_straightforward,likely,"very unlikely, unlikely, neutral, likely, very likely",3.1645483039764555,incorrect_straightforward,"[[-9.537090301513672], [-10.486817359924316], [-10.254117012023926], [-8.835538864135742], [-10.13405704498291]]","[[], [], [], [], []]","[[-9.495702743530273], [-10.382885932922363], [-10.135932922363281], [-9.72264575958252], [-10.787674903869629]]"
google/flan-t5-xl,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"""The birds are always eating my grass seed.""",associative_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",2.1079386743700668,incorrect_straightforward,"[[-9.378968238830566], [-10.402800559997559], [-10.569228172302246], [-10.808340072631836], [-11.302913665771484]]","[[], [], [], [], []]","[[-9.089018821716309], [-10.141860008239746], [-9.885878562927246], [-9.136996269226074], [-10.551777839660645]]"
google/flan-t5-xl,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"""OOPS!"" as the rake he stepped on barely missed his face.",funny_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",1.9877260317840806,incorrect_straightforward,"[[-9.221355438232422], [-10.447582244873047], [-10.792135238647461], [-10.915972709655762], [-11.230151176452637]]","[[], [], [], [], []]","[[-8.946723937988281], [-10.04960823059082], [-9.80783462524414], [-8.795112609863281], [-9.828887939453125]]"
google/flan-t5-xl,0.1,0,2,humour,"You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.The neighborhood borrower approached Mr. Smith on Saturday and asked, ""Say, Smith, are you using your lawnmower this afternoon?"" ""Yes, I am,"" Smith replied warily. The neighborhood borrower said:
How would you rate the following answer: ","You will read a joke that is missing its punch lines. A punch line is a funny line that finishes the joke. Your task is to rate how likely a given punch line is for the joke.
How would you rate the following answer: ",,"""According to the weather report, it will rain tomorrow.""",neutral_nonsequitur,likely,"very unlikely, unlikely, neutral, likely, very likely",2.318444282898403,incorrect_straightforward,"[[-9.593074798583984], [-10.500589370727539], [-10.23232650756836], [-10.52688980102539], [-11.43194580078125]]","[[], [], [], [], []]","[[-9.203697204589844], [-10.577834129333496], [-9.859984397888184], [-8.017683029174805], [-9.907069206237793]]"
