model_name,temperature,seed,item_id,phenomenon,prompt,prior_prompt,question,options,option_names,scale,rating_options,weighted_options,chosen_option,token_cond_log_probs,prior_token_log_probs,null_prior_token_log_probs
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants his wife to iron his shirt.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.7905902819279182,distractor_lexical_overlap,"[[-1.9902021884918213], [-2.1402735710144043], [-2.7135937213897705], [-2.404216766357422], [-2.3318428993225098]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.722730278968811], [-1.6258975267410278], [-1.9202123880386353], [-1.6736818552017212], [-1.9834096431732178]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He is unhappy that his shirt is wrinkled.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.860133048427038,distractor_lexical_overlap,"[[-2.2707571983337402], [-2.3102638721466064], [-2.7538373470306396], [-2.4520888328552246], [-2.530824661254883]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.6146241426467896], [-1.3761759996414185], [-1.5496506690979004], [-1.481279969215393], [-1.7606666088104248]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He got this shirt on sale.,distractor_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.9436015553545145,distractor_lexical_overlap,"[[-1.7200841903686523], [-1.8466541767120361], [-2.081118583679199], [-2.0592081546783447], [-1.7563581466674805]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.178462266921997], [-1.3805572986602783], [-1.4803423881530762], [-1.484361171722412], [-1.6851446628570557]]"
google/flan-t5-xl,0.1,0,1,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Paul has to go to an interview and he's running late. While he's cleaning his shoes he says to his wife, Jane, ""I want to wear that blue shirt, but it's very creased"". What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,"He got his shoes on sale.
",distractor_associative,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",2.763204245589741,distractor_lexical_overlap,"[[-1.8996745347976685], [-2.2269082069396973], [-2.4703893661499023], [-2.457791805267334], [-2.3182387351989746]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.1601896286010742], [-1.364905834197998], [-1.3813642263412476], [-1.398536205291748], [-1.5222536325454712]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He does not want Cindy to start painting.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.1238876962977304,distractor_lexical_overlap,"[[-1.560394287109375], [-1.6185961961746216], [-1.6455940008163452], [-1.3773938417434692], [-1.3804669380187988]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.3068910837173462], [-1.0737829208374023], [-1.3906266689300537], [-1.183633804321289], [-1.516693115234375]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He has some doubts whether Cindy should be painting.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.1159071256823836,distractor_lexical_overlap,"[[-1.851210594177246], [-2.0486526489257812], [-1.9741477966308594], [-1.7623931169509888], [-1.7107758522033691]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.0553829669952393], [-1.0708942413330078], [-1.4104212522506714], [-1.1631250381469727], [-1.4966962337493896]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to paint a picture for the meeting.,distractor_lexical_overlap,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.1253507241142238,distractor_lexical_overlap,"[[-1.9776418209075928], [-1.7980118989944458], [-1.931837558746338], [-1.827807068824768], [-1.6554338932037354]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.5006510019302368], [-1.4859001636505127], [-1.8189208507537842], [-1.5135869979858398], [-1.6803598403930664]]"
google/flan-t5-xl,0.1,0,2,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy wanted to paint a picture. She got her paints, paper and brushes ready. She has a meeting to go to in 10 minutes. Her dad said to her, ""I am not sure that now is the best time for painting."" What might he be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,He wants Cindy to create a sculpture.,distractor_associative,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.007103506168192,distractor_lexical_overlap,"[[-2.104020595550537], [-2.056210517883301], [-2.2695889472961426], [-2.1218721866607666], [-2.0544300079345703]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.8187568187713623], [-1.681243896484375], [-1.8698673248291016], [-1.6196037530899048], [-1.9907560348510742]]"
google/flan-t5-xl,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy might help her clean up the house.,target,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.1041322685868096,competitor,"[[-2.2176482677459717], [-2.220175266265869], [-2.4194560050964355], [-2.2507920265197754], [-1.9719395637512207]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.47287917137146], [-1.7776515483856201], [-1.8061134815216064], [-1.5650355815887451], [-1.9574594497680664]]"
google/flan-t5-xl,0.1,0,3,indirect_speech,"You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.Cindy asked her mom to take her to the movies. Her mom responds, ""Your little brother's toys are all over the house. I don't have time to clean up."" What might she be trying to convey?
How would you rate the following answer: ","You will read a short story that describes an everyday situation. Your task is to rate how appropriate a given interpretation is of an utterance by a character in the story.
How would you rate the following answer: ",,Cindy's brother creates a lot of mess.,competitor,appropriate,"very inappropriate, inappropriate, neutral, appropriate, very appropriate",3.114659714270193,competitor,"[[-2.0333235263824463], [-2.128026008605957], [-2.2205498218536377], [-1.9465065002441406], [-1.8529316186904907]]","[[-0.973268985748291], [-0.5661458373069763], [-0.6958259344100952], [-0.4122335910797119], [-0.6069589853286743]]","[[-1.6183192729949951], [-1.5362155437469482], [-1.726897954940796], [-1.5321736335754395], [-1.9843060970306396]]"
